,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2015,,36.0,36.0,,1107,7,,1.0,1985-11-02,,74.7,1.0,,100.0,,,,,,,,,,,,1,0.0,0.0,0.0,,14,7,5-11,0.0,,,,0.0,0.0,172.0,8.0,,,,,29.0,36.0,,82,41,8.0,Danny Amendola,,36.0,,,100.0,0.0,0.0,36.0,36.0,AmenDa00,wr,0,276,23,,,118.7,3,648,46.3,10.0,65,4.6,2.0,0.1,0.0,11.0,5.5,0.8,3,,,0.0,,2015,,NWE,,,87,0.0,,,67,,,185,659,0.0,,36.0,2.6,21.5,,12.0,9.8,0.0,
2018,,48.0,48.0,,632,4,,1.0,1985-11-02,,74.7,1.0,,100.0,,,,,,,,,,,,2,0.0,0.0,0.0,,15,15,5-11,0.0,,,,0.0,,,,,,,,,28.0,,12,39,-2.0,Danny Amendola,,28.0,,,100.0,100.0,1.0,28.0,28.0,AmenDa00,WR,0,59,11,,,158.3,1,575,38.3,9.7,59,3.9,1.0,0.1,0.0,-2.0,-2.0,-0.1,1,,,0.0,,2018,,MIA,,,79,0.0,,,60,,,185,573,0.0,,28.0,1.9,,,5.4,9.6,0.0,
2019,,39.0,39.0,,733,5,,1.0,1985-11-02,,63.9,1.0,,,,,,,,,,,,,,0,,,,,15,10,5-11,0.0,,,,0.0,,,,,,,,,19.0,,15,47,,Danny Amendola,,19.0,,,100.0,100.0,1.0,19.0,19.0,AmenDa00,WR,0,55,10,,,158.3,1,678,45.2,10.9,62,4.1,,,,,,,1,,,,,2019,,DET,,,97,0.0,,,62,,,185,678,0.0,,19.0,1.3,,,5.5,10.9,,
Career,,41.0,41.0,,10855,47,,3.0,1985-11-02,,68.7,3.0,,,,,,,,,,,,,,19,0.0,4.0,0.0,,141,71,5-11,0.0,,,,0.0,0.0,3575.0,152.0,,,,,84.0,36.0,,82,57,30.0,Danny Amendola,,27.67,,,100.0,66.7,2.0,83.0,27.7,AmenDa00,,0,1821,195,,,158.3,21,5362,38.0,9.8,547,3.9,16.0,0.1,0.0,97.0,6.1,0.7,21,,,0.0,,Career,,,,,796,0.0,,,563,,,185,5459,0.0,,27.7,0.6,23.5,,9.3,9.7,0.0,
2009,,,,,2302,2,,,1985-11-02,,68.3,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,14,2,5-11,,,,,,0.0,1618.0,66.0,,,,,58.0,,,56,25,8.0,Danny Amendola,,,,,,,,,,AmenDa00,wr,0,360,31,,,,1,326,23.3,7.6,43,3.1,3.0,0.2,0.0,-2.0,-0.7,-0.1,1,,,0.0,,2009,,STL,,,63,,,,46,,,185,324,,,,,24.5,,11.6,7.0,0.0,
2010,,,,,2364,6,,,1985-11-02,,69.1,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,6,5-11,,,,,,0.0,1142.0,50.0,,,,,84.0,,,42,36,30.0,Danny Amendola,,,,,,,,,,AmenDa00,wr,0,452,40,,,,3,689,43.1,8.1,85,5.3,7.0,0.4,0.0,81.0,11.6,5.1,3,,,0.0,,2010,,STL,,,123,,,,92,,,185,770,,,,,22.8,,11.3,8.4,0.0,
2011,,,,,45,0,,,1985-11-02,,83.3,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,1,1,5-11,,,,,,,,,,,,,,,,0,18,,Danny Amendola,,,,,,,,,,AmenDa00,wr,0,0,1,,,,0,45,45.0,9.0,5,5.0,,,,,,,0,,,0.0,,2011,,STL,,,6,,,,5,,,185,45,,,,,,,0.0,9.0,0.0,
2012,,,,,812,5,,,1985-11-02,,62.4,,,,,,,,,,,,,,,3,0.0,0.0,0.0,,11,8,5-11,,,,,,0.0,16.0,2.0,,,,,12.0,,,22,56,6.0,Danny Amendola,,,,,,,,,,AmenDa00,WR,0,122,17,,,,3,666,60.5,10.6,63,5.7,2.0,0.2,0.0,8.0,4.0,0.7,3,,,0.0,,2012,,STL,,,101,,,,65,,,185,674,,,,,8.0,,7.2,10.4,0.0,
2013,,,,,647,6,,,1985-11-02,,65.1,,,,,,,,,,,,,,,0,,,,,12,6,5-11,,,,,,,,,,,,,,,,13,57,1.0,Danny Amendola,,,,,,,,,,AmenDa00,wr,0,13,1,,,,2,633,52.8,11.7,54,4.5,1.0,0.1,0.0,1.0,1.0,0.1,2,,,,,2013,,NWE,,,83,,,,55,,,185,634,,,,,,,13.0,11.5,,
2014,,,,,814,2,,,1985-11-02,,64.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,4,5-11,,,,,,0.0,482.0,20.0,,,,,81.0,,,39,21,,Danny Amendola,,,,,,,,,,AmenDa00,wr,0,132,16,,,,1,200,12.5,7.4,27,1.7,,,,,,,1,,,0.0,,2014,,NWE,,,42,,,,27,,,185,200,,,,,24.1,,8.3,7.4,0.0,
