,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,4,0.0,,1988-01-26,0.0,,,,,100.0,39,39,86.5,37,32,4,2,,12,10,,,,,,16,0.0,6-0,,,,,,,,,1.0,1.0,51,,,,41.0,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,2011,2.0,DAL,11,11,,,79.0,,,9,8,190,,,,,,,39.5,,,,
2012,,,,,,5,0.0,,1988-01-26,,,,,,100.0,37,37,93.5,31,29,5,3,,7,7,,,,,,16,0.0,6-0,,,,,,,,,1.0,1.0,51,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,1.0,DAL,13,13,,,,,,5,5,190,,,,,,,,,,,
2013,,,,,,5,0.0,,1988-01-26,,,,,,100.0,47,47,93.3,30,28,7,6,,10,10,,,,,,16,0.0,6-0,,,,,,,,,2.0,2.0,53,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,2.0,DAL,9,8,,,,,,2,2,190,,,,,,,,,,,
2014,,,,,,4,0.0,,1988-01-26,,,,,,100.0,56,56,86.2,29,25,7,5,,9,8,,,,,,16,0.0,6-0,,,,,,,,,,,56,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,2.0,DAL,7,6,,,,,,6,6,190,,,,,,,,,,,
2016,,,,,,4,1.0,,1988-01-26,,,,,,100.0,46,46,84.4,32,27,6,3,,9,7,,,,,,16,0.0,6-0,,,,,,,,,,,56,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,1.0,DAL,8,8,,,,,,9,9,190,,,,,,,,,,,
2018,,,,,,1,0.0,,1988-01-26,,,,,,96.8,31,30,75.0,28,21,2,1,,9,4,,,,,,14,0.0,6-0,,,,,,,,,,,52,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,1.0,MIN,11,11,,,,,,6,5,190,,,,,,,,,,,
Career,,,,,,33,1.0,,1988-01-26,0.0,,,,,98.0,353,346,87.3,268,234,45,31,,75,61,,,,,,138,,6-0,,,,,,,,,5.0,5.0,56,,,,41.0,,,,Dan Bailey,,,,,,,,,,BailDa00,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,Career,9.0,,83,80,,,79.0,,,60,57,190,,,,,,,39.5,,,,
2015,,,,,,5,,,1988-01-26,,,,,,100.0,25,25,93.8,32,30,6,5,,7,6,,,,,,16,0.0,6-0,,,,,,,,,,,54,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,,,2015,,DAL,10,10,,,,,,9,9,190,,,,,,,,,,,
2017,,,,,,1,,,1988-01-26,,,,,,92.9,28,26,75.0,20,15,5,3,,5,4,,,,,,12,0.0,6-0,,,,,,,,,1.0,1.0,56,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,,,2017,,DAL,5,4,,,,,,4,3,190,,,,,,,,,,,
2019,,,,,,4,,,1988-01-26,,,,,,90.9,44,40,93.1,29,27,3,3,,7,5,,,,,,16,0.0,6-0,,,,,,,,,,,50,,,,,,,,Dan Bailey,,,,,,,,,,BailDa00,K,,,,,,,,,,,,,,,,,,,,,,,,2019,,MIN,9,9,,,,,,10,10,190,,,,,,,,,,,
