,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,2,2,,1989-01-13,,,,,,,,,,,,,,,,,,,,,,4,4,6-1,,,1,0,,,,,,,,0,,,,,,,Morgan Burnett,,,,1,,,,,,BurnMo99,db/ss,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,12,GNB,,,,,,,,,,210,,,,,,,,,,,0
2011,,,,,,5,28,,1989-01-13,,,,,,,,,,,,,,,,,0.0,2.0,2.0,25.0,,16,16,6-1,,,3,0,,,,,,,,0,,,,,,,Morgan Burnett,,,,11,,,,,,BurnMo99,FS/ss,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,78,GNB,,,,,,,,,,210,,,,,,,,,,25.0,0
2012,,,,,,6,35,,1989-01-13,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16,16,6-1,,,2,0,,,,,,,,1,,,,,,,Morgan Burnett,,,,5,,,,,,BurnMo99,fs/SS,,,,,,,,,,,,,,,,,,,,,,2.0,,2012,88,GNB,,,,,,,,,,210,,,,,,,,,,0.0,1
2013,,,,,,5,36,,1989-01-13,,,,,,,,,,,,,,,,,0.0,0.0,3.0,12.0,,13,13,6-1,,,0,0,,,,,,,,0,,,,,,,Morgan Burnett,,,,6,,,,,,BurnMo99,SS,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,60,GNB,,,,,,,,,,210,,,,,,,,,,12.0,0
2014,,,,,,5,36,,1989-01-13,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,15,15,6-1,,,1,0,,,,,,,,32,,,,,,,Morgan Burnett,,,,4,,,,,,BurnMo99,SS,,,,,,,,,,,,,,,,,,,,,,1.5,,2014,94,GNB,,,,,,,,,,210,,,,,,,,,,0.0,32
2015,,,,,,4,21,,1989-01-13,,,,,,,,,,,,,,,,,0.0,2.0,1.0,21.0,,11,11,6-1,,,0,0,,,,,,,,0,,,,,,,Morgan Burnett,,,,5,,,,,,BurnMo99,fs/s/SS,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,47,GNB,,,,,,,,,,210,,,,,,,,,,21.0,0
2016,,,,,,5,23,,1989-01-13,,,,,,,,,,,,,,,,,0.0,0.0,1.0,35.0,,15,15,6-1,,,2,0,,,,,,,,19,,,,,,,Morgan Burnett,,,,9,,,,,,BurnMo99,lb/SS,,,,,,,,,,,,,,,,,,,,,,3.0,,2016,70,GNB,,,,,,,,,,210,,,,,,,,,,35.0,19
2017,,,,,,3,20,,1989-01-13,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,12,12,6-1,,,0,0,,,,,,,,0,,,,,,,Morgan Burnett,,,,3,,,,,,BurnMo99,cb/lb/SS,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,48,GNB,,,,,,,,,,210,,,,,,,,,,0.0,0
2018,,,,,,1,13,,1989-01-13,,,,,,,,,,,,,,,,,,,,,,11,2,6-1,,,0,0,,,,,,,,0,,,,,,,Morgan Burnett,,,,6,,,,,,BurnMo99,ss,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,17,PIT,,,,,,,,,,210,,,,,,,,,,,0
2019,,,,,,3,15,,1989-01-13,,,,,,,,,,,,,,,,,,,,,,8,8,6-1,,,1,0,,,,,,,,43,,,,,,,Morgan Burnett,,,,2,,,,,,BurnMo99,s/ss,,,,,,,,,,,,,,,,,,,,,,2.0,,2019,26,CLE,,,,,,,,,,210,,,,,,,,,,,43
