,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2014,,6.0,6.0,,,2,0.0,1.0,1982-05-06,0,,1.0,,,,,,,,,,,,,,,,,,,16,0.0,6-3,0.0,,,,0.0,,,,,,,,,6.0,69,,,,Dustin Colquitt,,6.0,,,100.0,0.0,0.0,6.0,6.0,ColqDu20,P,,,,71,,91.7,,,,,,,,,,,,,,,,0.0,,2014,1.0,KAN,,,,0.0,3164,,,,,210,,0.0,,6.0,0.4,,44.6,,,,
2019,,0.0,0.0,,,2,,1.0,1982-05-06,1,,0.0,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,0.0,6-3,0.0,,,,0.0,,,,,,,,,0.0,68,,,,Dustin Colquitt,,0.0,,,0.0,0.0,0.0,0.0,0.0,ColqDu20,P,,,,48,,39.6,,,,,,,,,,,,,,,,0.0,,2019,,KAN,,,,0.0,2126,,,,,210,,0.0,,,0.0,,44.3,,,0.0,
Career,,3.0,3.0,,,34,2.0,2.0,1982-05-06,6,,1.0,,,,,,,,,,,,,,3.0,0.0,2.0,20.0,,238,,6-3,0.0,,,,0.0,,,,,,,,,6.0,81,,,0.0,Dustin Colquitt,,3.0,,,50.0,0.0,0.0,6.0,3.0,ColqDu20,,,,,1124,,56.2,,,,,,,3.0,0.0,0.0,-3.0,-1.0,0.0,0.0,,,0.0,,Career,8.0,,,,,0.0,50393,,3.0,,,210,-3.0,0.0,,6.0,0.0,,44.8,,-1.0,20.0,
2006,,,,,,3,0.0,,1982-05-06,0,,,,,,,,,,,,,,,,2.0,0.0,1.0,20.0,,16,0.0,6-3,,,,,,,,,,,,,,,72,,,0.0,Dustin Colquitt,,,,,,,,,,ColqDu20,P,,,,71,,,,,,,,,1.0,0.1,0.0,0.0,0.0,0.0,0.0,,,0.0,,2006,2.0,KAN,,,,,3145,,1.0,,,210,0.0,,,,,,44.3,,0.0,20.0,
2009,,,,,,3,0.0,,1982-05-06,1,,,,,,,,,,,,,,,,0.0,,,,,16,0.0,6-3,,,,,,,,,,,,,,,70,,,0.0,Dustin Colquitt,,,,,,,,,,ColqDu20,P,,,,96,,,,,,,,,1.0,0.1,0.0,0.0,0.0,0.0,0.0,,,0.0,,2009,1.0,KAN,,,,,4361,,1.0,,,210,0.0,,,,,,45.4,,0.0,,
2011,,,,,,3,1.0,,1982-05-06,0,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,16,0.0,6-3,,,,,,,,,,,,,,,68,,,-3.0,Dustin Colquitt,,,,,,,,,,ColqDu20,P,,,,89,,,,,,,,,1.0,0.1,0.0,-3.0,-3.0,-0.2,0.0,,,0.0,,2011,0.0,KAN,,,,,4084,,1.0,,,210,-3.0,,,,,,45.9,,-3.0,0.0,
2005,,,,,,1,0.0,,1982-05-06,0,,,,,,,,,,,,,,,,,,,,,16,0.0,6-3,,,,,,,,,,,,,,,62,,,,Dustin Colquitt,,,,,,,,,,ColqDu20,P,,,,65,,,,,,,,,,,,,,,,,,0.0,,2005,2.0,KAN,,,,,2564,,,,,210,,,,,,,39.4,,,,
2013,,,,,,2,0.0,,1982-05-06,1,,,,,,,,,,,,,,,,,,,,,16,0.0,6-3,,,,,,,,,,,,,,,65,,,,Dustin Colquitt,,,,,,,,,,ColqDu20,P,,,,87,,,,,,,,,,,,,,,,,,0.0,,2013,1.0,KAN,,,,,4005,,,,,210,,,,,,,46.0,,,,
2017,,,,,,2,0.0,,1982-05-06,0,,,,,,,,,,,,,,,,,,,,,16,0.0,6-3,,,,,,,,,,,,,,,77,,,,Dustin Colquitt,,,,,,,,,,ColqDu20,P,,,,65,,,,,,,,,,,,,,,,,,0.0,,2017,1.0,KAN,,,,,2936,,,,,210,,,,,,,45.2,,,,
2007,,,,,,3,,,1982-05-06,1,,,,,,,,,,,,,,,,,,,,,16,0.0,6-3,,,,,,,,,,,,,,,81,,,,Dustin Colquitt,,,,,,,,,,ColqDu20,P,,,,95,,,,,,,,,,,,,,,,,,,,2007,,KAN,,,,,4322,,,,,210,,,,,,,45.5,,,,
