,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,,,,,1,,,1987-04-07,,60.0,,,,,,,,,,,,,,,0,,,,,14,0,6-5,,,,,,,,,,,,,,,,,17,,Jared Cook,,,,,,,,,,CookJa02,,,,,,,,0,74,5.3,8.2,9,0.6,,,,,,,0,,,,,2009,,TEN,,,15,,,,9,,,254,74,,,,,,,,8.2,,
2010,,,,,366.0,4,1.0,,1987-04-07,,64.4,,,,,,,,,,,,,,,0,0.0,1.0,2.0,,16,1,6-5,,,,,,0.0,3.0,1.0,,,,,3.0,,,,36,,Jared Cook,,,,,,,,,,CookJa02,te,,,,,,,1,361,22.6,12.4,29,1.8,,,,,,,1,,,0.0,,2010,4.0,TEN,,,45,,,,29,,,254,361,,,,,3.0,,,12.4,2.0,
2011,,,,,,6,0.0,,1987-04-07,,60.5,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,5,6-5,,,,,,,,,,,,,,,,,80,,Jared Cook,,,,,,,,,,CookJa02,te,,,,,,,3,759,47.4,15.5,49,3.1,,,,,,,3,,,0.0,,2011,3.0,TEN,,,81,,,,49,,,254,759,,,,,,,,15.5,0.0,
2012,,,,,,4,,,1987-04-07,,60.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,13,5,6-5,,,,,,,,,,,,,,,,,61,,Jared Cook,,,,,,,,,,CookJa02,te,,,,,,,4,523,40.2,11.9,44,3.4,,,,,,,4,,,0.0,,2012,,TEN,,,73,,,,44,,,254,523,,,,,,,,11.9,0.0,
2013,,,,,,6,,,1987-04-07,,60.0,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,13,6-5,,,,,,,,,,,,,,,,,47,,Jared Cook,,,,,,,,,,CookJa02,TE,,,,,,,5,671,41.9,13.2,51,3.2,,,,,,,5,,,0.0,,2013,,STL,,,85,,,,51,,,254,671,,,,,,,,13.2,0.0,
2014,,,,,,5,,,1987-04-07,,52.5,,,,,,,,,,,,,,,0,,,,,16,6,6-5,,,,,,,,,,,,,,,,,59,0.0,Jared Cook,,,,,,,,,,CookJa02,te,,,,,,,3,634,39.6,12.2,52,3.3,1.0,0.1,0.0,0.0,0.0,0.0,3,,,,,2014,,STL,,,99,,,,53,,,254,634,,,,,,,,12.0,,
2015,,,,,,4,,,1987-04-07,,52.0,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,16,12,6-5,,,,,,,,,,,,,,,,,49,,Jared Cook,,,,,,,,,,CookJa02,TE,,,,,,,0,481,30.1,12.3,39,2.4,,,,,,,0,,,0.0,,2015,,STL,,,75,,,,39,,,254,481,,,,,,,,12.3,0.0,
2016,,,,,,4,,,1987-04-07,,58.8,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,10,5,6-5,,,,,,,,,,,,,,,,,47,,Jared Cook,,,,,,,,,,CookJa02,tb/te,,,,,,,1,377,37.7,12.6,30,3.0,,,,,,,1,,,0.0,,2016,,GNB,,,51,,,,30,,,254,377,,,,,,,,12.6,0.0,
2017,,,,,,6,,,1987-04-07,,62.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,6-5,,,,,,,,,,,,,,,,,35,,Jared Cook,,,,,,,,,,CookJa02,TE,,,,,,,2,688,43.0,12.7,54,3.4,,,,,,,2,,,0.0,,2017,,OAK,,,86,,,,54,,,254,688,,,,,,,,12.7,0.0,
2018,,,,,,7,,,1987-04-07,,67.3,,,,,,,,,,,,,,,0,,,,,16,14,6-5,,,,,,,,,,,,,,,,,45,,Jared Cook,,,,,,,,,,CookJa02,TE,,,,,,,6,896,56.0,13.2,68,4.3,,,,,,,6,,,,,2018,,OAK,,,101,,,,68,,,254,896,,,,,,,,13.2,,
2019,,,,,,7,,,1987-04-07,,66.2,,,,,,,,,,,,,,,0,0.0,1.0,2.0,,14,7,6-5,,,,,,,,,,,,,,,,,61,,Jared Cook,,,,,,,,,,CookJa02,te,,,,,,,9,705,50.4,16.4,43,3.1,,,,,,,9,,,0.0,,2019,,NOR,,,65,,,,43,,,254,705,,,,,,,,16.4,2.0,
Career,,,,,6176.0,54,1.0,,1987-04-07,,60.3,,,,,,,,,,,,,,,8,0.0,4.0,4.0,,163,84,6-5,,,,,,0.0,3.0,1.0,,,,,3.0,,,,80,0.0,Jared Cook,,,,,,,,,,CookJa02,,,,,,,,34,6169,37.8,13.2,468,2.9,1.0,0.0,0.0,0.0,0.0,0.0,34,,,0.0,,Career,7.0,,,,776,,,,469,,,254,6169,,,,,3.0,,,13.2,4.0,
