,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,97.0,5.65,6.2,94.0,,11,,516,1987-10-29,,0.0,300,91.0,46.9,,,,,,,,,4.0,,,5,0,0,0,4.0,16,16,6-2,2.5,105.0,,,13,,,,,,,,,84,,,0.0,17,Andy Dalton,95.0,6.0,94.0,,58.1,3.9,20,3398,6.6,DaltAn00,QB,,,,,9-7-0,80.4,0.0,0.0,0.0,,0.0,0.0,37,2.3,1,152,4.1,9.5,1,,114.0,0.0,,2011,,CIN,,,1.0,24,,95.0,37,,,220,152,160,90.0,11.3,212.4,,,,4.1,0,
2012,97.0,5.68,6.6,98.0,,12,,528,1987-10-29,,,329,105.0,47.7,,,,,,,,,1.0,,,4,0,0,0,3.0,16,16,6-2,3.0,96.0,,,16,,,,,,,,,59,,,,17,Andy Dalton,95.0,5.99,103.0,,62.3,5.1,27,3669,6.9,DaltAn00,QB,,,,,10-6-0,87.4,,,,,,,47,2.9,4,120,2.6,7.5,4,,87.0,0.0,,2012,,CIN,,,,46,,109.0,47,,,220,120,229,96.0,11.2,229.3,,,,2.6,0,
2013,104.0,6.29,6.9,101.0,,14,,586,1987-10-29,,,363,101.0,55.1,,,,,,,,,0.0,,,6,0,1,-14,3.0,16,16,6-2,3.4,86.0,,,20,,,,,,,,,82,,,,12,Andy Dalton,109.0,6.68,103.0,,61.9,5.6,33,4293,7.3,DaltAn00,QB,,,,,11-5-0,88.8,,,,,,,61,3.8,2,183,3.0,11.4,2,,113.0,0.0,,2013,,CIN,,,,29,,114.0,61,,,220,183,182,105.0,11.8,268.3,,,,3.0,-14,
2014,95.0,5.75,6.3,91.0,,11,,481,1987-10-29,,100.0,309,108.0,48.5,,,,,,,,,4.0,,,4,0,1,-5,3.0,16,16,6-2,3.5,83.0,,,17,,,,,,,,,81,,,18.0,20,Andy Dalton,104.0,6.52,93.0,,64.2,4.0,19,3398,7.1,DaltAn00,QB,,,,,10-5-1,83.5,1.0,18.0,1.1,18.0,1.0,0.1,60,3.8,4,169,2.8,10.6,5,,117.0,0.0,,2014,,CIN,,,1.0,21,,94.0,61,,,220,187,124,97.0,11.0,212.4,,,,3.1,-5,
2015,130.0,8.17,8.9,128.0,,13,,386,1987-10-29,,,255,113.0,70.0,,,,,,,,,3.0,,,5,0,3,-34,3.0,13,13,6-2,1.8,111.0,,,7,,,,,,,,,80,,,,12,Andy Dalton,131.0,7.71,125.0,,66.1,6.5,25,3250,8.4,DaltAn00,QB,,,,,10-3-0,106.2,,,,,,,57,4.4,3,142,2.5,10.9,3,,109.0,0.0,,2015,,CIN,,,,20,,125.0,57,,,220,142,118,129.0,12.7,250.0,,,,2.5,-34,
2016,106.0,6.53,7.5,107.0,,12,,563,1987-10-29,,,364,108.0,50.8,,,,,,,,,2.0,,,9,0,2,-17,1.0,16,16,6-2,1.4,117.0,,,8,,,,,,,,,86,,,,15,Andy Dalton,105.0,6.53,104.0,,64.7,3.2,18,4206,7.5,DaltAn00,QB,,,,,6-9-1,91.8,,,,,,,46,2.9,4,184,4.0,11.5,4,,94.0,0.0,,2016,,CIN,,,,41,,86.0,46,,,220,184,264,107.0,11.6,262.9,,,,4.0,-17,
2017,93.0,5.65,6.6,95.0,,10,,496,1987-10-29,,,297,87.0,45.7,,,,,,,,,3.0,,,4,0,1,-4,3.0,16,16,6-2,2.4,99.0,,,12,,,,,,,,,77,,,,25,Andy Dalton,89.0,5.73,96.0,,59.9,5.0,25,3320,6.7,DaltAn00,QB,,,,,7-9-0,86.6,,,,,,,38,2.4,0,99,2.6,6.2,0,,93.0,0.0,,2017,,CIN,,,,39,,107.0,38,,,220,99,255,90.0,11.2,207.5,,,,2.6,-4,
2018,99.0,6.05,6.8,97.0,,8,,365,1987-10-29,,,226,94.0,62.3,,,,,,,,,3.0,,,1,0,1,0,4.0,11,11,6-2,3.0,89.0,,,11,,,,,,,,,49,,,,21,Andy Dalton,99.0,6.24,99.0,,61.9,5.8,21,2566,7.0,DaltAn00,QB,,,,,5-6-0,89.6,,,,,,,16,1.5,0,99,6.2,9.0,0,,109.0,0.0,,2018,,CIN,,,,21,,114.0,16,,,220,99,157,97.0,11.4,233.3,,,,6.2,0,
2019,86.0,5.19,6.0,84.0,,7,,528,1987-10-29,,100.0,314,82.0,,,,,,,,,,,,,8,0,2,-8,,13,13,6-2,2.7,95.0,,,14,,,,,,,,,66,,,-4.0,17,Andy Dalton,89.0,5.74,82.0,,59.5,3.0,16,3494,6.6,DaltAn00,QB,,,,,2-11-0,78.3,0.0,-4.0,-0.3,-4.0,1.0,0.1,32,2.5,4,73,2.3,5.6,4,,101.0,0.0,,2019,,CIN,,,1.0,37,,83.0,33,,,220,69,249,87.0,11.1,268.8,,,,2.1,-8,
Career,,6.06,6.8,,,98,,4449,1987-10-29,,66.7,2757,,,,,,,,,,,20.0,,,46,0,11,-82,24.0,133,133,6-2,2.7,,,,118,,,,,,,,,86,,,18.0,25,Andy Dalton,,6.32,,,62.0,4.6,204,31594,7.1,DaltAn00,,,,,,70-61-2,87.5,1.0,14.0,0.1,7.0,2.0,0.0,394,3.0,22,1221,3.1,9.2,23,,,0.0,,Career,,,,,3.0,278,,,396,,,220,1235,1738,,11.5,237.5,,,,3.1,-82,
