,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,,,,,,2,,,1984-01-31,,47.6,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,10,8,6-3,,,,,,,,,,,,,,,,,52,9.0,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,3,265,26.5,13.3,20,2.0,2.0,0.2,0.0,5.0,2.5,0.5,3,,,0.0,,2006,,SFO,,,42,,,,22,,,248,270,,,,,,,,12.3,0.0,
2007,,,,,,4,,,1984-01-31,,61.2,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,14,14,6-3,,,,,,,,,,,,,,,,,31,,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,4,509,36.4,9.8,52,3.7,,,,,,,4,,,0.0,,2007,,SFO,,,85,,,,52,,,248,509,,,,,,,,9.8,0.0,
2008,,,,,,3,,,1984-01-31,,63.3,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,57,11.0,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,2,358,22.4,11.5,31,1.9,1.0,0.1,0.0,11.0,11.0,0.7,2,,,0.0,,2008,,SFO,,,49,,,,32,,,248,369,,,,,,,,11.5,0.0,
2009,,,,,,9,,,1984-01-31,,60.9,,,,,,,,,,,,,,,0,,,,,16,16,6-3,,,,,,,,,,,,,,,,,73,,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,13,965,60.3,12.4,78,4.9,,,,,,,13,,,,,2009,,SFO,,,128,,,,78,,,248,965,,,,,,,,12.4,,
2010,,,,,,7,,,1984-01-31,,60.2,,,,,,,,,,,,,,,0,,,,,16,16,6-3,,,,,,,,,,,,,,,,,66,,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,7,914,57.1,16.3,56,3.5,,,,,,,7,,,,,2010,,SFO,,,93,,,,56,,,248,914,,,,,,,,16.3,,
2011,,,,,,8,,,1984-01-31,,70.5,,,,,,,,,,,,,,,3,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,44,-2.0,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,6,792,49.5,11.8,67,4.2,2.0,0.1,0.0,-5.0,-2.5,-0.3,6,,,0.0,,2011,,SFO,,,95,,,,69,,,248,787,,,,,,,,11.4,0.0,
2012,,,,,,5,,,1984-01-31,,67.2,,,,,,,,,,,,,,,0,,,,,16,16,6-3,,,,,,,,,,,,,,,,,53,,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,5,548,34.3,13.4,41,2.6,,,,,,,5,,,,,2012,,SFO,,,61,,,,41,,,248,548,,,,,,,,13.4,,
2013,,,,,,9,,,1984-01-31,,61.9,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,15,6-3,,,,,,,,,,,,,,,,,64,,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,13,850,56.7,16.3,52,3.5,,,,,,,13,,,0.0,,2013,,SFO,,,84,,,,52,,,248,850,,,,,,,,16.3,0.0,
2014,,,,,,2,,,1984-01-31,,52.0,,,,,,,,,,,,,,,0,,,,,14,14,6-3,,,,,,,,,,,,,,,,,29,4.0,Vernon Davis,,,,,,,,,,DaviVe00,TE,,,,,,,2,245,17.5,9.4,26,1.9,1.0,0.1,0.0,4.0,4.0,0.3,2,,,,,2014,,SFO,,,50,,,,27,,,248,249,,,,,,,,9.2,,
2015,,,,,,2,,,1984-01-31,,65.5,,,,,,,,,,,,,,,0,,,,,15,9,6-3,,,,,,,,,,,,,,,,,43,,Vernon Davis,,,,,,,,,,DaviVe00,,,,,,,,0,395,26.3,10.4,38,2.5,,,,,,,0,,,,,2015,,2TM,,,58,,,,38,,,248,395,,,,,,,,10.4,,
,,,,,,1,,,1984-01-31,,,,,,,,,,,,,,,,,0,,,,,9,4,6-3,,,,,,,,,,,,,,,,,23,,Vernon Davis,,,,,,,,,,DaviVe00,te,,,,,,,0,201,22.3,10.1,20,2.2,,,,,,,0,,,,,,,DEN,,,28,,,,20,,,248,201,,,,,,,,10.1,,
2016,,,,,,5,,,1984-01-31,,74.6,,,,,,,,,,,,,,,0,,,,,16,14,6-3,,,,,,,,,,,,,,,,,44,,Vernon Davis,,,,,,,,,,DaviVe00,TE/wr,,,,,,,2,583,36.4,13.3,44,2.8,,,,,,,2,,,,,2016,,WAS,,,59,,,,44,,,248,583,,,,,,,,13.3,,
2017,,,,,,5,,,1984-01-31,,62.3,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,69,,Vernon Davis,,,,,,,,,,DaviVe00,TE/wr,,,,,,,3,648,40.5,15.1,43,2.7,,,,,,,3,,,0.0,,2017,,WAS,,,69,,,,43,,,248,648,,,,,,,,15.1,0.0,
2018,,,,,,3,,,1984-01-31,,69.4,,,,,,,,,,,,,,,0,,,,,14,8,6-3,,,,,,,,,,,,,,,,,53,,Vernon Davis,,,,,,,,,,DaviVe00,te/wr,,,,,,,2,367,26.2,14.7,25,1.8,,,,,,,2,,,,,2018,,WAS,,,36,,,,25,,,248,367,,,,,,,,14.7,,
2019,,,,,,1,,,1984-01-31,,52.6,,,,,,,,,,,,,,,0,,,,,4,1,6-3,,,,,,,,,,,,,,,,,48,,Vernon Davis,,,,,,,,,,DaviVe00,te,,,,,,,1,123,30.8,12.3,10,2.5,,,,,,,1,,,,,2019,,WAS,,,19,,,,10,,,248,123,,,,,,,,12.3,,
Career,,,,,,65,,,1984-01-31,,62.8,,,,,,,,,,,,,,,10,0.0,3.0,0.0,,198,179,6-3,,,,,,,,,,,,,,,,,73,11.0,Vernon Davis,,,,,,,,,,DaviVe00,,,,,,,,63,7562,38.2,13.0,583,2.9,6.0,0.0,0.0,15.0,2.5,0.1,63,,,0.0,,Career,,,,,928,,,,589,,,248,7577,,,,,,,,12.9,0.0,
