,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,2,5,,1989-02-28,,,,,,,,,,,,,,,,,0,0,1,0,,12,0,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,3,,,,,,DunlCa99,,,,,,,,,,,,,,,,,,,,,,,9.5,,2010,19,CIN,,,,,,,,,,285,,,,,,,,,,0,0
2011,,,,,,2,12,,1989-02-28,,,,,,,,,,,,,,,,,0,0,1,35,,12,1,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,3,,,,,,DunlCa99,de,,,,,,,,,,,,,,,,,,,,,,4.5,,2011,11,CIN,,,,,,,,,,285,,,,,,,,,,35,0
2012,,,,,,5,7,,1989-02-28,,,,,,,,,,,,,,,,,0,4,3,2,,14,1,6-6,,,1,1,,,,,,,,14,,,,,,,Carlos Dunlap,,,,3,,,,,,DunlCa99,de,,,,,,,,,,,,,,,,,,,,,,6.0,,2012,34,CIN,,,,,,,,,,285,,,,,,,,,,2,14
2013,,,,,,10,19,,1989-02-28,,,,,,,,,,,,,,,,,0,4,1,42,,16,15,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,5,,,,,,DunlCa99,DE,,,,,,,,,,,,,,,,,,,,,,7.5,,2013,39,CIN,,,,,,,,,,285,,,,,,,,,,42,0
2014,,,,,,9,26,,1989-02-28,,,,,,,,,,,,,,,,,0,2,1,0,,16,16,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,5,,,,,,DunlCa99,DE,,,,,,,,,,,,,,,,,,,,,,8.0,,2014,40,CIN,,,,,,,,,,285,,,,,,,,,,0,0
2015,,,,,,12,18,,1989-02-28,,,,,,,,,,,,,,,,,0,2,1,21,,16,16,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,1,,,,,,DunlCa99,DE,,,,,,,,,,,,,,,,,,,,,,13.5,,2015,37,CIN,,,,,,,,,,285,,,,,,,,,,21,0
2016,,,,,,11,19,,1989-02-28,,,,,,,,,,,,,,,,,0,3,0,0,,16,16,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,15,,,,,,DunlCa99,DE,,,,,,,,,,,,,,,,,,,,,,8.0,,2016,30,CIN,,,,,,,,,,285,,,,,,,,,,0,0
2017,,,,,,8,11,,1989-02-28,,,,,,,,,,,,,,,,,0,1,0,0,,16,16,6-6,,,1,1,,,,,,,,16,,,,,,,Carlos Dunlap,,,,7,,,,,,DunlCa99,DE,,,,,,,,,,,,,,,,,,,,,,7.5,,2017,35,CIN,,,,,,,,,,285,,,,,,,,,,0,16
2018,,,,,,6,16,,1989-02-28,,,,,,,,,,,,,,,,,0,2,1,0,,16,16,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,8,,,,,,DunlCa99,DE,,,,,,,,,,,,,,,,,,,,,,8.0,,2018,31,CIN,,,,,,,,,,285,,,,,,,,,,0,0
2019,,,,,,7,24,,1989-02-28,,,,,,,,,,,,,,,,,0,2,0,0,,14,14,6-6,,,0,0,,,,,,,,0,,,,,,,Carlos Dunlap,,,,8,,,,,,DunlCa99,DE,,,,,,,,,,,,,,,,,,,,,,9.0,,2019,39,CIN,,,,,,,,,,285,,,,,,,,,,0,0
