,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,,-7.0,,,,6,,0.0,1983-08-31,,50.4,0.0,,,,,,,,,,,,,,1,0.0,1.0,0.0,,16,16,6-3,,,,,0.0,,,,,,,,,0.0,,,48,10.0,Larry Fitzgerald,,-7.0,,,,,0.0,0.0,,FitzLa00,RB/wr,,,,,,,8,780,48.8,13.4,58,3.6,8.0,0.5,0.0,14.0,1.8,0.9,8,,,0.0,,2004,,ARI,,,115,1.0,,,66,,,218,794,7.0,,,0.0,,,,12.0,0.0,
2013,,0.0,0.0,,,7,,1.0,1983-08-31,,60.7,0.0,,6.2,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,6-3,0.0,,,,0.0,,,,,,,,,0.0,,,75,4.0,Larry Fitzgerald,,0.0,,,0.0,0.0,0.0,0.0,0.0,FitzLa00,WR,,,,,,39.6,10,954,59.6,11.6,82,5.1,2.0,0.1,0.0,8.0,4.0,0.5,10,,,0.0,,2013,,ARI,,,135,0.0,,,84,,,218,962,0.0,,,0.0,,,,11.5,0.0,
2016,,0.0,0.0,,,9,,1.0,1983-08-31,,71.3,0.0,,8.9,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,6-3,0.0,,,,0.0,,,,,,,,,0.0,,,33,4.0,Larry Fitzgerald,,0.0,,,0.0,0.0,0.0,0.0,0.0,FitzLa00,WR,,,,,,39.6,6,1023,63.9,9.6,107,6.7,2.0,0.1,0.0,5.0,2.5,0.3,6,,,0.0,,2016,,ARI,,,150,0.0,,,109,,,218,1028,0.0,,,0.0,,,,9.4,0.0,
2017,,21.0,21.0,,,8,,1.0,1983-08-31,,67.7,1.0,,99.1,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,6-3,0.0,,,,0.0,,,,,,,,,21.0,,,37,,Larry Fitzgerald,,21.0,,,100.0,0.0,0.0,21.0,21.0,FitzLa00,WR,,,,,,118.7,6,1156,72.3,10.6,109,6.8,,,,,,,6,,,0.0,,2017,,ARI,,,161,0.0,,,109,,,218,1156,0.0,,21.0,1.3,,,,10.6,0.0,
2018,,52.0,52.0,,,5,,1.0,1983-08-31,,61.6,1.0,,100.0,,,,,,,,,,,,0,,,,,16,16,6-3,0.0,,,,0.0,,,,,,,,,32.0,,,37,,Larry Fitzgerald,,32.0,,,100.0,100.0,1.0,32.0,32.0,FitzLa00,WR,,,,,,158.3,6,734,45.9,10.6,69,4.3,,,,,,,6,,,,,2018,,ARI,,,112,0.0,,,69,,,218,734,0.0,,32.0,2.0,,,,10.6,,
Career,,13.2,18.3,,,133,,4.0,1983-08-31,,60.9,2.0,,,,,,,,,,,,,,13,0.0,2.0,0.0,,250,248,6-3,0.0,,,,0.0,,,,,,,,,32.0,,,80,15.0,Larry Fitzgerald,,9.2,,,50.0,25.0,1.0,53.0,13.3,FitzLa00,,,,,,,135.4,120,17083,68.3,12.4,1378,5.5,20.0,0.1,0.0,68.0,3.4,0.3,120,,,0.0,,Career,,,,,2263,1.0,,,1398,,,218,17151,7.0,,26.5,0.2,,,,12.3,0.0,
2005,,,,,,10,,,1983-08-31,,62.4,,,,,,,,,,,,,,,0,,,,,16,16,6-3,,,,,,,,,,,,,,,,,47,15.0,Larry Fitzgerald,,,,,,,,,,FitzLa00,WR,,,,,,,10,1409,88.1,13.7,103,6.4,8.0,0.5,0.0,41.0,5.1,2.6,10,,,,,2005,,ARI,,,165,,,,111,,,218,1450,,,,,,,,13.1,,
2006,,,,,,8,,,1983-08-31,,62.2,,,,,,,,,,,,,,,0,,,,,13,13,6-3,,,,,,,,,,,,,,,,,57,,Larry Fitzgerald,,,,,,,,,,FitzLa00,WR,,,,,,,6,946,72.8,13.7,69,5.3,,,,,,,6,,,,,2006,,ARI,,,111,,,,69,,,218,946,,,,,,,,13.7,,
2007,,,,,,12,,,1983-08-31,,59.9,,,,,,,,,,,,,,,3,0.0,0.0,0.0,,15,15,6-3,,,,,,,,,,,,,,,,,48,,Larry Fitzgerald,,,,,,,,,,FitzLa00,WR,,,,,,,10,1409,93.9,14.1,100,6.7,,,,,,,10,,,0.0,,2007,,ARI,,,167,,,,100,,,218,1409,,,,,,,,14.1,0.0,
2008,,,,,,14,,,1983-08-31,,62.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,78,,Larry Fitzgerald,,,,,,,,,,FitzLa00,WR,,,,,,,12,1431,89.4,14.9,96,6.0,,,,,,,12,,,0.0,,2008,,ARI,,,154,,,,96,,,218,1431,,,,,,,,14.9,0.0,
