,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2014,,10.0,10.0,,890,2,0.0,1.0,1985-04-12,,53.8,1.0,,100.0,,,,,,,,,,,,3,0.0,1.0,0.0,,16,0.0,5-11,0.0,,,,0.0,0,417,22,,,,,43,10.0,,71.0,27,4,Ted Ginn Jr.,,10.0,,,100.0,0.0,0.0,10.0,10.0,GinnTe00,,1.0,277.0,26.0,,,108.3,0,190,11.9,13.6,14,0.9,3,0.2,0,6,2.0,0.4,0,,,0.0,,2014,1.0,ARI,,,26,0.0,,,17,,,180,196,0.0,,10.0,0.6,19.0,,10.7,11.5,0.0,
Career,,10.0,10.0,,15685,65,0.0,1.0,1985-04-12,,54.2,1.0,,,,,,,,,,,,,,24,0.0,12.0,-2.0,,187,,5-11,0.0,,,,0.0,3,6899,307,,,,,102,10.0,,87.0,88,43,Ted Ginn Jr.,,10.0,,,100.0,0.0,0.0,10.0,10.0,GinnTe00,,4.0,2600.0,257.0,,,108.3,33,5702,30.5,13.9,409,2.2,68,0.4,2,486,7.1,2.6,35,,,0.0,,Career,6.0,,,,754,0.0,,,477,,,180,6188,0.0,,10.0,0.1,22.5,,10.1,13.0,-2.0,
2007,,,,,2084,4,0.0,,1985-04-12,,47.9,,,,,,,,,,,,,,,3,0.0,2.0,-2.0,,16,9.0,5-11,,,,,,0,1433,63,,,,,52,,,87.0,54,7,Ted Ginn Jr.,,,,,,,,,,GinnTe00,WR,1.0,230.0,24.0,,,,2,420,26.3,12.4,34,2.1,4,0.3,0,3,0.8,0.2,2,,,0.0,,2007,2.0,MIA,,,71,,,,38,,,180,423,,,,,22.7,,9.6,11.1,-2.0,
2008,,,,,1574,8,,,1985-04-12,,60.2,,,,,,,,,,,,,,,5,0.0,1.0,0.0,,16,14.0,5-11,,,,,,0,657,32,,,,,41,,,15.0,64,40,Ted Ginn Jr.,,,,,,,,,,GinnTe00,WR,0.0,54.0,7.0,,,,2,790,49.4,14.1,56,3.5,5,0.3,2,73,14.6,4.6,4,,,0.0,,2008,,MIA,,,93,,,,61,,,180,863,,,,,20.5,,7.7,14.1,0.0,
2009,,,,,1826,6,,,1985-04-12,,48.7,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,16,12.0,5-11,,,,,,2,1296,52,,,,,101,,,12.0,53,22,Ted Ginn Jr.,,,,,,,,,,GinnTe00,WR,0.0,28.0,5.0,,,,1,454,28.4,11.9,38,2.4,7,0.4,0,48,6.9,3.0,1,,,0.0,,2009,,MIA,,,78,,,,45,,,180,502,,,,,24.9,,5.6,11.2,0.0,
2010,,,,,1487,2,,,1985-04-12,,34.3,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,13,0.0,5-11,,,,,,0,992,47,,,,,61,,,78.0,37,9,Ted Ginn Jr.,,,,,,,,,,GinnTe00,,1.0,321.0,24.0,,,,1,163,12.5,13.6,12,0.9,2,0.2,0,11,5.5,0.8,1,,,0.0,,2010,,SFO,,,35,,,,14,,,180,174,,,,,21.1,,13.4,12.4,0.0,
2011,,,,,1554,5,,,1985-04-12,,57.6,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,14,3.0,5-11,,,,,,1,800,29,,,,,102,,,55.0,26,24,Ted Ginn Jr.,,,,,,,,,,GinnTe00,wr,1.0,466.0,38.0,,,,0,220,15.7,11.6,19,1.4,8,0.6,0,68,8.5,4.9,0,,,0.0,,2011,,SFO,,,33,,,,27,,,180,288,,,,,27.6,,12.3,10.7,0.0,
2012,,,,,587,0,0.0,,1985-04-12,,100.0,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,13,0.0,5-11,,,,,,0,253,11,,,,,31,,,38.0,1,7,Ted Ginn Jr.,,,,,,,,,,GinnTe00,,0.0,326.0,32.0,,,,0,1,0.1,0.5,2,0.2,1,0.1,0,7,7.0,0.5,0,,,0.0,,2012,1.0,SFO,,,2,,,,3,,,180,8,,,,,23.0,,10.2,2.7,0.0,
2013,,,,,1496,6,,,1985-04-12,,52.9,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,16,2.0,5-11,,,,,,0,595,25,,,,,38,,,41.0,47,14,Ted Ginn Jr.,,,,,,,,,,GinnTe00,wr,0.0,316.0,26.0,,,,5,556,34.8,15.4,36,2.3,4,0.3,0,29,7.3,1.8,5,,,0.0,,2013,,CAR,,,68,,,,40,,,180,585,,,,,23.8,,12.2,14.6,0.0,
2015,,,,,1084,9,,,1985-04-12,,45.4,,,,,,,,,,,,,,,0,,,,,15,13.0,5-11,,,,,,0,8,1,,,,,8,,,37.0,74,43,Ted Ginn Jr.,,,,,,,,,,GinnTe00,WR,0.0,277.0,27.0,,,,10,739,49.3,16.8,44,2.9,4,0.3,0,60,15.0,4.0,10,,,,,2015,,CAR,,,97,,,,48,,,180,799,,,,,8.0,,10.3,16.6,,
2016,,,,,1443,6,0.0,,1985-04-12,,56.8,,,,,,,,,,,,,,,3,0.0,1.0,0.0,,16,8.0,5-11,,,,,,0,391,18,,,,,59,,,19.0,88,20,Ted Ginn Jr.,,,,,,,,,,GinnTe00,WR,0.0,202.0,29.0,,,,4,752,47.0,13.9,54,3.4,14,0.9,0,98,7.0,6.1,4,,,0.0,,2016,2.0,CAR,,,95,,,,68,,,180,850,,,,,21.7,,7.0,12.5,0.0,
2017,,,,,985,9,,,1985-04-12,,75.7,,,,,,,,,,,,,,,2,0.0,2.0,0.0,,15,10.0,5-11,,,,,,0,56,5,,,,,17,,,17.0,54,15,Ted Ginn Jr.,,,,,,,,,,GinnTe00,WR,0.0,103.0,19.0,,,,4,787,52.5,14.8,53,3.5,10,0.7,0,39,3.9,2.6,4,,,0.0,,2017,,NOR,,,70,,,,63,,,180,826,,,,,11.2,,5.4,13.1,0.0,
2018,,,,,236,3,,,1985-04-12,,56.7,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,5,3.0,5-11,,,,,,0,1,1,,,,,1,,,,42,20,Ted Ginn Jr.,,,,,,,,,,GinnTe00,wr,,,,,,,2,209,41.8,12.3,17,3.4,3,0.6,0,26,8.7,5.2,2,,,0.0,,2018,,NOR,,,30,,,,20,,,180,235,,,,,1.0,,,11.8,0.0,
2019,,,,,439,5,,,1985-04-12,,53.6,,,,,,,,,,,,,,,0,,,,,16,9.0,5-11,,,,,,0,0,1,,,,,0,,,,45,12,Ted Ginn Jr.,,,,,,,,,,GinnTe00,WR,,,,,,,2,421,26.3,14.0,30,1.9,3,0.2,0,18,6.0,1.1,2,,,,,2019,,NOR,,,56,,,,33,,,180,439,,,,,0.0,,,13.3,,
