,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2014,,0.0,0.0,,,2.0,,1.0,1991-04-13,,51.1,0.0,,100.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,,5.0,5.0,6-3,0.0,,,,0.0,,,,,,,,,0.0,,,32.0,,Josh Gordon,,0.0,,,0.0,0.0,0.0,0.0,0.0,GordJo02,wr,,,,,,39.6,0.0,303.0,60.6,12.6,24.0,4.8,,,,,,,0.0,,,0.0,,2014,,CLE,,,47.0,0.0,,,24.0,,,225,303.0,0.0,,,0.0,,,,12.6,0.0,
2019,,-45.0,-45.0,,,3.0,,1.0,1991-04-13,,57.4,0.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,11.0,7.0,6-3,100.0,,,,1.0,,,,,,,,,0.0,,,58.0,1.0,Josh Gordon,,0.0,,,0.0,0.0,0.0,0.0,0.0,GordJo02,,,,,,,0.0,1.0,426.0,38.7,15.8,27.0,2.5,1.0,0.1,0.0,1.0,1.0,0.1,1.0,,,,,2019,,2TM,,,47.0,0.0,,,28.0,,,225,427.0,0.0,,,0.0,,,,15.3,,
,,-45.0,-45.0,,,0.0,,1.0,1991-04-13,,,0.0,,,,,,,,,,,,,,0.0,,,,,5.0,1.0,6-3,100.0,,,,1.0,,,,,,,,,0.0,,,17.0,,Josh Gordon,,0.0,,,0.0,0.0,0.0,0.0,0.0,GordJo02,wr,,,,,,0.0,1.0,17.0,17.0,17.0,1.0,1.0,,,,,,,1.0,,,,,,,SEA,,,3.0,0.0,,,1.0,,,225,17.0,0.0,,,0.0,,,,17.0,,
Career,,-22.5,-22.5,,,31.0,,2.0,1991-04-13,,53.5,0.0,,,,,,,,,,,0.0,,,1.0,0.0,1.0,0.0,0.0,63.0,56.0,6-3,50.0,,,,1.0,,,,,,,,,0.0,,,95.0,34.0,Josh Gordon,,0.0,,,0.0,0.0,0.0,0.0,0.0,GordJo02,,,,,,,0.0,20.0,4252.0,67.5,17.2,247.0,3.9,6.0,0.1,0.0,89.0,14.8,1.4,20.0,,,0.0,,Career,,,,,462.0,0.0,,,253.0,,,225,4341.0,0.0,,,0.0,,,,17.2,0.0,
2012,,,,,,6.0,,,1991-04-13,,52.1,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,16.0,13.0,6-3,,,,,,,,,,,,,,,,,71.0,,Josh Gordon,,,,,,,,,,GordJo02,WR,,,,,,,5.0,805.0,50.3,16.1,50.0,3.1,,,,,,,5.0,,,0.0,,2012,,CLE,,,96.0,,,,50.0,,,225,805.0,,,,,,,,16.1,0.0,
2013,,,,,,11.0,,,1991-04-13,,54.7,,,,,,,,,,,,,,,0.0,,,,,14.0,14.0,6-3,,,,,,,,,,,,,,,,,95.0,34.0,Josh Gordon,,,,,,,,,,GordJo02,WR,,,,,,,9.0,1646.0,117.6,18.9,87.0,6.2,5.0,0.4,0.0,88.0,17.6,6.3,9.0,,,,,2013,,CLE,,,159.0,,,,92.0,,,225,1734.0,,,,,,,,18.8,,
2015,,,,,,,,,1991-04-13,,,,,,,,,,,,,,,,,,,,,,,,6-3,,,,,,,,,,,,,,,,,,,Josh Gordon,,,,,,,,,,GordJo02,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,225,,,,,,,,,,,
2016,,,,,,,,,1991-04-13,,,,,,,,,,,,,,,,,,,,,,,,6-3,,,,,,,,,,,,,,,,,,,Josh Gordon,,,,,,,,,,GordJo02,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,225,,,,,,,,,,,
2017,,,,,,2.0,,,1991-04-13,,42.9,,,,,,,,,,,,,,,0.0,,,,,5.0,5.0,6-3,,,,,,,,,,,,,,,,,54.0,,Josh Gordon,,,,,,,,,,GordJo02,wr,,,,,,,1.0,335.0,67.0,18.6,18.0,3.6,,,,,,,1.0,,,,,2017,,CLE,,,42.0,,,,18.0,,,225,335.0,,,,,,,,18.6,,
2018,,,,,,7.0,,,1991-04-13,,57.7,,,,,,,,,,,,,,,0.0,,,,,12.0,12.0,6-3,,,,,,,,,,,,,,,,,55.0,,Josh Gordon,,,,,,,,,,GordJo02,,,,,,,,4.0,737.0,61.4,18.0,41.0,3.4,,,,,,,4.0,,,,,2018,,2TM,,,71.0,,,,41.0,,,225,737.0,,,,,,,,18.0,,
