,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2006,,,,,,2,1.0,,1984-01-28,,,,,,97.7,44,43,76.9,26,20,1.0,1.0,,4,2,,,,,,16,0.0,6-1,,,,,,,,,,,52,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2006,1.0,NWE,10,7,,,,,,11,10,215,,,,,,,,,,,
2007,,,,,,3,1.0,,1984-01-28,,,,,,100.0,74,74,87.5,24,21,,,,5,3,,,,,,16,0.0,6-1,,,,,,,,,,,45,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2007,3.0,NWE,9,8,,,,,,10,10,215,,,,,,,,,,,
2008,,,,,,4,2.0,,1984-01-28,,,,,,100.0,40,40,90.0,40,36,1.0,1.0,,11,9,,,,,,16,0.0,6-1,,,,,,,,,,,50,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2008,1.0,NWE,17,17,,,,,,11,9,215,,,,,,,,,,,
2009,,,,,,4,0.0,,1984-01-28,,,,,,100.0,47,47,83.9,31,26,3.0,2.0,,8,5,0.0,0.0,1.0,0.0,,16,0.0,6-1,,,,,,,,,,,53,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2009,5.0,NWE,13,12,,,,,,7,7,215,,,,,,,,,,0.0,
2011,,,,,,3,1.0,,1984-01-28,,,,,,100.0,59,59,84.8,33,28,2.0,1.0,,11,9,,,,,,16,0.0,6-1,,,,,,,,,1.0,1.0,50,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,3.0,NWE,6,5,,,,,,13,12,215,,,,,,,,,,,
2012,,,,,,3,1.0,,1984-01-28,,,,,,100.0,66,66,82.9,35,29,2.0,2.0,,13,9,,,,,,16,0.0,6-1,,,,,,,,,,,53,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,1.0,NWE,12,10,,,,,,8,8,215,,,,,,,,,,,
2014,,,,,,5,0.0,,1984-01-28,,,,,,100.0,51,51,94.6,37,35,1.0,1.0,,13,12,,,,,,16,0.0,6-1,,,,,,,,,1.0,1.0,53,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,1.0,NWE,11,10,,,,,,11,11,215,,,,,,,,,,,
2019,,,,,,0,0.0,,1984-01-28,,,,,,73.3,15,11,87.5,8,7,,,,2,1,,,,,,4,0.0,6-1,,,,,,,,,,,41,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,k,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,3.0,NWE,3,3,,,,,,3,3,215,,,,,,,,,,,
Career,,,,,,47,7.0,,1984-01-28,,,,,,98.3,664,653,87.4,428,374,35.0,25.0,,124,96,0.0,0.0,1.0,0.0,,204,,6-1,,,,,,,,,3.0,3.0,62,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,18.0,,140,128,,,,,,126,122,215,,,,,,,,,,0.0,
2010,,,,,,1,,,1984-01-28,,,,,,100.0,26,26,76.9,13,10,1.0,,,3,2,,,,,,8,0.0,6-1,,,,,,,,,,,43,,,,,,,,Stephen Gostkowski,,,,,,,,,,GostSt20,K,,,,,,,,,,,,,,,,,,,,,,,,2010,,NWE,7,6,,,,,,2,2,215,,,,,,,,,,,
