,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,3,0.0,,1986-11-24,,70.5,,,,,,,,,,,,,,,1,0.0,1.0,20.0,,15,5,6-7,,,,,,,,,,,,,,,,,52,3.0,Jimmy Graham,,,,,,,,,,GrahJi00,te,,,,,,,5,356,23.7,11.5,31,2.1,1.0,0.1,0.0,3.0,3.0,0.2,5,,,0.0,,2010,1.0,NOR,,,44,,,,32,,,265,359,,,,,,,,11.2,20.0,
2011,,,,,,13,,,1986-11-24,,66.4,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,11,6-7,,,,,,,,,,,,,,,,,59,,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,11,1310,81.9,13.2,99,6.2,,,,,,,11,,,0.0,,2011,,NOR,,,149,,,,99,,,265,1310,,,,,,,,13.2,0.0,
2012,,,,,,8,,,1986-11-24,,63.0,,,,,,,,,,,,,,,1,0.0,2.0,0.0,,15,9,6-7,,,,,,,,,,,,,,,,,46,,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,9,982,65.5,11.6,85,5.7,,,,,,,9,,,0.0,,2012,,NOR,,,135,,,,85,,,265,982,,,,,,,,11.6,0.0,
2013,,,,,,11,,,1986-11-24,,60.6,,,,,,,,,,,,,,,0,0.0,1.0,-2.0,,16,12,6-7,,,,,,,,,,,,,,,,,56,,Jimmy Graham,,,,,,,,,,GrahJi00,TE/wr,,,,,,,16,1215,75.9,14.1,86,5.4,,,,,,,16,,,0.0,,2013,,NOR,,,142,,,,86,,,265,1215,,,,,,,,14.1,-2.0,
2014,,,,,,8,,,1986-11-24,,68.0,,,,,,,,,,,,,,,2,1.0,0.0,0.0,,16,13,6-7,,,,,,,,,,,,,,,,,29,,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,10,889,55.6,10.5,85,5.3,,,,,,,10,,,0.0,,2014,,NOR,,,125,,,,85,,,265,889,,,,,,,,10.5,0.0,
2015,,,,,,6,,,1986-11-24,,64.9,,,,,,,,,,,,,,,0,,,,,11,11,6-7,,,,,,,,,,,,,,,,,45,,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,2,605,55.0,12.6,48,4.4,,,,,,,2,,,,,2015,,SEA,,,74,,,,48,,,265,605,,,,,,,,12.6,,
2016,,,,,,8,,,1986-11-24,,68.4,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,15,6-7,,,,,,,,,,,,,,,,,42,0.0,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,6,923,57.7,14.2,65,4.1,1.0,0.1,0.0,0.0,0.0,0.0,6,,,0.0,,2016,,SEA,,,95,,,,66,,,265,923,,,,,,,,14.0,0.0,
2017,,,,,,4,,,1986-11-24,,59.4,,,,,,,,,,,,,,,0,,,,,16,13,6-7,,,,,,,,,,,,,,,,,33,,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,10,520,32.5,9.1,57,3.6,,,,,,,10,,,,,2017,,SEA,,,96,,,,57,,,265,520,,,,,,,,9.1,,
2018,,,,,,5,,,1986-11-24,,61.8,,,,,,,,,,,,,,,0,,,,,16,12,6-7,,,,,,,,,,,,,,,,,54,,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,2,636,39.8,11.6,55,3.4,,,,,,,2,,,,,2018,,GNB,,,89,,,,55,,,265,636,,,,,,,,11.6,,
2019,,,,,,4,,,1986-11-24,,63.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,10,6-7,,,,,,,,,,,,,,,,,48,,Jimmy Graham,,,,,,,,,,GrahJi00,TE,,,,,,,3,447,27.9,11.8,38,2.4,,,,,,,3,,,0.0,,2019,,GNB,,,60,,,,38,,,265,447,,,,,,,,11.8,0.0,
