,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,0,1.0,,1988-08-03,,60.0,,,,,,,,,,,,,,,0,,,,,15,3,6-5,,,,,,,,,,,,,,,,,9,,Virgil Green,,,,,,,,,,GreeVi00,te,,,,,,,0,24,1.6,8.0,3,0.2,,,,,,,0,,,0.0,,2011,2.0,DEN,,,5,,,,3,,,255,24,,,,,,,,8.0,,
2012,,,,,,1,0.0,,1988-08-03,,83.3,,,,,,,,,,,,,,,0,,,,,12,2,6-5,,,,,,,,,,,,,,,,,28,,Virgil Green,,,,,,,,,,GreeVi00,te,,,,,,,0,63,5.3,12.6,5,0.4,,,,,,,0,,,0.0,,2012,3.0,DEN,,,6,,,,5,,,255,63,,,,,,,,12.6,,
2013,,,,,,0,1.0,,1988-08-03,,75.0,,,,,,,,,,,,,,,0,,,,,16,3,6-5,,,,,,,,,,,,,,,,,10,,Virgil Green,,,,,,,,,,GreeVi00,te,,,,,,,0,45,2.8,5.0,9,0.6,,,,,,,0,,,0.0,,2013,2.0,DEN,,,12,,,,9,,,255,45,,,,,,,,5.0,,
2014,,,,,,1,2.0,,1988-08-03,,100.0,,,,,,,,,,,,,,,0,,,,,13,9,6-5,,,,,,,,,,,,,,,,,38,3.0,Virgil Green,,,,,,,,,,GreeVi00,TE,,,,,,,1,74,5.7,12.3,6,0.5,2.0,0.2,0.0,3.0,1.5,0.2,1,,,0.0,,2014,3.0,DEN,,,6,,,,8,,,255,77,,,,,,,,9.6,,
2015,,,,,,1,0.0,,1988-08-03,,80.0,,,,,,,,,,,,,,,0,,,,,16,5,6-5,,,,,,,,,,,,,,,,,32,,Virgil Green,,,,,,,,,,GreeVi00,fb/te,,,,,,,1,173,10.8,14.4,12,0.8,,,,,,,1,,,0.0,,2015,5.0,DEN,,,15,,,,12,,,255,173,,,,,,,,14.4,,
2016,,,,,,2,,,1988-08-03,,59.5,,,,,,,,,,,,,,,0,,,,,12,11,6-5,,,,,,,,,,,,,,,,,31,,Virgil Green,,,,,,,,,,GreeVi00,TE,,,,,,,1,237,19.8,10.8,22,1.8,,,,,,,1,,,,,2016,,DEN,,,37,,,,22,,,255,237,,,,,,,,10.8,,
2017,,,,,,1,,,1988-08-03,,63.6,,,,,,,,,,,,,,,0,,,,,16,16,6-5,,,,,,,,,,,,,,,,,44,,Virgil Green,,,,,,,,,,GreeVi00,TE,,,,,,,1,191,11.9,13.6,14,0.9,,,,,,,1,,,,,2017,,DEN,,,22,,,,14,,,255,191,,,,,,,,13.6,,
2018,,,,,,2,,,1988-08-03,,70.4,,,,,,,,,,,,,,,0,,,,,16,16,6-5,,,,,,,,,,,,,,,,,26,,Virgil Green,,,,,,,,,,GreeVi00,TE,,,,,,,1,210,13.1,11.1,19,1.2,,,,,,,1,,,,,2018,,LAC,,,27,,,,19,,,255,210,,,,,,,,11.1,,
2019,,,,,,1,,,1988-08-03,,69.2,,,,,,,,,,,,,,,0,,,,,15,4,6-5,,,,,,,,,,,,,,,,,15,,Virgil Green,,,,,,,,,,GreeVi00,te,,,,,,,1,78,5.2,8.7,9,0.6,,,,,,,1,,,,,2019,,LAC,,,13,,,,9,,,255,78,,,,,,,,8.7,,
Career,,,,,,9,4.0,,1988-08-03,,69.2,,,,,,,,,,,,,,,0,,,,,131,69,6-5,,,,,,,,,,,,,,,,,44,3.0,Virgil Green,,,,,,,,,,GreeVi00,,,,,,,,6,1095,8.4,11.1,99,0.8,2.0,0.0,0.0,3.0,1.5,0.0,6,,,0.0,,Career,15.0,,,,143,,,,101,,,255,1098,,,,,,,,10.9,,
