,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,,,,786,3,1.0,,1987-09-16,,54.8,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,16,0,5-10,,,,,,0,210,11,,,,,29,,,78,36.0,,Dwayne Harris,,,,,,,,,,HarrDw00,,1,354,22,,,,1.0,222.0,13.9,13.1,17.0,1.1,,,,,,,1.0,,,0.0,,2012,2.0,DAL,,,31.0,,,,17.0,,,215,222.0,,,,,19.1,,16.1,13.1,0.0,
2013,,,,,1199,2,0.0,,1987-09-16,,64.3,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,,13,3,5-10,,,,,,0,857,28,,,,,90,,,86,24.0,6.0,Dwayne Harris,,,,,,,,,,HarrDw00,wr,1,256,20,,,,2.0,80.0,6.2,8.9,9.0,0.7,1.0,0.1,0.0,6.0,6.0,0.5,2.0,,,0.0,,2013,9.0,DAL,,,14.0,,,,10.0,,,215,86.0,,,,,30.6,,12.8,8.6,0.0,
2014,,,,,1140,1,2.0,,1987-09-16,,58.3,,,,,,,,,,,,,,,4.0,0.0,1.0,0.0,,16,0,5-10,,,,,,0,742,30,,,,,42,,,38,56.0,9.0,Dwayne Harris,,,,,,,,,,HarrDw00,,0,275,30,,,,0.0,116.0,7.3,16.6,7.0,0.4,4.0,0.3,0.0,7.0,1.8,0.4,0.0,,,0.0,,2014,10.0,DAL,,,12.0,,,,11.0,,,215,123.0,,,,,24.7,,9.2,11.2,0.0,
2015,,,,,1380,6,0.0,,1987-09-16,,63.2,,,,,,,,,,,,,,,3.0,0.0,2.0,0.0,,15,6,5-10,,,,,,1,631,22,,,,,100,,,80,38.0,11.0,Dwayne Harris,,,,,,,,,,HarrDw00,fb/wr,1,341,34,,,,4.0,396.0,26.4,11.0,36.0,2.4,2.0,0.1,0.0,12.0,6.0,0.8,4.0,,,0.0,,2015,2.0,NYG,,,57.0,,,,38.0,,,215,408.0,,,,,28.7,,10.0,10.7,0.0,
2016,,,,,716,0,4.0,,1987-09-16,,100.0,,,,,,,,,,,,,,,3.0,0.0,1.0,0.0,,16,1,5-10,,,,,,0,533,22,,,,,46,,,17,13.0,,Dwayne Harris,,,,,,,,,,HarrDw00,wr,0,170,29,,,,1.0,13.0,0.8,13.0,1.0,0.1,,,,,,,1.0,,,0.0,,2016,8.0,NYG,,,1.0,,,,1.0,,,215,13.0,,,,,24.2,,5.9,13.0,0.0,
2018,,,,,996,1,7.0,,1987-09-16,,100.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,15,1,5-10,,,,,,0,663,29,,,,,34,,,99,13.0,13.0,Dwayne Harris,,,,,,,,,,HarrDw00,wr,1,281,20,,,,0.0,40.0,2.7,6.7,6.0,0.4,2.0,0.1,0.0,12.0,6.0,0.8,0.0,,,0.0,,2018,8.0,OAK,,,6.0,,,,8.0,,,215,52.0,,,,,22.9,,14.1,6.5,0.0,
2019,,,,,176,0,1.0,,1987-09-16,,100.0,,,,,,,,,,,,,,,0.0,,,,,3,0,5-10,,,,,,0,149,4,,,,,72,,,11,7.0,,Dwayne Harris,,,,,,,,,,HarrDw00,,0,20,3,,,,0.0,7.0,2.3,7.0,1.0,0.3,,,,,,,0.0,,,0.0,,2019,1.0,OAK,,,1.0,,,,1.0,,,215,7.0,,,,,37.3,,6.7,7.0,,
Career,,,,,6940,13,16.0,,1987-09-16,,63.1,,,,,,,,,,,,,,,15.0,0.0,6.0,0.0,,106,12,5-10,,,,,,1,4204,163,,,,,100,,,99,56.0,13.0,Dwayne Harris,,,,,,,,,,HarrDw00,,4,1825,180,,,,8.0,874.0,8.2,11.4,77.0,0.7,9.0,0.1,0.0,37.0,4.1,0.3,8.0,,,0.0,,Career,41.0,,,,122.0,,,,86.0,,,215,911.0,,,,,25.8,,10.1,10.6,0.0,
2017,,,,,236,0,1.0,,1987-09-16,,,,,,,,,,,,,,,,,,,,,,5,1,5-10,,,,,,0,188,9,,,,,30,,,17,,,Dwayne Harris,,,,,,,,,,HarrDw00,ldt,0,48,7,,,,,,,,,,,,,,,,,,,0.0,,2017,1.0,NYG,,,,,,,,,,215,,,,,,20.9,,6.9,,,
2011,,,,,311,0,,,1987-09-16,,,,,,,,,,,,,,,,,,,,,,7,0,5-10,,,,,,0,231,8,,,,,51,,,14,,,Dwayne Harris,,,,,,,,,,HarrDw00,,0,80,15,,,,,,,,,,,,,,,,,,,,,2011,,DAL,,,,,,,,,,215,,,,,,28.9,,5.3,,,
