,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,,,,,0,0.0,,1985-06-29,,,,,,96.4,28.0,27.0,69.2,13,9,,,,5.0,3.0,,,,,,9,0.0,6-4,,,,,,,,,,,44,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2009,1.0,BAL,7.0,5.0,,,,,,1.0,1.0,210,,,,,,,,,,,
2011,,,,,,3,1.0,,1985-06-29,,,,,,100.0,34.0,34.0,83.3,30,25,4.0,2.0,,8.0,7.0,,,,,,16,0.0,6-4,,,,,,,,,2.0,2.0,52,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,1.0,SEA,10.0,9.0,,,,,,6.0,5.0,210,,,,,,,,,,,
2012,,,,,,3,1.0,,1985-06-29,,,,,,95.8,48.0,46.0,88.9,27,24,4.0,1.0,,5.0,5.0,,,,,,16,0.0,6-4,,,,,,,,,1.0,1.0,52,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,2.0,SEA,10.0,10.0,,,,,,7.0,7.0,210,,,,,,,,,,,
2014,,,,,,3,0.0,,1985-06-29,,,,,,100.0,41.0,41.0,83.8,37,31,4.0,2.0,,13.0,9.0,0.0,0.0,1.0,0.0,,16,0.0,6-4,,,,,,,,,,,58,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,1.0,SEA,10.0,10.0,,,,,,10.0,10.0,210,,,,,,,,,,0.0,
2015,,,,,,5,0.0,,1985-06-29,,,,,,90.9,44.0,40.0,93.5,31,29,6.0,6.0,,9.0,7.0,,,,,,16,0.0,6-4,,,,,,,,,,,54,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,1.0,SEA,7.0,7.0,,,,,,9.0,9.0,210,,,,,,,,,,,
2016,,,,,,2,0.0,,1985-06-29,,,,,,82.9,35.0,29.0,89.2,37,33,1.0,1.0,,10.0,8.0,0.0,1.0,0.0,0.0,,16,0.0,6-4,,,,,,,,,,,53,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,2.0,SEA,13.0,13.0,,,,,,13.0,11.0,210,,,,,,,,,,0.0,
Career,,,,,,32,2.0,,1985-06-29,,,,,,95.7,371.0,355.0,85.7,308,264,45.0,28.0,,94.0,75.0,0.0,2.0,1.0,0.0,,165,,6-4,,,,,,,,,3.0,3.0,58,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,8.0,,94.0,90.0,,,,,,72.0,68.0,210,,,,,,,,,,0.0,
2008,,,,,,0,,,1985-06-29,,,,,,,,,50.0,2,1,2.0,1.0,,,,,,,,,8,0.0,6-4,,,,,,,,,,,54,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,k,,,,,,,,,,,,,,,,,,,,,,,,2008,,BAL,,,,,,,,,,210,,,,,,,,,,,
2010,,,,,,1,,,1985-06-29,,,,,,100.0,10.0,10.0,85.7,7,6,,,,3.0,2.0,,,,,,4,0.0,6-4,,,,,,,,,,,46,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,k,,,,,,,,,,,,,,,,,,,,,,,,2010,,DEN,3.0,3.0,,,,,,1.0,1.0,210,,,,,,,,,,,
2013,,,,,,4,,,1985-06-29,,,,,,100.0,44.0,44.0,94.3,35,33,3.0,3.0,,12.0,11.0,,,,,,16,0.0,6-4,,,,,,,,,,,53,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,,,2013,,SEA,9.0,9.0,,,,,,11.0,10.0,210,,,,,,,,,,,
2017,,,,,,5,,,1985-06-29,,,,,,100.0,29.0,29.0,87.9,33,29,9.0,7.0,,9.0,7.0,,,,,,16,0.0,6-4,,,,,,,,,,,56,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,,,2017,,BUF,9.0,9.0,,,,,,6.0,6.0,210,,,,,,,,,,,
2018,,,,,,3,,,1985-06-29,,,,,,96.2,26.0,25.0,78.6,28,22,7.0,4.0,,10.0,7.0,,,,,,16,0.0,6-4,,,,,,,,,,,54,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,,,2018,,BUF,8.0,8.0,,,,,,3.0,3.0,210,,,,,,,,,,,
2019,,,,,,3,,,1985-06-29,,,,,,93.8,32.0,30.0,78.6,28,22,5.0,1.0,,10.0,9.0,,,,,,16,0.0,6-4,,,,,,,,,,,51,,,,,,,,Stephen Hauschka,,,,,,,,,,HausSt00,K,,,,,,,,,,,,,,,,,,,,,,,,2019,,BUF,8.0,7.0,,,,,,5.0,5.0,210,,,,,,,,,,,
