,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,2,1,,1989-05-06,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,0,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Cameron Heyward,,,,1.0,,,,,,HeywCa01,,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,10,PIT,,,,,,,,,,295,,,,,,,,,,0.0,0.0
2012,,,,,,2,7,,1989-05-06,,,,,,,,,,,,,,,,,,,,,,16,0,6-5,,,,,,,,,,,,,,,,,,,Cameron Heyward,,,,,,,,,,HeywCa01,,,,,,,,,,,,,,,,,,,,,,,1.5,,2012,13,PIT,,,,,,,,,,295,,,,,,,,,,,
2013,,,,,19.0,7,24,,1989-05-06,,,,,,,,,,,,,,,,,0.0,0.0,1.0,8.0,,16,13,6-5,,,0.0,0.0,,0.0,11.0,1.0,,,,0.0,11.0,,,,,,Cameron Heyward,,,,7.0,,,,,,HeywCa01,DE,,,,,,,,,,,,,,,,,,,,,,5.0,,2013,35,PIT,,,,,,,,,,295,,,,,,11.0,,,,8.0,0.0
2014,,,,,,7,20,,1989-05-06,,,,,,,,,,,,,,,,,,,,,,16,16,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Cameron Heyward,,,,4.0,,,,,,HeywCa01,DE,,,,,,,,,,,,,,,,,,,,,,7.5,,2014,33,PIT,,,,,,,,,,295,,,,,,,,,,,0.0
2015,,,,,,9,15,,1989-05-06,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Cameron Heyward,,,,2.0,,,,,,HeywCa01,DE,,,,,,,,,,,,,,,,,,,,,,7.0,,2015,39,PIT,,,,,,,,,,295,,,,,,,,,,0.0,0.0
2016,,,,,,4,4,,1989-05-06,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,7,7,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Cameron Heyward,,,,4.0,,,,,,HeywCa01,de,,,,,,,,,,,,,,,,,,,,,,3.0,,2016,17,PIT,,,,,,,,,,295,,,,,,,,,,1.0,0.0
2017,,,,,,15,15,,1989-05-06,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,15,15,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Cameron Heyward,,,,3.0,,,,,,HeywCa01,DE,,,,,,,,,,,,,,,,,,,,,,12.0,,2017,30,PIT,,,,,,,,,,295,,,,,,,,,,0.0,0.0
2018,,,,,,11,22,,1989-05-06,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,16,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Cameron Heyward,,,,3.0,,,,,,HeywCa01,DT/rdt,,,,,,,,,,,,,,,,,,,,,,8.0,,2018,29,PIT,,,,,,,,,,295,,,,,,,,,,0.0,0.0
2019,,,,,,17,32,,1989-05-06,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,16,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Cameron Heyward,,,,6.0,,,,,,HeywCa01,DT,,,,,,,,,,,,,,,,,,,,,,9.0,,2019,51,PIT,,,,,,,,,,295,,,,,,,,,,0.0,0.0
Career,,,,,20.0,74,140,,1989-05-06,,,,,,,,,,,,,,,,,0.0,6.0,5.0,9.0,,134,99,6-5,,,0.0,0.0,,0.0,11.0,1.0,,,,0.0,11.0,,,,,,Cameron Heyward,,,,30.0,,,,,,HeywCa01,,,,,,,,,,,,,,,,,,,,,,,54.0,,Career,257,,,,,,,,,,,295,,,,,,11.0,,,,9.0,0.0
