,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,4.28,5.3,,,1,,27,1985-10-13,,,19,,48.6,,,,,,,,,,,,0,,,,,5,0,6-2,0.0,,,,0,,,,,,,,,17,,,,20,Brian Hoyer,,4.28,,,70.4,0.0,0,142,5.3,HoyeBr00,,,,,,,82.6,,,,,,,10,2.0,1,25,2.5,5.0,1,,,,,2009,,NWE,,,,2,,,10,,,216,25,18,,7.5,28.4,,,,2.5,,
2010,,6.47,6.5,,,0,,15,1985-10-13,,,7,,58.8,,,,,,,,,,,,0,,,,,5,0,6-2,6.7,,,,1,,,,,,,,,42,,,,1,Brian Hoyer,,8.13,,,46.7,6.7,1,122,8.1,HoyeBr00,,,,,,,69.3,,,,,,,10,2.0,0,-8,-0.8,-1.6,0,,,,,2010,,NWE,,,,0,,,10,,,216,-8,0,,17.4,24.4,,,,-0.8,,
2011,,22.0,22.0,,,0,,1,1985-10-13,,,1,,90.8,,,,,,,,,,,,0,,,,,3,0,6-2,0.0,,,,0,,,,,,,,,22,,,,0,Brian Hoyer,,22.0,,,100.0,0.0,0,22,22.0,HoyeBr00,,,,,,,118.7,,,,,,,4,1.3,0,-3,-0.8,-1.0,0,,,,,2011,,NWE,,,,0,,,4,,,216,-3,0,,22.0,7.3,,,,-0.8,,
2012,77.0,4.04,4.9,77.0,,1,,53,1985-10-13,,,30,85.0,28.7,,,,,,,,,,,,1,0.0,1.0,0.0,,2,1,6-2,3.8,84.0,,,2,,,,,,,,,53,,,,6,Brian Hoyer,81.0,5.26,76.0,,56.6,1.9,1,330,6.2,HoyeBr00,qb,,,,,0-1-0,65.8,,,,,,,1,0.5,0,6,6.0,3.0,0,,95.0,0.0,,2012,,ARI,,,,4,,73.0,1,,,216,6,30,82.0,11.0,165.0,,,,6.0,0.0,
2013,90.0,5.22,6.0,89.0,,1,,96,1985-10-13,,,57,91.0,52.8,,,,,,,,,1.0,,,0,,,,1.0,3,3,6-2,3.1,91.0,,,3,,,,,,,,,47,,,,11,Brian Hoyer,85.0,5.56,94.0,,59.4,5.2,5,615,6.4,HoyeBr00,qb,,,,,3-0-0,82.6,,,,,,,6,2.0,0,16,2.7,5.3,0,,104.0,,,2013,,CLE,,,,6,,109.0,6,,,216,16,48,83.0,10.8,205.0,,,,2.7,,
2014,100.0,6.11,6.8,98.0,,8,,438,1985-10-13,,,242,72.0,38.4,,,,,,,,,4.0,,,4,0.0,2.0,-10.0,4.0,14,13,6-2,3.0,93.0,,,13,,,,,,,,,81,,,,11,Brian Hoyer,111.0,6.85,84.0,,55.3,2.7,12,3326,7.6,HoyeBr00,QB,,,,,7-6-0,76.5,,,,,,,24,1.7,0,39,1.6,2.8,0,,109.0,0.0,,2014,,CLE,,,,24,,80.0,24,,,216,39,160,109.0,13.7,237.6,,,,1.6,-10.0,
2015,102.0,6.31,7.2,103.0,,7,,369,1985-10-13,,,224,91.0,56.1,,,,,,,,,1.0,,,6,0.0,1.0,0.0,1.0,11,9,6-2,1.9,109.0,,,7,,,,,,,,,49,,,,15,Brian Hoyer,95.0,6.14,103.0,,60.7,5.1,19,2606,7.1,HoyeBr00,QB,,,,,5-4-0,91.4,,,,,,,15,1.4,0,44,2.9,4.0,0,,98.0,0.0,,2015,,HOU,,,,25,,109.0,15,,,216,44,185,97.0,11.6,236.9,,,,2.9,0.0,
2016,121.0,7.58,7.8,112.0,,4,,200,1985-10-13,,,134,117.0,59.5,,,,,,,,,,,,3,0.0,2.0,-5.0,,6,5,6-2,0.0,142.0,,,0,,,,,,,,,64,,,,3,Brian Hoyer,115.0,7.0,113.0,,67.0,3.0,6,1445,7.2,HoyeBr00,qb,,,,,1-4-0,98.0,,,,,,,7,1.2,0,-2,-0.3,-0.3,0,,134.0,0.0,,2016,,CHI,,,,4,,84.0,7,,,216,-2,18,102.0,10.8,240.8,,,,-0.3,-5.0,
2017,,4.74,5.6,,,2,,211,1985-10-13,,,123,,,,,,,,,,,,,,3,0.0,1.0,-3.0,,11,6,6-2,1.9,,,,4,,,,,,,,,59,,,,9,Brian Hoyer,,5.18,,,58.3,1.9,4,1287,6.1,HoyeBr00,,,,,,0-6-0,74.5,,,,,,,9,0.8,1,4,0.4,0.4,1,,,0.0,,2017,,2TM,,,,16,,,9,,,216,4,112,,10.5,117.0,,,,0.4,-3.0,
,,7.0,7.0,,,0,,6,1985-10-13,,,4,,,,,,,,,,,,,,0,0.0,1.0,-3.0,,5,0,6-2,0.0,,,,0,,,,,,,,,27,,,,0,Brian Hoyer,,7.0,,,66.7,0.0,0,42,7.0,HoyeBr00,,,,,,,86.8,,,,,,,4,0.8,0,-3,-0.8,-0.6,0,,,0.0,,,,NWE,,,,0,,,4,,,216,-3,0,,10.5,8.4,,,,-0.8,-3.0,
