,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,2,,,1988-01-30,,48.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,10,6-3,,,,,,,,,,,,,,,,,45,-8.0,Lance Kendricks,,,,,,,,,,KendLa00,TE,,,,,,,0,352,23.5,12.6,28,1.9,1.0,0.1,0.0,-8.0,-8.0,-0.5,0,,,0.0,,2011,,STL,,,58,,,,29,,,250,344,,,,,,,,11.9,0.0,
2012,,,,,,4,0.0,,1988-01-30,,65.6,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,16,14,6-3,,,,,,,,,,,,,,,,,80,,Lance Kendricks,,,,,,,,,,KendLa00,fb/TE,,,,,,,4,519,32.4,12.4,42,2.6,,,,,,,4,,,0.0,,2012,2.0,STL,,,64,,,,42,,,250,519,,,,,,,,12.4,0.0,
2013,,,,,,2,,,1988-01-30,,69.6,,,,,,,,,,,,,,,0,,,,,15,13,6-3,,,,,,,,,,,,,,,,,21,,Lance Kendricks,,,,,,,,,,KendLa00,TE,,,,,,,4,258,17.2,8.1,32,2.1,,,,,,,4,,,,,2013,,STL,,,46,,,,32,,,250,258,,,,,,,,8.1,,
2014,,,,,,2,0.0,,1988-01-30,,71.1,,,,,,,,,,,,,,,0,,,,,16,14,6-3,,,,,,,,,,,,,,,,,23,,Lance Kendricks,,,,,,,,,,KendLa00,TE/wr,,,,,,,5,259,16.2,9.6,27,1.7,,,,,,,5,,,0.0,,2014,1.0,STL,,,38,,,,27,,,250,259,,,,,,,,9.6,,
2015,,,,,,2,,,1988-01-30,,69.4,,,,,,,,,,,,,,,0,,,,,15,12,6-3,,,,,,,,,,,,,,,,,37,,Lance Kendricks,,,,,,,,,,KendLa00,TE/wr,,,,,,,2,245,16.3,9.8,25,1.7,,,,,,,2,,,,,2015,,STL,,,36,,,,25,,,250,245,,,,,,,,9.8,,
2016,,,,,,3,,,1988-01-30,,57.5,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,44,,Lance Kendricks,,,,,,,,,,KendLa00,TE,,,,,,,2,499,31.2,10.0,50,3.1,,,,,,,2,,,0.0,,2016,,LAR,,,87,,,,50,,,250,499,,,,,,,,10.0,0.0,
2017,,,,,,2,0.0,,1988-01-30,,51.4,,,,,,,,,,,,,,,0,,,,,16,9,6-3,,,,,,,,,,,,,,,,,51,,Lance Kendricks,,,,,,,,,,KendLa00,TE,,,,,,,1,203,12.7,11.3,18,1.1,,,,,,,1,,,0.0,,2017,2.0,GNB,,,35,,,,18,,,250,203,,,,,,,,11.3,,
2018,,,,,,1,0.0,,1988-01-30,,76.0,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,16,3,6-3,,,,,,,,,,,,,,,,,22,,Lance Kendricks,,,,,,,,,,KendLa00,te,,,,,,,1,170,10.6,8.9,19,1.2,,,,,,,1,,,0.0,,2018,1.0,GNB,,,25,,,,19,,,250,170,,,,,,,,8.9,0.0,
2019,,,,,,0,,,1988-01-30,,42.9,,,,,,,,,,,,,,,0,,,,,12,1,6-3,,,,,,,,,,,,,,,,,24,,Lance Kendricks,,,,,,,,,,KendLa00,te,,,,,,,0,50,4.2,16.7,3,0.3,,,,,,,0,,,,,2019,,LAC,,,7,,,,3,,,250,50,,,,,,,,16.7,,
Career,,,,,,18,0.0,,1988-01-30,,61.6,,,,,,,,,,,,,,,3,1.0,2.0,0.0,,137,92,6-3,,,,,,,,,,,,,,,,,80,0.0,Lance Kendricks,,,,,,,,,,KendLa00,,,,,,,,19,2555,18.6,10.5,244,1.8,1.0,0.0,0.0,-8.0,-8.0,-0.1,19,,,0.0,,Career,6.0,,,,396,,,,245,,,250,2547,,,,,,,,10.4,0.0,
