,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2019,,5.5,5.5,,,3,,2.0,1986-02-17,0,,1.0,,,,,,,,,,,,,,0.0,,,,,16,0.0,6-2,0.0,,,,0.0,,,,,,,,,11.0,70,,,0.0,Brett Kern,,5.5,,,50.0,0.0,0.0,11.0,5.5,KernBr20,P,,,,78,,66.7,,,,,,,1.0,0.1,0.0,0.0,0.0,0.0,0.0,,,,,2019,,TEN,,,,0.0,3672,,1.0,,,214,0.0,0.0,,11.0,0.7,,47.1,,0.0,,
Career,,5.5,5.5,,,31,0.0,2.0,1986-02-17,5,,1.0,,,,,,,,,,,,,,2.0,0.0,3.0,-30.0,,190,,6-2,0.0,,,,0.0,,,,,,,,,11.0,79,,,21.0,Brett Kern,,5.5,,,50.0,0.0,0.0,11.0,5.5,KernBr20,,,,,912,,66.7,,,,,,,5.0,0.0,0.0,21.0,4.2,0.1,0.0,,,0.0,,Career,2.0,,,,,0.0,41928,,5.0,,,214,21.0,0.0,,11.0,0.1,,46.0,,4.2,-30.0,
2010,,,,,,2,,,1986-02-17,0,,,,,,,,,,,,,,,,0.0,,,,,16,0.0,6-2,,,,,,,,,,,,,,,68,,,0.0,Brett Kern,,,,,,,,,,KernBr20,P,,,,77,,,,,,,,,1.0,0.1,0.0,0.0,0.0,0.0,0.0,,,,,2010,,TEN,,,,,3302,,1.0,,,214,0.0,,,,,,42.9,,0.0,,
2011,,,,,,2,,,1986-02-17,0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,0.0,6-2,,,,,,,,,,,,,,,64,,,21.0,Brett Kern,,,,,,,,,,KernBr20,P,,,,86,,,,,,,,,1.0,0.1,0.0,21.0,21.0,1.3,0.0,,,0.0,,2011,,TEN,,,,,3747,,1.0,,,214,21.0,,,,,,43.6,,21.0,0.0,
2013,,,,,,1,,,1986-02-17,1,,,,,,,,,,,,,,,,2.0,0.0,2.0,-30.0,,16,0.0,6-2,,,,,,,,,,,,,,,63,,,0.0,Brett Kern,,,,,,,,,,KernBr20,P,,,,78,,,,,,,,,2.0,0.1,0.0,0.0,0.0,0.0,0.0,,,0.0,,2013,,TEN,,,,,3386,,2.0,,,214,0.0,,,,,,43.4,,0.0,-30.0,
2012,,,,,,3,0.0,,1986-02-17,2,,,,,,,,,,,,,,,,,,,,,16,0.0,6-2,,,,,,,,,,,,,,,71,,,,Brett Kern,,,,,,,,,,KernBr20,P,,,,81,,,,,,,,,,,,,,,,,,0.0,,2012,1.0,TEN,,,,,3855,,,,,214,,,,,,,47.6,,,,
2018,,,,,,3,0.0,,1986-02-17,1,,,,,,,,,,,,,,,,,,,,,16,0.0,6-2,,,,,,,,,,,,,,,62,,,,Brett Kern,,,,,,,,,,KernBr20,P,,,,74,,,,,,,,,,,,,,,,,,0.0,,2018,1.0,TEN,,,,,3483,,,,,214,,,,,,,47.1,,,,
2008,,,,,,3,,,1986-02-17,0,,,,,,,,,,,,,,,,,,,,,16,0.0,6-2,,,,,,,,,,,,,,,64,,,,Brett Kern,,,,,,,,,,KernBr20,P,,,,46,,,,,,,,,,,,,,,,,,,,2008,,DEN,,,,,2150,,,,,214,,,,,,,46.7,,,,
2009,,,,,,2,,,1986-02-17,0,,,,,,,,,,,,,,,,,,,,,16,0.0,6-2,,,,,,,,,,,,,,,67,,,,Brett Kern,,,,,,,,,,KernBr20,,,,,64,,,,,,,,,,,,,,,,,,,,2009,,2TM,,,,,2910,,,,,214,,,,,,,45.5,,,,
,,,,,,1,,,1986-02-17,0,,,,,,,,,,,,,,,,,,,,,6,0.0,6-2,,,,,,,,,,,,,,,64,,,,Brett Kern,,,,,,,,,,KernBr20,p,,,,27,,,,,,,,,,,,,,,,,,,,,,DEN,,,,,1245,,,,,214,,,,,,,46.1,,,,
