,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,74.0,3.21,3.8,71.0,,-1,,197,1981-01-03,,,95,63.0,,,,,,,,,,1.0,,,3,0,0,-9,1.0,9,7,6-5,4.6,76.0,,,9,,,,,,,,,52,,,,15,Eli Manning,77.0,4.57,68.0,,48.2,3.0,6,1043,5.3,MannEl00,qb,,,,,1-6-0,55.4,,,,,,,6,0.7,0,35,5.8,3.9,0,,103.0,0.0,,2004,,NYG,,,,13,,88.0,6,,,220,35,83,73.0,11.0,115.9,,,,5.8,-9,
2005,102.0,5.63,6.2,99.0,,14,,557,1981-01-03,,,294,77.0,,,,,,,,,,1.0,,,9,0,0,0,2.0,16,16,6-5,3.1,102.0,,,17,,,,,,,,,78,,,,14,Eli Manning,102.0,6.12,93.0,,52.8,4.3,24,3762,6.8,MannEl00,QB,,,,,11-5-0,75.9,,,,,,,29,1.8,1,80,2.8,5.0,1,,112.0,0.0,,2005,,NYG,,,,28,,103.0,29,,,220,80,184,97.0,12.8,235.1,,,,2.8,0,
2006,95.0,4.99,5.6,92.0,,11,,522,1981-01-03,,,301,91.0,52.3,,,,,,,,,2.0,,,9,0,1,-3,2.0,16,16,6-5,3.4,95.0,,,18,,,,,,,,,55,,,,9,Eli Manning,93.0,5.59,95.0,,57.7,4.6,24,3244,6.2,MannEl00,QB,,,,,8-8-0,77.0,,,,,,,25,1.6,0,21,0.8,1.3,0,,112.0,0.0,,2006,,NYG,,,,25,,107.0,25,,,220,21,186,88.0,10.8,202.8,,,,0.8,-3,
2007,91.0,4.82,5.5,88.0,,10,,529,1981-01-03,,,297,84.0,54.6,,,,,,,,,3.0,,,13,0,4,-7,3.0,16,16,6-5,3.8,88.0,,,20,,,,,,,,,60,,,,18,Eli Manning,92.0,5.61,89.0,,56.1,4.3,23,3336,6.3,MannEl00,QB,,,,,10-6-0,73.9,,,,,,,29,1.8,1,69,2.4,4.3,1,,108.0,0.0,,2007,,NYG,,,,27,,104.0,29,,,220,69,217,88.0,11.2,208.5,,,,2.4,-7,
2008,104.0,6.0,6.7,104.0,,12,,479,1981-01-03,,,289,97.0,63.2,,,,,,,,,3.0,,,5,0,0,0,3.0,16,16,6-5,2.1,113.0,,,10,,,,,,,,,48,,,,13,Eli Manning,99.0,6.06,104.0,,60.3,4.4,21,3238,6.8,MannEl00,QB,,,,,12-4-0,86.4,,,,,,,20,1.3,1,10,0.5,0.6,1,,105.0,0.0,,2008,,NYG,,,,27,,103.0,20,,,220,10,174,97.0,11.2,202.4,,,,0.5,0,
2009,114.0,6.89,7.7,115.0,,13,,509,1981-01-03,,,317,105.0,69.8,,,,,,,,,1.0,,,13,0,1,0,2.0,16,16,6-5,2.8,103.0,,,14,,,,,,,,,74,,,,14,Eli Manning,116.0,7.06,112.0,,62.3,5.3,27,4021,7.9,MannEl00,QB,,,,,8-8-0,93.1,,,,,,,17,1.1,0,65,3.8,4.1,0,,103.0,0.0,,2009,,NYG,,,,30,,115.0,17,,,220,65,216,117.0,12.7,251.3,,,,3.8,0,
2010,104.0,6.09,6.5,99.0,,12,,539,1981-01-03,,,339,107.0,61.1,,,,,,,,,1.0,,,7,0,2,-4,1.0,16,16,6-5,4.6,77.0,,,25,,,,,,,,,92,,,,16,Eli Manning,113.0,7.0,102.0,,62.9,5.8,31,4002,7.4,MannEl00,QB,,,,,10-6-0,85.3,,,,,,,32,2.0,0,70,2.2,4.4,0,,125.0,0.0,,2010,,NYG,,,,16,,117.0,32,,,220,70,117,106.0,11.8,250.1,,,,2.2,-4,
2011,121.0,7.45,8.1,119.0,,15,,589,1981-01-03,,,359,101.0,64.0,,,,,,,,,5.0,,,8,0,3,-3,6.0,16,16,6-5,2.7,102.0,,,16,,,,,,,,,99,,,,12,Eli Manning,128.0,7.67,111.0,,61.0,4.9,29,4933,8.4,MannEl00,QB,,,,,9-7-0,92.9,,,,,,,35,2.2,1,15,0.4,0.9,1,,114.0,0.0,,2011,,NYG,,,,28,,107.0,35,,,220,15,199,126.0,13.7,308.3,,,,0.4,-3,
2012,109.0,6.59,7.1,104.0,,15,,536,1981-01-03,,,321,97.0,67.0,,,,,,,,,3.0,,,5,0,1,0,3.0,16,16,6-5,2.8,99.0,,,15,,,,,,,,,80,,,,13,Eli Manning,112.0,6.87,102.0,,59.9,4.9,26,3948,7.4,MannEl00,QB,,,,,9-7-0,87.2,,,,,,,20,1.3,0,30,1.5,1.9,0,,125.0,0.0,,2012,,NYG,,,,19,,106.0,20,,,220,30,136,105.0,12.3,246.8,,,,1.5,0,
2013,81.0,4.55,5.4,80.0,,7,,551,1981-01-03,,,317,84.0,39.3,,,,,,,,,1.0,,,7,0,1,-6,2.0,16,16,6-5,4.9,60.0,,,27,,,,,,,,,70,,,,14,Eli Manning,94.0,5.99,77.0,,57.5,3.3,18,3818,6.9,MannEl00,QB,,,,,7-9-0,69.4,,,,,,,18,1.1,0,36,2.0,2.3,0,,98.0,0.0,,2013,,NYG,,,,39,,87.0,18,,,220,36,281,95.0,12.0,238.6,,,,2.0,-6,
