,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,,,,72.0,1,5,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,3,5-11,,,,,,0.0,72.0,3.0,,,,,27.0,,,,,,Jason McCourty,,,,,,,,,,McCoJa99,lcb/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2009,25,TEN,,,,,,,,,,195,,,,,,24.0,,,,0.0,
2010,,,,,,3,10,,1987-08-13,,,,,,,,,,,,,,,,,,,,,,12,6,5-11,,,2.0,0.0,,,,,,,,11.0,,,,,,,Jason McCourty,,,,10.0,,,,,,McCoJa99,cb/lcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,37,TEN,,,,,,,,,,195,,,,,,,,,,,11.0
2011,,,,,,8,20,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,15,15,5-11,,,2.0,0.0,,,,,,,,30.0,,,,,,,Jason McCourty,,,,13.0,,,,,,McCoJa99,CB/lcb,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,83,TEN,,,,,,,,,,195,,,,,,,,,,0.0,52.0
2012,,,,,43.0,6,19,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,16,5-11,,,4.0,0.0,,0.0,14.0,1.0,,,,28.0,14.0,,,,,,Jason McCourty,,,,15.0,,,,,,McCoJa99,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,73,TEN,,,,,,,,,,195,,,,,,14.0,,,,0.0,29.0
2013,,,,,,6,11,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,1.0,77.0,,16,16,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jason McCourty,,,,11.0,,,,,,McCoJa99,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,54,TEN,,,,,,,,,,195,,,,,,,,,,77.0,0.0
2014,,,,,,6,8,,1987-08-13,,,,,,,,,,,,,,,,,0.0,2.0,1.0,62.0,,16,16,5-11,,,3.0,0.0,,,,,,,,0.0,,,,,,,Jason McCourty,,,,11.0,,,,,,McCoJa99,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,77,TEN,,,,,,,,,,195,,,,,,,,,,62.0,0.0
2015,,,,,,1,5,,1987-08-13,,,,,,,,,,,,,,,,,,,,,,4,4,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jason McCourty,,,,1.0,,,,,,McCoJa99,cb,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,10,TEN,,,,,,,,,,195,,,,,,,,,,,0.0
2016,,,,,,6,9,,1987-08-13,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,14,14,5-11,,,2.0,0.0,,,,,,,,6.0,,,,,,,Jason McCourty,,,,12.0,,,,,,McCoJa99,CB,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,60,TEN,,,,,,,,,,195,,,,,,,,,,0.0,7.0
2017,,,,,,6,11,,1987-08-13,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,14,14,5-11,,,3.0,1.0,,,,,,,,56.0,,,,,,,Jason McCourty,,,,14.0,,,,,,McCoJa99,CB/lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,54,CLE,,,,,,,,,,195,,,,,,,,,,0.0,59.0
2018,,,,,,4,16,,1987-08-13,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,12,5-11,,,1.0,0.0,,,,,,,,0.0,,,,,,,Jason McCourty,,,,10.0,,,,,,McCoJa99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,54,NWE,,,,,,,,,,195,,,,,,,,,,0.0,0.0
