,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,,,,,8,,,1988-07-12,,72.7,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,16,4,5-11,,,,,,,,,,,,,,,,,45,66,LeSean McCoy,,,,,,,,,,McCoLe01,rb,,,,,,,0,308,19.3,7.7,40,2.5,155,9.7,4,637,4.1,39.8,4,,,0.0,,2009,,PHI,,,55,,,,195,,,210,945,,,,,,,,4.8,0.0,
2010,,,,,,13,,,1988-07-12,,85.7,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,15,13,5-11,,,,,,,,,,,,,,,,,40,62,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,2,592,39.5,7.6,78,5.2,207,13.8,7,1080,5.2,72.0,9,,,0.0,,2010,,PHI,,,91,,,,285,,,210,1672,,,,,,,,5.9,0.0,
2011,,,,,,11,,,1988-07-12,,69.6,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,15,5-11,,,,,,,,,,,,,,,,,26,60,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,3,315,21.0,6.6,48,3.2,273,18.2,17,1309,4.8,87.3,20,,,0.0,,2011,,PHI,,,69,,,,321,,,210,1624,,,,,,,,5.1,0.0,
2012,,,,,,7,,,1988-07-12,,80.6,,,,,,,,,,,,,,,4,0.0,2.0,0.0,,12,12,5-11,,,,,,,,,,,,,,,,,36,34,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,3,373,31.1,6.9,54,4.5,200,16.7,2,840,4.2,70.0,5,,,0.0,,2012,,PHI,,,67,,,,254,,,210,1213,,,,,,,,4.8,0.0,
2013,,,,,,15,,,1988-07-12,,81.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,5-11,,,,,,,,,,,,,,,,,70,57,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,2,539,33.7,10.4,52,3.3,314,19.6,9,1607,5.1,100.4,11,,,0.0,,2013,,PHI,,,64,,,,366,,,210,2146,,,,,,,,5.9,0.0,
2014,,,,,,8,,,1988-07-12,,75.7,,,,,,,,,,,,,,,4,0.0,0.0,0.0,,16,16,5-11,,,,,,,,,,,,,,,,,18,53,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,0,155,9.7,5.5,28,1.8,312,19.5,5,1319,4.2,82.4,5,,,0.0,,2014,,PHI,,,37,,,,340,,,210,1474,,,,,,,,4.3,0.0,
2015,,,,,,8,,,1988-07-12,,64.0,,,,,,,,,,,,,,,2,0.0,2.0,6.0,,12,12,5-11,,,,,,,,,,,,,,,,,22,48,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,2,292,24.3,9.1,32,2.7,203,16.9,3,895,4.4,74.6,5,,,0.0,,2015,,BUF,,,50,,,,235,,,210,1187,,,,,,,,5.1,6.0,
2016,,,,,,13,,,1988-07-12,,87.7,,,,,,,,,,,,,,,3,0.0,1.0,-5.0,,15,15,5-11,,,,,,,,,,,,,,,,,41,75,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,1,356,23.7,7.1,50,3.3,234,15.6,13,1267,5.4,84.5,14,,,0.0,,2016,,BUF,,,57,,,,284,,,210,1623,,,,,,,,5.7,-5.0,
2017,,,,,,11,,,1988-07-12,,76.6,,,,,,,,,,,,,,,3,0.0,1.0,0.0,,16,16,5-11,,,,,,,,,,,,,,,,,39,48,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,2,448,28.0,7.6,59,3.7,287,17.9,6,1138,4.0,71.1,8,,,0.0,,2017,,BUF,,,77,,,,346,,,210,1586,,,,,,,,4.6,0.0,
2018,,,,,,4,,,1988-07-12,,73.9,,,,,,,,,,,,,,,0,,,,,14,13,5-11,,,,,,,,,,,,,,,,,24,28,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,0,238,17.0,7.0,34,2.4,161,11.5,3,514,3.2,36.7,3,,,,,2018,,BUF,,,46,,,,195,,,210,752,,,,,,,,3.9,,
2019,,,,,,6,,,1988-07-12,,82.4,,,,,,,,,,,,,,,3,0.0,1.0,0.0,,13,9,5-11,,,,,,,,,,,,,,,,,23,39,LeSean McCoy,,,,,,,,,,McCoLe01,RB,,,,,,,1,181,13.9,6.5,28,2.2,101,7.8,4,465,4.6,35.8,5,,,0.0,,2019,,KAN,,,34,,,,129,,,210,646,,,,,,,,5.0,0.0,
Career,,,,,,104,,,1988-07-12,,77.7,,,,,,,,,,,,,,,25,0.0,9.0,1.0,,160,141,5-11,,,,,,,,,,,,,,,,,70,75,LeSean McCoy,,,,,,,,,,McCoLe01,,,,,,,,16,3797,23.7,7.5,503,3.1,2447,15.3,73,11071,4.5,69.2,89,,,0.0,,Career,,,,,647,,,,2950,,,210,14868,,,,,,,,5.0,1.0,
