,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2007,,,,,,3,,,1985-03-11,,59.1,,,,,,,,,,,,,,,0,,,,,14,4,6-5,,,,,,,,,,,,,,,,,31,,Greg Olsen,,,,,,,,,,OlseGr00,te,,,,,,,2,391,27.9,10.0,39,2.8,,,,,,,2,,,,,2007,,CHI,,,66,,,,39,,,255,391,,,,,,,,10.0,,
2008,,,,,,5,,,1985-03-11,,65.9,,,,,,,,,,,,,,,2,1.0,0.0,0.0,,16,7,6-5,,,,,,,,,,,,,,,,,52,,Greg Olsen,,,,,,,,,,OlseGr00,te,,,,,,,5,574,35.9,10.6,54,3.4,,,,,,,5,,,0.0,,2008,,CHI,,,82,,,,54,,,255,574,,,,,,,,10.6,0.0,
2009,,,,,,5,,,1985-03-11,,55.6,,,,,,,,,,,,,,,0,0.0,2.0,0.0,,16,15,6-5,,,,,,,,,,,,,,,,,41,,Greg Olsen,,,,,,,,,,OlseGr00,TE,,,,,,,8,612,38.3,10.2,60,3.8,,,,,,,8,,,0.0,,2009,,CHI,,,108,,,,60,,,255,612,,,,,,,,10.2,0.0,
2010,,,,,,4,,,1985-03-11,,58.6,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,16,13,6-5,,,,,,,,,,,,,,,,,39,,Greg Olsen,,,,,,,,,,OlseGr00,TE,,,,,,,5,404,25.3,9.9,41,2.6,,,,,,,5,,,0.0,,2010,,CHI,,,70,,,,41,,,255,404,,,,,,,,9.9,0.0,
2011,,,,,,5,,,1985-03-11,,50.6,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,13,6-5,,,,,,,,,,,,,,,,,44,,Greg Olsen,,,,,,,,,,OlseGr00,fb/TE,,,,,,,5,540,33.8,12.0,45,2.8,,,,,,,5,,,0.0,,2011,,CAR,,,89,,,,45,,,255,540,,,,,,,,12.0,0.0,
2012,,,,,,7,,,1985-03-11,,66.3,,,,,,,,,,,,,,,0,,,,,16,16,6-5,,,,,,,,,,,,,,,,,47,,Greg Olsen,,,,,,,,,,OlseGr00,TE,,,,,,,5,843,52.7,12.2,69,4.3,,,,,,,5,,,,,2012,,CAR,,,104,,,,69,,,255,843,,,,,,,,12.2,,
2013,,,,,,8,,,1985-03-11,,65.8,,,,,,,,,,,,,,,0,,,,,16,16,6-5,,,,,,,,,,,,,,,,,31,,Greg Olsen,,,,,,,,,,OlseGr00,TE,,,,,,,6,816,51.0,11.2,73,4.6,,,,,,,6,,,,,2013,,CAR,,,111,,,,73,,,255,816,,,,,,,,11.2,,
2014,,,,,,8,,,1985-03-11,,68.3,,,,,,,,,,,,,,,1,0.0,2.0,-4.0,,16,16,6-5,,,,,,,,,,,,,,,,,38,,Greg Olsen,,,,,,,,,,OlseGr00,TE,,,,,,,6,1008,63.0,12.0,84,5.3,,,,,,,6,,,0.0,,2014,,CAR,,,123,,,,84,,,255,1008,,,,,,,,12.0,-4.0,
2015,,,,,,12,,,1985-03-11,,62.1,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,6-5,,,,,,,,,,,,,,,,,52,,Greg Olsen,,,,,,,,,,OlseGr00,TE,,,,,,,7,1104,69.0,14.3,77,4.8,,,,,,,7,,,0.0,,2015,,CAR,,,124,,,,77,,,255,1104,,,,,,,,14.3,0.0,
2016,,,,,,8,,,1985-03-11,,62.0,,,,,,,,,,,,,,,0,,,,,16,16,6-5,,,,,,,,,,,,,,,,,78,,Greg Olsen,,,,,,,,,,OlseGr00,TE,,,,,,,3,1073,67.1,13.4,80,5.0,,,,,,,3,,,,,2016,,CAR,,,129,,,,80,,,255,1073,,,,,,,,13.4,,
