,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2007,,,,,2021.0,11,,,1985-03-21,,67.9,,,,,,,,,,,,,,,4,0.0,3.0,0.0,,14,9,6-1,,,,,,0.0,412.0,16.0,,,,,53.0,,,,60,73,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,1,268,19.1,14.1,19,1.4,238,17.0,12,1341,5.6,95.8,13,,,0.0,,2007,,MIN,,,28,,,,257,,,220,1609,,,,,25.8,,,6.3,0.0,
2008,,,,,1901.0,13,,,1985-03-21,,53.8,,,,,,,,,,,,,,,9,0.0,2.0,0.0,,16,15,6-1,,,,,,0.0,16.0,1.0,,,,,16.0,,,,16,67,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,0,125,7.8,6.0,21,1.3,363,22.7,10,1760,4.8,110.0,10,,,0.0,,2008,,MIN,,,39,,,,384,,,220,1885,,,,,16.0,,,4.9,0.0,
2009,,,,,,16,,,1985-03-21,,75.4,,,,,,,,,,,,,,,7,0.0,0.0,-12.0,,16,15,6-1,,,,,,,,,,,,,,,,,63,64,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,0,436,27.3,10.1,43,2.7,314,19.6,18,1383,4.4,86.4,18,,,0.0,,2009,,MIN,,,57,,,,357,,,220,1819,,,,,,,,5.1,-12.0,
2010,,,,,,10,,,1985-03-21,,72.0,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,15,6-1,,,,,,,,,,,,,,,,,34,80,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,1,341,22.7,9.5,36,2.4,283,18.9,12,1298,4.6,86.5,13,,,0.0,,2010,,MIN,,,50,,,,319,,,220,1639,,,,,,,,5.1,0.0,
2011,,,,,,8,,,1985-03-21,,75.0,,,,,,,,,,,,,,,1,0.0,3.0,0.0,,12,12,6-1,,,,,,,,,,,,,,,,,22,54,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,1,139,11.6,7.7,18,1.5,208,17.3,12,970,4.7,80.8,13,,,0.0,,2011,,MIN,,,24,,,,226,,,220,1109,,,,,,,,4.9,0.0,
2012,,,,,,19,,,1985-03-21,,78.4,,,,,,,,,,,,,,,4,0.0,0.0,0.0,,16,16,6-1,,,,,,,,,,,,,,,,,20,82,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,1,217,13.6,5.4,40,2.5,348,21.8,12,2097,6.0,131.1,13,,,0.0,,2012,,MIN,,,51,,,,388,,,220,2314,,,,,,,,6.0,0.0,
2013,,,,,,11,,,1985-03-21,,72.5,,,,,,,,,,,,,,,5,0.0,1.0,0.0,,14,14,6-1,,,,,,,,,,,,,,,,,22,78,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,1,171,12.2,5.9,29,2.1,279,19.9,10,1266,4.5,90.4,11,,,0.0,,2013,,MIN,,,40,,,,308,,,220,1437,,,,,,,,4.7,0.0,
2014,,,,,,1,,,1985-03-21,,66.7,,,,,,,,,,,,,,,0,,,,,1,1,6-1,,,,,,,,,,,,,,,,,9,17,Adrian Peterson,,,,,,,,,,PeteAd01,rb,,,,,,,0,18,18.0,9.0,2,2.0,21,21.0,0,75,3.6,75.0,0,,,,,2014,,MIN,,,3,,,,23,,,220,93,,,,,,,,4.0,,
2015,,,,,,14,,,1985-03-21,,83.3,,,,,,,,,,,,,,,7,0.0,3.0,0.0,,16,16,6-1,,,,,,,,,,,,,,,,,49,80,Adrian Peterson,,,,,,,,,,PeteAd01,RB,,,,,,,0,222,13.9,7.4,30,1.9,327,20.4,11,1485,4.5,92.8,11,,,0.0,,2015,,MIN,,,36,,,,357,,,220,1707,,,,,,,,4.8,0.0,
2016,,,,,,1,,,1985-03-21,,50.0,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,3,3,6-1,,,,,,,,,,,,,,,,,7,13,Adrian Peterson,,,,,,,,,,PeteAd01,rb,,,,,,,0,8,2.7,2.7,3,1.0,37,12.3,0,72,1.9,24.0,0,,,0.0,,2016,,MIN,,,6,,,,40,,,220,80,,,,,,,,2.0,0.0,
