,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2013,,17.0,17.0,,350.0,15,2,1.0,1990-07-11,,75.0,1.0,,63.3,,,,,,,,,,,,3.0,0.0,2.0,0.0,,16,16,6-1,0.0,,3,0,0.0,0.0,18.0,1.0,,,,43,18.0,17.0,,22.0,19.0,12.0,Patrick Peterson,,17.0,,13,100.0,0.0,0.0,17.0,17.0,PetePa00,LCB,0.0,198.0,33.0,,,118.7,0.0,54.0,3.4,9.0,6.0,0.4,4.0,0.3,0.0,21.0,5.3,1.3,0.0,,,0.0,,2013,40,ARI,,,8.0,0.0,,,10.0,,,203,75.0,0.0,,17.0,1.1,18.0,,6.0,7.5,0.0,59
Career,,17.0,17.0,,2388.0,100,43,1.0,1990-07-11,,83.3,1.0,,,,,,,,,,,,,,19.0,2.0,12.0,155.0,,138,138,6-1,0.0,,25,1,0.0,0.0,75.0,4.0,,,,43,24.0,17.0,,99.0,19.0,17.0,Patrick Peterson,,17.0,,83,100.0,0.0,0.0,17.0,17.0,PetePa00,,4.0,1816.0,195.0,,,118.7,0.0,64.0,0.5,6.4,10.0,0.1,7.0,0.1,0.0,34.0,4.9,0.2,0.0,,,4.0,,Career,395,,,,12.0,0.0,,,17.0,,,203,98.0,0.0,,17.0,0.1,18.8,,9.3,5.8,155.0,244
2011,,,,,698.0,20,5,,1990-07-11,,100.0,,,,,,,,,,,,,,,4.0,0.0,2.0,-1.0,,16,16,6-1,,,2,0,,,,,,,,1,,,,99.0,-1.0,0.0,Patrick Peterson,,,,13,,,,,,PetePa00,RCB,4.0,699.0,44.0,,,,0.0,-1.0,-0.1,-1.0,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,,,1.0,,2011,59,ARI,,,1.0,,,,2.0,,,203,-1.0,,,,,,,15.9,-0.5,-1.0,1
2012,,,,,574.0,13,3,,1990-07-11,,100.0,,,,,,,,,,,,,,,7.0,0.0,5.0,60.0,,16,16,6-1,,,7,0,,,,,,,,31,,,,26.0,7.0,17.0,Patrick Peterson,,,,16,,,,,,PetePa00,LCB,0.0,426.0,51.0,,,,0.0,11.0,0.7,3.7,3.0,0.2,2.0,0.1,0.0,13.0,6.5,0.8,0.0,,,0.0,,2012,52,ARI,,,3.0,,,,5.0,,,203,24.0,,,,,,,8.4,4.8,60.0,64
2015,,,,,347.0,12,0,,1990-07-11,,0.0,,,,,,,,,,,,,,,4.0,1.0,0.0,0.0,,16,16,6-1,,,2,0,,0.0,46.0,2.0,,,,40,24.0,,,38.0,0.0,,Patrick Peterson,,,,8,,,,,,PetePa00,cb/LCB,0.0,260.0,32.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,0.0,,2015,35,ARI,,,0.0,,,,0.0,,,203,0.0,,,,,23.0,,8.1,,0.0,41
2016,,,,,119.0,10,6,,1990-07-11,,0.0,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,16,16,6-1,,,3,0,,0.0,11.0,1.0,,,,25,11.0,,,17.0,0.0,,Patrick Peterson,,,,6,,,,,,PetePa00,LCB,0.0,81.0,13.0,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,,0.0,,2016,45,ARI,,,0.0,,,,0.0,,,203,0.0,,,,,11.0,,6.2,,0.0,27
2014,,,,,,9,7,,1990-07-11,,,,,,,,,,,,,,,,,,,,,,16,16,6-1,,,3,1,,,,,,,,30,,,,,,,Patrick Peterson,,,,7,,,,,,PetePa00,LCB,,,,,,,,,,,,,,,,,,,,,,1.0,,2014,43,ARI,,,,,,,,,,203,,,,,,,,,,,30
2017,,,,,157.0,9,4,,1990-07-11,,,,,,,,,,,,,,,,,0.0,0.0,1.0,47.0,,16,16,6-1,,,1,0,,,,,,,,22,,,,19.0,,,Patrick Peterson,,,,8,,,,,,PetePa00,LCB,0.0,88.0,13.0,,,,,,,,,,,,,,,,,,,0.0,,2017,30,ARI,,,,,,,,,,203,,,,,,,,6.8,,47.0,22
2018,,,,,113.0,9,9,,1990-07-11,,,,,,,,,,,,,,,,,0.0,0.0,1.0,49.0,,16,16,6-1,,,2,0,,,,,,,,0,,,,16.0,,,Patrick Peterson,,,,5,,,,,,PetePa00,CB,0.0,64.0,9.0,,,,,,,,,,,,,,,,,,,1.0,,2018,45,ARI,,,,,,,,,,203,,,,,,,,7.1,,49.0,0
2019,,,,,,3,7,,1990-07-11,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,10,10,6-1,,,2,0,,,,,,,,0,,,,,,,Patrick Peterson,,,,7,,,,,,PetePa00,CB/db,,,,,,,,,,,,,,,,,,,,,,1.0,,2019,46,ARI,,,,,,,,,,203,,,,,,,,,,0.0,0
