,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,7,14,,1987-02-28,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,16,11,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brooks Reed,,,,3.0,,,,,,ReedBr00,LB,,,,,,,,,,,,,,,,,,,,,,6.0,,2011,31,HOU,,,,,,,,,,254,,,,,,,,,,0.0,0.0
2012,,,,,,5,8,,1987-02-28,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,12,12,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brooks Reed,,,,3.0,,,,,,ReedBr00,LB,,,,,,,,,,,,,,,,,,,,,,2.5,,2012,19,HOU,,,,,,,,,,254,,,,,,,,,,0.0,0.0
2013,,,,,,7,13,,1987-02-28,,,,,,,,,,,,,,,,,,,,,,16,16,6-3,,,,,,,,,,,,,,,,,,,Brooks Reed,,,,,,,,,,ReedBr00,LB,,,,,,,,,,,,,,,,,,,,,,3.0,,2013,43,HOU,,,,,,,,,,254,,,,,,,,,,,
2014,,,,,,7,16,,1987-02-28,,,,,,,,,,,,,,,,,,,,,,16,13,6-3,,,1.0,0.0,,,,,,,,5.0,,,,,,,Brooks Reed,,,,4.0,,,,,,ReedBr00,LB,,,,,,,,,,,,,,,,,,,,,,3.0,,2014,25,HOU,,,,,,,,,,254,,,,,,,,,,,5.0
2015,,,,,,3,7,,1987-02-28,,,,,,,,,,,,,,,,,,,,,,13,5,6-3,,,,,,,,,,,,,,,,,,,Brooks Reed,,,,,,,,,,ReedBr00,lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,10,ATL,,,,,,,,,,254,,,,,,,,,,,
2016,,,,,,3,8,,1987-02-28,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,7,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Brooks Reed,,,,1.0,,,,,,ReedBr00,de,,,,,,,,,,,,,,,,,,,,,,2.0,,2016,17,ATL,,,,,,,,,,254,,,,,,,,,,0.0,0.0
2017,,,,,,6,18,,1987-02-28,,,,,,,,,,,,,,,,,,,,,,16,14,6-3,,,,,,,,,,,,,,,,,,,Brooks Reed,,,,,,,,,,ReedBr00,DE,,,,,,,,,,,,,,,,,,,,,,4.0,,2017,23,ATL,,,,,,,,,,254,,,,,,,,,,,
2018,,,,,,4,8,,1987-02-28,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,8,6-3,,,,,,,,,,,,,,,,,,,Brooks Reed,,,,,,,,,,ReedBr00,de/dt,,,,,,,,,,,,,,,,,,,,,,1.0,,2018,16,ATL,,,,,,,,,,254,,,,,,,,,,0.0,
2019,,,,,,1,4,,1987-02-28,,,,,,,,,,,,,,,,,,,,,,9,0,6-3,,,,,,,,,,,,,,,,,,,Brooks Reed,,,,,,,,,,ReedBr00,,,,,,,,,,,,,,,,,,,,,,,1.0,,2019,4,ARI,,,,,,,,,,254,,,,,,,,,,,
Career,,,,,,43,96,,1987-02-28,,,,,,,,,,,,,,,,,0.0,4.0,2.0,0.0,,129,86,6-3,,,1.0,0.0,,,,,,,,5.0,,,,,,,Brooks Reed,,,,11.0,,,,,,ReedBr00,,,,,,,,,,,,,,,,,,,,,,,22.5,,Career,188,,,,,,,,,,,254,,,,,,,,,,0.0,5.0
