,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,,-0.42,1.3,,,0,,16,1983-12-02,,,9,,,,,,,,,,,,,,2,0.0,0.0,0.0,,3,0,6-2,6.3,,,,1,,,,,,,,,16,,,,8,Aaron Rodgers,,1.95,,,56.3,0.0,0,65,4.1,RodgAa00,,,,,,,39.8,,,,,,,2,0.7,0,7,3.5,2.3,0,,,0.0,,2005,,GNB,,,,3,,,2,,,225,7,28,,7.2,21.7,,,,3.5,0.0,
2006,,1.56,3.1,,,0,,15,1983-12-02,,,6,,7.8,,,,,,,,,,,,1,0.0,0.0,0.0,,2,0,6-2,0.0,,,,0,,,,,,,,,16,,,,6,Aaron Rodgers,,1.56,,,40.0,0.0,0,46,3.1,RodgAa00,,,,,,,48.2,,,,,,,2,1.0,0,11,5.5,5.5,0,,,0.0,,2006,,GNB,,,,3,,,2,,,225,11,18,,7.7,23.0,,,,5.5,0.0,
2007,,6.9,8.5,,,1,,28,1983-12-02,,,20,,78.0,,,,,,,,,,,,0,,,,,2,0,6-2,0.0,,,,0,,,,,,,,,43,,,,13,Aaron Rodgers,,6.26,,,71.4,3.6,1,218,7.8,RodgAa00,,,,,,,106.0,,,,,,,7,3.5,0,29,4.1,14.5,0,,,,,2007,,GNB,,,,3,,,7,,,225,29,24,,10.9,109.0,,,,4.1,,
2008,112.0,6.64,7.5,113.0,,14,,536,1983-12-02,,,341,108.0,64.4,,,,,,,,,1.0,,,10,0.0,5.0,-22.0,2.0,16,16,6-2,2.4,108.0,,,13,,,,,,,,,71,,,,21,Aaron Rodgers,109.0,6.68,113.0,,63.6,5.2,28,4038,7.5,RodgAa00,QB,,,,,6-10-0,93.8,,,,,,,56,3.5,4,207,3.7,12.9,4,,100.0,0.0,,2008,,GNB,,,,34,,113.0,56,,,225,207,231,111.0,11.8,252.4,,,,3.7,-22.0,
2009,121.0,7.47,8.7,127.0,,19,,541,1983-12-02,,,350,113.0,70.7,,,,,,,,,2.0,,,10,0.0,4.0,-8.0,2.0,16,16,6-2,1.3,123.0,,,7,,,,,,,,,83,,,,35,Aaron Rodgers,114.0,6.98,124.0,,64.7,5.5,30,4434,8.2,RodgAa00,QB,,,,,11-5-0,103.2,,,,,,,58,3.6,5,316,5.4,19.8,5,,81.0,0.0,,2009,,GNB,,,,50,,118.0,58,,,225,316,306,123.0,12.7,277.1,,,,5.4,-8.0,
2010,119.0,7.5,8.4,120.0,,15,,475,1983-12-02,,,312,116.0,69.2,,,,,,,,,0.0,,,4,0.0,1.0,-2.0,1.0,15,15,6-2,2.3,109.0,,,11,,,,,,,,,86,,,,27,Aaron Rodgers,119.0,7.37,119.0,,65.7,5.9,28,3922,8.3,RodgAa00,QB,,,,,10-5-0,101.2,,,,,,,64,4.3,4,356,5.6,23.7,4,,100.0,0.0,,2010,,GNB,,,,31,,119.0,64,,,225,356,193,121.0,12.6,261.5,,,,5.6,-2.0,
2011,147.0,9.39,10.5,150.0,,23,,502,1983-12-02,,,343,127.0,84.5,,,,,,,,,0.0,,,5,0.0,2.0,0.0,1.0,15,15,6-2,1.2,126.0,,,6,,,,,,,,,93,,,,25,Aaron Rodgers,139.0,8.22,149.0,,68.3,9.0,45,4643,9.2,RodgAa00,QB,,,,,14-1-0,122.5,,,,,,,60,4.0,3,257,4.3,17.1,3,,96.0,0.0,,2011,,GNB,,,,36,,153.0,60,,,225,257,219,144.0,13.5,309.5,,,,4.3,0.0,
2012,118.0,7.33,8.5,123.0,,16,,552,1983-12-02,,100.0,371,123.0,71.2,,,,,,,,,2.0,,,5,0.0,1.0,0.0,3.0,16,16,6-2,1.4,121.0,,,8,,,,,,,,,73,,,-1.0,27,Aaron Rodgers,107.0,6.64,128.0,,67.2,7.1,39,4295,7.8,RodgAa00,QB,,,,,11-5-0,108.0,0.0,-1.0,-0.1,-1.0,1.0,0.1,54,3.4,2,259,4.8,16.2,2,,83.0,0.0,,2012,,GNB,,,1.0,51,,130.0,55,,,225,258,293,113.0,11.6,268.4,,,,4.7,0.0,
2013,127.0,8.0,9.0,130.0,,9,,290,1983-12-02,,,193,119.0,60.6,,,,,,,,,1.0,,,5,0.0,1.0,-6.0,1.0,9,9,6-2,2.1,110.0,,,6,,,,,,,,,83,,,,18,Aaron Rodgers,132.0,7.78,124.0,,66.6,5.9,17,2536,8.7,RodgAa00,QB,,,,,6-3-0,104.9,,,,,,,30,3.3,0,120,4.0,13.3,0,,97.0,0.0,,2013,,GNB,,,,21,,117.0,30,,,225,120,117,138.0,13.1,281.8,,,,4.0,-6.0,
2014,135.0,8.65,9.5,135.0,,21,,520,1983-12-02,,,341,113.0,78.3,,,,,,,,,1.0,,,12,0.0,6.0,-25.0,1.0,16,16,6-2,1.0,127.0,,,5,,,,,,,,,80,,,,19,Aaron Rodgers,129.0,7.68,132.0,,65.6,7.3,38,4381,8.4,RodgAa00,QB,,,,,12-4-0,112.2,,,,,,,43,2.7,2,269,6.3,16.8,2,,110.0,0.0,,2014,,GNB,,,,28,,132.0,43,,,225,269,174,129.0,12.8,273.8,,,,6.3,-25.0,
