,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,15.0,15.0,,403.0,2,1.0,1.0,1987-03-17,,51.2,1.0,,97.6,,,,,,,,,,,,0,0.0,1.0,0.0,,11,0,5-11,0.0,,,,0.0,0.0,93.0,5.0,,,,,25.0,15.0,,10.0,32,,Emmanuel Sanders,,15.0,,,100.0,0.0,0.0,15.0,15.0,SandEm00,,0.0,22.0,3.0,,,118.7,2,288,26.2,13.1,22,2.0,,,,,,,2,,,0.0,,2011,1.0,PIT,,,43,0.0,,,22,,,180,288,0.0,,15.0,1.4,18.6,,7.3,13.1,0.0,
2012,,-7.0,,,750.0,5,,0.0,1987-03-17,,58.7,0.0,,0.1,,,,,,,,,,,,3,0.0,0.0,0.0,,16,7,5-11,,,,,0.0,0.0,27.0,1.0,,,,,27.0,0.0,,63.0,37,4.0,Emmanuel Sanders,,-7.0,,,,,0.0,0.0,,SandEm00,wr,0.0,93.0,9.0,,,,1,626,39.1,14.2,44,2.8,1.0,0.1,0.0,4.0,4.0,0.3,1,,,0.0,,2012,,PIT,,,75,1.0,,,45,,,180,630,7.0,,,0.0,27.0,,10.3,14.0,0.0,
2018,,48.0,48.0,,,7,,1.0,1987-03-17,,72.4,1.0,,100.0,,,,,,,,,,,,1,0.0,0.0,0.0,,12,12,5-11,0.0,,,,0.0,,,,,,,,,28.0,,,64,35.0,Emmanuel Sanders,,28.0,,,100.0,100.0,1.0,28.0,28.0,SandEm00,WR,,,,,,158.3,4,868,72.3,12.2,71,5.9,4.0,0.3,1.0,53.0,13.3,4.4,5,,,0.0,,2018,,DEN,,,98,0.0,,,75,,,180,921,0.0,,28.0,2.3,,,,12.3,0.0,
2019,,55.0,55.0,,,8,,1.0,1987-03-17,,68.0,1.0,,,,,,,,,,,0.0,,,0,,,,0.0,17,16,5-11,0.0,,,,0.0,,,,,,,,,35.0,,,75,,Emmanuel Sanders,,35.0,,,100.0,100.0,1.0,35.0,35.0,SandEm00,,,,,,,158.3,5,869,51.1,13.2,66,3.9,,,,,,,5,,,,,2019,,2TM,,,97,0.0,,,66,,,180,869,0.0,,35.0,2.1,,,,13.2,,
,,55.0,55.0,,,3,,1.0,1987-03-17,,,1.0,,,,,,,,,,,,,,0,,,,,10,9,5-11,0.0,,,,0.0,,,,,,,,,35.0,,,53,,Emmanuel Sanders,,35.0,,,100.0,100.0,1.0,35.0,35.0,SandEm00,WR,,,,,,158.3,2,367,52.4,12.2,30,4.3,,,,,,,2,,,,,,,SFO,,,44,0.0,,,30,,,180,367,0.0,,35.0,3.5,,,,12.2,,
Career,,27.75,39.3,,9422.0,66,5.0,3.0,1987-03-17,,61.2,3.0,,,,,,,,,,,0.0,,,11,1.0,3.0,0.0,0.0,144,104,5-11,0.0,,,,0.0,0.0,1083.0,45.0,,,,,48.0,35.0,,63.0,75,35.0,Emmanuel Sanders,,17.75,,,100.0,66.7,2.0,78.0,26.0,SandEm00,,0.0,287.0,36.0,,,158.3,42,7893,54.8,13.1,601,4.2,18.0,0.1,1.0,159.0,8.8,1.1,43,,,0.0,,Career,7.0,,,,982,1.0,,,619,,,180,8052,7.0,,26.0,0.5,24.1,,8.0,13.0,0.0,
2010,,,,,1064.0,3,4.0,,1987-03-17,,56.0,,,,,,,,,,,,,,,2,1.0,0.0,0.0,,13,1,5-11,,,,,,0.0,628.0,25.0,,,,,48.0,,,38.0,35,,Emmanuel Sanders,,,,,,,,,,SandEm00,wr,0.0,60.0,4.0,,,,2,376,28.9,13.4,28,2.2,,,,,,,2,,,0.0,,2010,6.0,PIT,,,50,,,,28,,,180,376,,,,,25.1,,15.0,13.4,0.0,
2013,,,,,1033.0,7,,,1987-03-17,,59.3,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,16,10,5-11,,,,,,0.0,268.0,10.0,,,,,46.0,,,,55,25.0,Emmanuel Sanders,,,,,,,,,,SandEm00,WR,,,,,,,6,740,46.3,11.0,67,4.2,1.0,0.1,0.0,25.0,25.0,1.6,6,,,0.0,,2013,,PIT,,,113,,,,68,,,180,765,,,,,26.8,,,11.3,0.0,
2014,,,,,1513.0,14,,,1987-03-17,,71.6,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,5-11,,,,,,0.0,54.0,3.0,,,,,22.0,,,11.0,48,13.0,Emmanuel Sanders,,,,,,,,,,SandEm00,WR,0.0,11.0,1.0,,,,9,1404,87.8,13.9,101,6.3,8.0,0.5,0.0,44.0,5.5,2.8,9,,,0.0,,2014,,DEN,,,141,,,,109,,,180,1448,,,,,18.0,,11.0,13.3,0.0,
2015,,,,,1280.0,8,,,1987-03-17,,55.9,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,15,15,5-11,,,,,,0.0,13.0,1.0,,,,,13.0,,,14.0,75,24.0,Emmanuel Sanders,,,,,,,,,,SandEm00,WR,0.0,103.0,17.0,,,,6,1135,75.7,14.9,76,5.1,3.0,0.2,0.0,29.0,9.7,1.9,6,,,0.0,,2015,,DEN,,,136,,,,79,,,180,1164,,,,,13.0,,6.1,14.7,0.0,
