,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2004,60.0,2.11,2.4,54.0,,1,,70,1981-06-25,,,33,59.0,,,,,,,,,,,,,1,0.0,0.0,0.0,,6,1,6-6,5.7,56.0,,,4,,,,,,,,,59,,,,11,Matt Schaub,72.0,4.27,52.0,,47.1,1.4,1,330,4.7,SchaMa00,qb,,,,,0-1-0,42.0,,,,,,,8,1.3,0,26,3.3,4.3,0,,108.0,0.0,,2004,,ATL,,,,4,,68.0,8,,,245,26,14,63.0,10.0,55.0,,,,3.3,0.0,
2005,128.0,7.83,9.0,132.0,,2,,64,1981-06-25,,,33,73.0,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,1,6-6,0.0,154.0,,,0,,,,,,,,,53,,,,23,Matt Schaub,111.0,6.69,121.0,,51.6,6.3,4,495,7.7,SchaMa00,qb,,,,,0-1-0,98.1,,,,,,,9,0.6,0,76,8.4,4.8,0,,88.0,0.0,,2005,,ATL,,,,6,,125.0,9,,,245,76,27,114.0,15.0,30.9,,,,8.4,0.0,
2006,,4.48,5.1,,,1,0.0,27,1981-06-25,,,18,,70.6,,,,,,,,,,,,1,0.0,1.0,-11.0,,16,0,6-6,7.4,,,,2,,,,,,,,,47,,,,19,Matt Schaub,,6.9,,,66.7,3.7,1,208,7.7,SchaMa00,,,,,,,71.2,,,,,,,7,0.4,0,21,3.0,1.3,0,,,0.0,,2006,1.0,ATL,,,,2,,,7,,,245,21,8,,11.6,13.0,,,,3.0,-11.0,
2007,108.0,6.2,7.0,109.0,,8,,289,1981-06-25,,,192,120.0,67.2,,,,,,,,,1.0,,,7,0.0,2.0,-6.0,1.0,11,11,6-6,3.1,99.0,,,9,,,,,,,,,77,,,,12,Matt Schaub,116.0,6.93,107.0,,66.4,3.1,9,2241,7.8,SchaMa00,QB,,,,,4-7-0,87.2,,,,,,,17,1.5,0,52,3.1,4.7,0,,106.0,0.0,,2007,,HOU,,,,16,,90.0,17,,,245,52,126,118.0,11.7,203.7,,,,3.1,-6.0,
2008,114.0,6.81,7.6,115.0,,10,,380,1981-06-25,,,251,116.0,64.8,,,,,,,,,2.0,,,10,0.0,4.0,-5.0,2.0,11,11,6-6,2.6,105.0,,,10,,,,,,,,,65,,,,10,Matt Schaub,118.0,7.18,112.0,,66.1,3.9,15,3043,8.0,SchaMa00,QB,,,,,6-5-0,92.7,,,,,,,31,2.8,2,68,2.2,6.2,2,,102.0,0.0,,2008,,HOU,,,,23,,99.0,31,,,245,68,149,120.0,12.1,276.6,,,,2.2,-5.0,
2009,121.0,7.44,8.0,119.0,,15,,583,1981-06-25,,,396,124.0,73.8,,,,,,,,,2.0,,,3,0.0,1.0,-2.0,4.0,16,16,6-6,2.6,105.0,,,15,,,,,,,,,72,,,,19,Matt Schaub,125.0,7.6,119.0,,67.9,5.0,29,4770,8.2,SchaMa00,QB,,,,,9-7-0,98.6,,,,,,,48,3.0,0,57,1.2,3.6,0,,114.0,0.0,,2009,,HOU,,,,25,,110.0,48,,,245,57,149,122.0,12.0,298.1,,,,1.2,-2.0,
2010,111.0,6.74,7.5,110.0,,17,,574,1981-06-25,,,365,109.0,62.9,,,,,,,,,2.0,,,9,0.0,1.0,-15.0,2.0,16,16,6-6,2.1,112.0,,,12,,,,,,,,,60,,,,8,Matt Schaub,110.0,6.84,109.0,,63.6,4.2,24,4370,7.6,SchaMa00,QB,,,,,6-10-0,92.0,,,,,,,22,1.4,0,28,1.3,1.8,0,,107.0,0.0,,2010,,HOU,,,,32,,99.0,22,,,245,28,226,110.0,12.0,273.1,,,,1.3,-15.0,
2011,126.0,7.83,8.6,125.0,,9,,292,1981-06-25,,,178,101.0,72.9,,,,,,,,,0.0,,,3,0.0,1.0,-13.0,1.0,10,10,6-6,2.1,113.0,,,6,,,,,,,,,80,,,,3,Matt Schaub,129.0,7.73,116.0,,61.0,5.1,15,2479,8.5,SchaMa00,QB,,,,,7-3-0,96.8,,,,,,,15,1.5,2,9,0.6,0.9,2,,108.0,0.0,,2011,,HOU,,,,16,,110.0,15,,,245,9,98,128.0,13.9,247.9,,,,0.6,-13.0,
2012,107.0,6.47,7.2,105.0,,12,,544,1981-06-25,,100.0,350,112.0,61.3,,,,,,,,,2.0,,,4,0.0,2.0,-2.0,2.0,16,16,6-6,2.2,109.0,,,12,,,,,,,,,60,,,-6.0,8,Matt Schaub,107.0,6.64,107.0,,64.3,4.0,22,4008,7.4,SchaMa00,QB,,,,,12-4-0,90.7,0.0,-6.0,-0.4,-6.0,1.0,0.1,21,1.3,0,-9,-0.4,-0.6,0,,114.0,0.0,,2012,,HOU,,,1.0,27,,97.0,22,,,245,-15,216,105.0,11.5,250.5,,,,-0.7,-2.0,
2013,81.0,4.53,5.3,78.0,,3,,358,1981-06-25,,,219,98.0,36.7,,,,,,,,,2.0,,,2,0.0,0.0,-1.0,2.0,10,8,6-6,3.9,78.0,,,14,,,,,,,,,46,,,,7,Matt Schaub,87.0,5.67,82.0,,61.2,2.8,10,2310,6.5,SchaMa00,QB,,,,,2-6-0,73.0,,,,,,,5,0.5,0,24,4.8,2.4,0,,107.0,0.0,,2013,,HOU,,,,21,,82.0,5,,,245,24,162,84.0,10.5,231.0,,,,4.8,-1.0,
