,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,1,2,,1988-12-11,,88.9,,,,,,,,,,,,,,,0,,,,,15,7,5-10,,,,,,,,,,,,,,,,,19,3.0,Anthony Sherman,,,,,,,,,,SherAn00,fb,,,,,,,0,72,4.8,9.0,8,0.5,1.0,0.1,0.0,3.0,3.0,0.2,0,,,0.0,,2011,4,ARI,,,9,,,,9,,,242,75,,,,,,,,8.3,,
2012,,,,,,0,1,,1988-12-11,,62.5,,,,,,,,,,,,,,,0,1.0,1.0,11.0,,13,4,5-10,,,,,,,,,,,,,,,,,19,,Anthony Sherman,,,,,,,,,,SherAn00,fb,,,,,,,0,39,3.0,7.8,5,0.4,,,,,,,0,,,0.0,,2012,7,ARI,,,8,,,,5,,,242,39,,,,,,,,7.8,11.0,
2013,,,,,,2,1,,1988-12-11,,75.0,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,8,5-10,,,,,,,,,,,,,,,,,26,2.0,Anthony Sherman,,,,,,,,,,SherAn00,FB,,,,,,,1,155,9.7,8.6,18,1.1,2.0,0.1,0.0,3.0,1.5,0.2,1,,,0.0,,2013,11,KAN,,,24,,,,20,,,242,158,,,,,,,,7.9,0.0,
2014,,,,,92.0,1,0,,1988-12-11,,71.4,,,,,,,,,,,,,,,0,2.0,1.0,0.0,,16,6,5-10,,,,,,0.0,13.0,1.0,,,,,13.0,,,,24,4.0,Anthony Sherman,,,,,,,,,,SherAn00,fb,,,,,,,1,71,4.4,7.1,10,0.6,2.0,0.1,0.0,8.0,4.0,0.5,1,,,0.0,,2014,13,KAN,,,14,,,,12,,,242,79,,,,,13.0,,,6.6,0.0,
2015,,,,,54.0,0,1,,1988-12-11,,80.0,,,,,,,,,,,,,,,0,,,,,16,2,5-10,,,,,,0.0,20.0,2.0,,,,,11.0,,,,18,0.0,Anthony Sherman,,,,,,,,,,SherAn00,fb,,,,,,,0,34,2.1,8.5,4,0.3,1.0,0.1,0.0,0.0,0.0,0.0,0,,,0.0,,2015,5,KAN,,,5,,,,5,,,242,34,,,,,10.0,,,6.8,,
2016,,,,,,0,0,,1988-12-11,,66.7,,,,,,,,,,,,,,,0,2.0,0.0,0.0,,16,3,5-10,,,,,,,,,,,,,,,,,6,,Anthony Sherman,,,,,,,,,,SherAn00,fb,,,,,,,0,11,0.7,2.8,4,0.3,,,,,,,0,,,0.0,,2016,9,KAN,,,6,,,,4,,,242,11,,,,,,,,2.8,0.0,
2017,,,,,94.0,1,0,,1988-12-11,,75.0,,,,,,,,,,,,,,,0,0.0,1.0,0.0,,16,3,5-10,,,,,,0.0,7.0,1.0,,,,,7.0,,,,11,9.0,Anthony Sherman,,,,,,,,,,SherAn00,fb,,,,,,,0,47,2.9,7.8,6,0.4,14.0,0.9,1.0,40.0,2.9,2.5,1,,,0.0,,2017,1,KAN,,,8,,,,20,,,242,87,,,,,7.0,,,4.4,0.0,
2018,,,,,103.0,1,2,,1988-12-11,,88.9,,,,,,,,,,,,,,,0,,,,,16,1,5-10,,,,,,0.0,5.0,1.0,,,,,5.0,,,,36,2.0,Anthony Sherman,,,,,,,,,,SherAn00,fb,,,,,,,1,96,6.0,12.0,8,0.5,1.0,0.1,0.0,2.0,2.0,0.1,1,,,0.0,,2018,2,KAN,,,9,,,,9,,,242,98,,,,,5.0,,,10.9,,
2019,,,,,,0,3,,1988-12-11,,66.7,,,,,,,,,,,,,,,0,,,,,16,0,5-10,,,,,,,,,,,,,,,,,15,5.0,Anthony Sherman,,,,,,,,,,SherAn00,,,,,,,,0,22,1.4,11.0,2,0.1,4.0,0.3,0.0,9.0,2.3,0.6,0,,,0.0,,2019,5,KAN,,,3,,,,6,,,242,31,,,,,,,,5.2,,
Career,,,,,668.0,6,10,,1988-12-11,,75.6,,,,,,,,,,,,,,,1,5.0,3.0,11.0,,140,34,5-10,,,,,,0.0,45.0,5.0,,,,,13.0,,,,36,9.0,Anthony Sherman,,,,,,,,,,SherAn00,,,,,,,,3,547,3.9,8.4,65,0.5,25.0,0.2,1.0,65.0,2.6,0.5,4,,,0.0,,Career,57,,,,86,,,,90,,,242,612,,,,,9.0,,,6.8,11.0,
