,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,722,1,6.0,,1987-09-30,,,,,,,,,,,,,,,,,,,,,,16,3,5-10,,,0.0,0.0,,0.0,445.0,16.0,,,,0.0,78.0,,,53.0,,,Marcus Sherels,,,,3.0,,,,,,SherMa20,cb/lcb,0.0,277.0,33.0,,,,,,,,,,,,,,,,,,,1.0,,2011,21.0,MIN,,,,,,,,,,175,,,,,,27.8,,8.4,,,0.0
2012,,,,,709,2,2.0,,1987-09-30,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,16,0,5-10,,,0.0,0.0,,0.0,422.0,16.0,,,,0.0,41.0,,,77.0,,,Marcus Sherels,,,,1.0,,,,,,SherMa20,,1.0,287.0,32.0,,,,,,,,,,,,,,,,,,,0.0,,2012,8.0,MIN,,,,,,,,,,175,,,,,,26.4,,9.0,,0.0,0.0
2013,,,,,335,3,6.0,,1987-09-30,,,,,,,,,,,,,,,,,3.0,0.0,2.0,0.0,,16,3,5-10,,,1.0,0.0,,,,,,,,0.0,,,,86.0,,,Marcus Sherels,,,,6.0,,,,,,SherMa20,lcb/rcb,1.0,335.0,22.0,,,,,,,,,,,,,,,,,,,0.0,,2013,40.0,MIN,,,,,,,,,,175,,,,,,,,15.2,,0.0,0.0
2014,,,,,407,1,1.0,,1987-09-30,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,0,5-10,,,,,,0.0,110.0,4.0,,,,,46.0,,,35.0,,,Marcus Sherels,,,,,,,,,,SherMa20,,0.0,297.0,27.0,,,,,,,,,,,,,,,,,,,0.0,,2014,8.0,MIN,,,,,,,,,,175,,,,,,27.5,,11.0,,0.0,
2015,,,,,344,2,0.0,,1987-09-30,,,,,,,,,,,,,,,,,2.0,0.0,1.0,0.0,,16,0,5-10,,,,,,0.0,33.0,2.0,,,,,21.0,,,65.0,,,Marcus Sherels,,,,,,,,,,SherMa20,,1.0,311.0,34.0,,,,,,,,,,,,,,,,,,,0.0,,2015,8.0,MIN,,,,,,,,,,175,,,,,,16.5,,9.1,,0.0,
2016,,,,,327,3,0.0,,1987-09-30,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,11,0,5-10,,,0.0,0.0,,0.0,35.0,2.0,,,,0.0,18.0,,,79.0,,,Marcus Sherels,,,,1.0,,,,,,SherMa20,,2.0,292.0,21.0,,,,,,,,,,,,,,,,,,,0.0,,2016,4.0,MIN,,,,,,,,,,175,,,,,,17.5,,13.9,,0.0,0.0
2017,,,,,643,1,0.0,,1987-09-30,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,16,0,5-10,,,,,,0.0,271.0,11.0,,,,,32.0,,,46.0,,,Marcus Sherels,,,,,,,,,,SherMa20,,0.0,372.0,39.0,,,,,,,,,,,,,,,,,,,0.0,,2017,6.0,MIN,,,,,,,,,,175,,,,,,24.6,,9.5,,0.0,
2018,,,,,310,1,,,1987-09-30,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,12,0,5-10,,,,,,0.0,34.0,2.0,,,,,17.0,,,70.0,,,Marcus Sherels,,,,,,,,,,SherMa20,,0.0,276.0,23.0,,,,,,,,,,,,,,,,,,,0.0,,2018,,MIN,,,,,,,,,,175,,,,,,17.0,,12.0,,0.0,
2019,,,,,122,0,,,1987-09-30,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,8,0,5-10,,,,,,0.0,66.0,4.0,,,,,21.0,,,15.0,,,Marcus Sherels,,,,,,,,,,SherMa20,,0.0,56.0,12.0,,,,,,,,,,,,,,,,,,,0.0,,2019,,2TM,,,,,,,,,,175,,,,,,16.5,,4.7,,0.0,
,,,,,80,0,,,1987-09-30,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,5,0,5-10,,,,,,0.0,57.0,3.0,,,,,21.0,,,10.0,,,Marcus Sherels,,,,,,,,,,SherMa20,,0.0,23.0,6.0,,,,,,,,,,,,,,,,,,,0.0,,,,MIA,,,,,,,,,,175,,,,,,19.0,,3.8,,0.0,
