,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,,,,,155.0,0,1,,1985-09-09,,0.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,14,0,6-0,,,,,,0.0,155.0,11.0,,,,,31.0,,,,0.0,0.0,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,2008,11,NWE,,,2.0,,,,0.0,,,205,0.0,,,,,14.1,,,,0.0,
2009,,,,,275.0,0,1,,1985-09-09,,,,,,,,,,,,,,,,,0.0,,,,,14,0,6-0,,,,,,0.0,269.0,11.0,,,,,35.0,,,,,6.0,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,,,,,,,1.0,0.1,0.0,6.0,6.0,0.4,0.0,,,0.0,,2009,5,NWE,,,,,,,1.0,,,205,6.0,,,,,24.5,,,6.0,,
2010,,,,,,0,1,,1985-09-09,,0.0,,,,,,,,,,,,,,,0.0,,,,,15,0,6-0,,,,,,,,,,,,,,,,,0.0,0.0,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,2010,15,NWE,,,1.0,,,,0.0,,,205,0.0,,,,,,,,,,
2011,,,,,114.0,4,6,,1985-09-09,,33.3,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,16,3,6-0,,,,,,0.0,68.0,4.0,,,,,22.0,,,,46.0,0.0,Matthew Slater,,,,,,,,,,SlatMa00,s,,,,,,,0.0,46.0,2.9,46.0,1.0,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,2011,18,NWE,,,3.0,,,,1.0,,,205,46.0,,,,,17.0,,,46.0,0.0,
2015,,,,,,0,3,,1985-09-09,,0.0,,,,,,,,,,,,,,,0.0,,,,,16,0,6-0,,,,,,,,,,,,,,,,,0.0,0.0,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,2015,14,NWE,,,1.0,,,,0.0,,,205,0.0,,,,,,,,,,
2016,,,,,57.0,0,2,,1985-09-09,,0.0,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,13,0,6-0,,,,,,0.0,52.0,3.0,,,,,19.0,,,,0.0,5.0,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.1,0.0,5.0,5.0,0.4,0.0,,,0.0,,2016,4,NWE,,,1.0,,,,1.0,,,205,5.0,,,,,17.3,,,5.0,0.0,
Career,,,,,694.0,4,34,,1985-09-09,,12.5,,,,,,,,,,,,,,,5.0,1.0,1.0,0.0,,173,3,6-0,,,,,,0.0,637.0,35.0,,,,,35.0,,,,46.0,6.0,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,0.0,46.0,0.3,46.0,1.0,0.0,2.0,0.0,0.0,11.0,5.5,0.1,0.0,,,0.0,,Career,120,,,,8.0,,,,3.0,,,205,57.0,,,,,18.2,,,19.0,0.0,
2012,,,,,39.0,0,6,,1985-09-09,,,,,,,,,,,,,,,,,,,,,,16,0,6-0,,,,,,0.0,39.0,2.0,,,,,20.0,,,,,,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,12,NWE,,,,,,,,,,205,,,,,,19.5,,,,,
2013,,,,,10.0,0,3,,1985-09-09,,,,,,,,,,,,,,,,,,,,,,12,0,6-0,,,,,,0.0,10.0,2.0,,,,,10.0,,,,,,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,8,NWE,,,,,,,,,,205,,,,,,5.0,,,,,
2014,,,,,44.0,0,3,,1985-09-09,,,,,,,,,,,,,,,,,,,,,,16,0,6-0,,,,,,0.0,44.0,2.0,,,,,26.0,,,,,,Matthew Slater,,,,,,,,,,SlatMa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,13,NWE,,,,,,,,,,205,,,,,,22.0,,,,,
