,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2005,,,,,1696.0,1.0,,,1983-06-20,,75.0,,,,,,,,,,,,,,,3.0,0.0,1.0,0.0,,15.0,0.0,5-6,,,,,,0.0,1528.0,63.0,,,,,58.0,,,23.0,6.0,21.0,Darren Sproles,,,,,,,,,,SproDa00,,0.0,108.0,18.0,,,,0.0,10.0,0.7,3.3,3.0,0.2,8.0,0.5,0.0,50.0,6.3,3.3,0.0,,,0.0,,2005,,SDG,,,4.0,,,,11.0,,,190,60.0,,,,,24.3,,6.0,5.5,0.0,
2006,,,,,,,,,1983-06-20,,,,,,,,,,,,,,,,,,,,,,,,5-6,,,,,,,,,,,,,,,,,,,Darren Sproles,,,,,,,,,,SproDa00,,,,,,,,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,190,,,,,,,,,,,
2007,,,,,1432.0,4.0,,,1983-06-20,,83.3,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,15.0,0.0,5-6,,,,,,1.0,1008.0,37.0,,,,,89.0,,,45.0,14.0,34.0,Darren Sproles,,,,,,,,,,SproDa00,,1.0,229.0,24.0,,,,0.0,31.0,2.1,3.1,10.0,0.7,37.0,2.5,2.0,164.0,4.4,10.9,2.0,,,0.0,,2007,,SDG,,,12.0,,,,47.0,,,190,195.0,,,,,27.2,,9.5,4.1,0.0,
2008,,,,,2295.0,8.0,,,1983-06-20,,85.3,,,,,,,,,,,,,,,3.0,0.0,1.0,-2.0,,16.0,0.0,5-6,,,,,,1.0,1376.0,53.0,,,,,103.0,,,43.0,66.0,37.0,Darren Sproles,,,,,,,,,,SproDa00,,0.0,249.0,22.0,,,,5.0,342.0,21.4,11.8,29.0,1.8,61.0,3.8,1.0,330.0,5.4,20.6,6.0,,,0.0,,2008,,SDG,,,34.0,,,,90.0,,,190,672.0,,,,,26.0,,11.3,7.5,-2.0,
2009,,,,,2323.0,10.0,,,1983-06-20,,78.9,,,,,,,,,,,,,,,3.0,0.0,1.0,0.0,,16.0,2.0,5-6,,,,,,0.0,1300.0,54.0,,,,,66.0,,,77.0,81.0,21.0,Darren Sproles,,,,,,,,,,SproDa00,rb,1.0,183.0,26.0,,,,4.0,497.0,31.1,11.0,45.0,2.8,93.0,5.8,3.0,343.0,3.7,21.4,7.0,,,0.0,,2009,,SDG,,,57.0,,,,138.0,,,190,840.0,,,,,24.1,,7.0,6.1,0.0,
2010,,,,,2210.0,7.0,,,1983-06-20,,78.7,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,16.0,3.0,5-6,,,,,,0.0,1257.0,51.0,,,,,45.0,,,16.0,57.0,34.0,Darren Sproles,,,,,,,,,,SproDa00,rb,0.0,166.0,24.0,,,,2.0,520.0,32.5,8.8,59.0,3.7,50.0,3.1,0.0,267.0,5.3,16.7,2.0,,,0.0,,2010,,SDG,,,75.0,,,,109.0,,,190,787.0,,,,,24.6,,6.9,7.2,0.0,
2011,,,,,2696.0,13.0,,,1983-06-20,,77.5,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,16.0,4.0,5-6,,,,,,0.0,1089.0,40.0,,,,,92.0,,,72.0,39.0,36.0,Darren Sproles,,,,,,,,,,SproDa00,rb,1.0,294.0,29.0,,,,7.0,710.0,44.4,8.3,86.0,5.4,87.0,5.4,2.0,603.0,6.9,37.7,9.0,,,0.0,,2011,,NOR,,,111.0,,,,173.0,,,190,1313.0,,,,,27.2,,10.1,7.6,0.0,
2012,,,,,1577.0,7.0,,,1983-06-20,,72.1,,,,,,,,,,,,,,,0.0,,,,,13.0,6.0,5-6,,,,,,0.0,483.0,18.0,,,,,48.0,,,37.0,44.0,47.0,Darren Sproles,,,,,,,,,,SproDa00,rb,0.0,183.0,23.0,,,,7.0,667.0,51.3,8.9,75.0,5.8,48.0,3.7,1.0,244.0,5.1,18.8,8.0,,,,,2012,,NOR,,,104.0,,,,123.0,,,190,911.0,,,,,26.8,,8.0,7.4,,
2013,,,,,1273.0,7.0,0.0,,1983-06-20,,79.8,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,15.0,4.0,5-6,,,,,,0.0,255.0,12.0,,,,,32.0,,,28.0,48.0,38.0,Darren Sproles,,,,,,,,,,SproDa00,rb,0.0,194.0,29.0,,,,2.0,604.0,40.3,8.5,71.0,4.7,53.0,3.5,2.0,220.0,4.2,14.7,4.0,,,0.0,,2013,1.0,NOR,,,89.0,,,,124.0,,,190,824.0,,,,,21.3,,6.7,6.6,0.0,
2014,,,,,1230.0,7.0,,,1983-06-20,,64.5,,,,,,,,,,,,,,,4.0,0.0,2.0,-7.0,,15.0,0.0,5-6,,,,,,0.0,15.0,1.0,,,,,15.0,,,82.0,57.0,49.0,Darren Sproles,,,,,,,,,,SproDa00,,2.0,506.0,39.0,,,,0.0,387.0,25.8,9.7,40.0,2.7,57.0,3.8,6.0,329.0,5.8,21.9,6.0,,,0.0,,2014,,PHI,,,62.0,,,,97.0,,,190,716.0,,,,,15.0,,13.0,7.4,-7.0,
