,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,1,1,,1988-08-04,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,13,0,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Darian Stewart,,,,2.0,,,,,,StewDa00,,,,,,,,,,,,,,,,,,,,,,,1.0,,2010,16,STL,,,,,,,,,,214,,,,,,,,,,0.0,0.0
2011,,,,,,6,17,,1988-08-04,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,15,13,5-11,,,1.0,1.0,,,,,,,,27.0,,,,,,,Darian Stewart,,,,11.0,,,,,,StewDa00,SS,,,,,,,,,,,,,,,,,,,,,,3.0,,2011,67,STL,,,,,,,,,,214,,,,,,,,,,0.0,27.0
2012,,,,,,1,0,,1988-08-04,,,,,,,,,,,,,,,,,,,,,,12,0,5-11,,,,,,,,,,,,,,,,,,,Darian Stewart,,,,,,,,,,StewDa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,10,STL,,,,,,,,,,214,,,,,,,,,,,
2013,,,,,,3,6,,1988-08-04,,,,,,,,,,,,,,,,,0.0,1.0,1.0,19.0,,13,6,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Darian Stewart,,,,5.0,,,,,,StewDa00,ss,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,30,STL,,,,,,,,,,214,,,,,,,,,,19.0,0.0
2014,,,,,,6,16,,1988-08-04,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,14,5-11,,,1.0,0.0,,,,,,,,0.0,,,,,,,Darian Stewart,,,,3.0,,,,,,StewDa00,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,37,BAL,,,,,,,,,,214,,,,,,,,,,0.0,0.0
2015,,,,,,6,15,,1988-08-04,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,15,13,5-11,,,1.0,0.0,,,,,,,,0.0,,,,,,,Darian Stewart,,,,10.0,,,,,,StewDa00,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,48,DEN,,,,,,,,,,214,,,,,,,,,,0.0,0.0
2016,,,,,,8,13,,1988-08-04,,,,,,,,,,,,,,,,,0.0,1.0,1.0,28.0,,16,16,5-11,,,3.0,0.0,,,,,,,,25.0,,,,,,,Darian Stewart,,,,6.0,,,,,,StewDa00,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,55,DEN,,,,,,,,,,214,,,,,,,,,,28.0,36.0
2017,,,,,,6,11,,1988-08-04,,,,,,,,,,,,,,,,,,,,,,16,15,5-11,,,3.0,0.0,,,,,,,,24.0,,,,,,,Darian Stewart,,,,5.0,,,,,,StewDa00,cb/FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,52,DEN,,,,,,,,,,214,,,,,,,,,,,33.0
2018,,,,,,6,14,,1988-08-04,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,14,14,5-11,,,2.0,0.0,,,,,,,,3.0,,,,,,,Darian Stewart,,,,3.0,,,,,,StewDa00,SS,,,,,,,,,,,,,,,,,,,,,,1.0,,2018,46,DEN,,,,,,,,,,214,,,,,,,,,,0.0,3.0
2019,,,,,,1,3,,1988-08-04,,,,,,,,,,,,,,,,,,,,,,13,1,5-11,,,0.0,0.0,,,,,,,,0.0,,,,,,,Darian Stewart,,,,1.0,,,,,,StewDa00,fs,,,,,,,,,,,,,,,,,,,,,,0.0,,2019,6,TAM,,,,,,,,,,214,,,,,,,,,,,0.0
