,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,1,0.0,,1988-07-17,,70.6,,,,,,,,,,,,,,,0,,,,,14,9,6-5,,,,,,,,,,,,,,,,,24,,Luke Stocker,,,,,,,,,,StocLu00,TE,,,,,,,0,92,6.6,7.7,12,0.9,,,,,,,0,,,0.0,,2011,1.0,TAM,,,17.0,,,,12,,,253,92,,,,,,,,7.7,,
2012,,,,,,1,0.0,,1988-07-17,,59.3,,,,,,,,,,,,,,,0,,,,,16,11,6-5,,,,,,,,,,,,,,,,,33,,Luke Stocker,,,,,,,,,,StocLu00,TE,,,,,,,1,165,10.3,10.3,16,1.0,,,,,,,1,,,0.0,,2012,1.0,TAM,,,27.0,,,,16,,,253,165,,,,,,,,10.3,,
2013,,,,,,0,,,1988-07-17,,0.0,,,,,,,,,,,,,,,0,,,,,2,2,6-5,,,,,,,,,,,,,,,,,0,,Luke Stocker,,,,,,,,,,StocLu00,te,,,,,,,0,0,0.0,,0,0.0,,,,,,,0,,,,,2013,,TAM,,,,,,,0,,,253,0,,,,,,,,,,
2014,,,,,,0,0.0,,1988-07-17,,63.6,,,,,,,,,,,,,,,0,1.0,0.0,0.0,,13,7,6-5,,,,,,,,,,,,,,,,,11,,Luke Stocker,,,,,,,,,,StocLu00,te/wr,,,,,,,0,41,3.2,5.9,7,0.5,,,,,,,0,,,0.0,,2014,1.0,TAM,,,11.0,,,,7,,,253,41,,,,,,,,5.9,0.0,
2015,,,,,,1,,,1988-07-17,,69.2,,,,,,,,,,,,,,,0,0.0,1.0,1.0,,14,13,6-5,,,,,,,,,,,,,,,,,14,,Luke Stocker,,,,,,,,,,StocLu00,TE,,,,,,,1,61,4.4,6.8,9,0.6,,,,,,,1,,,0.0,,2015,,TAM,,,13.0,,,,9,,,253,61,,,,,,,,6.8,1.0,
2016,,,,,,0,,,1988-07-17,,62.5,,,,,,,,,,,,,,,0,,,,,12,10,6-5,,,,,,,,,,,,,,,,,11,,Luke Stocker,,,,,,,,,,StocLu00,TE,,,,,,,0,23,1.9,4.6,5,0.4,,,,,,,0,,,,,2016,,TAM,,,8.0,,,,5,,,253,23,,,,,,,,4.6,,
2017,,,,,,0,,,1988-07-17,,80.0,,,,,,,,,,,,,,,0,,,,,12,5,6-5,,,,,,,,,,,,,,,,,12,,Luke Stocker,,,,,,,,,,StocLu00,,,,,,,,1,30,2.5,7.5,4,0.3,,,,,,,1,,,,,2017,,2TM,,,5.0,,,,4,,,253,30,,,,,,,,7.5,,
,,,,,,0,,,1988-07-17,,,,,,,,,,,,,,,,,0,,,,,3,2,6-5,,,,,,,,,,,,,,,,,12,,Luke Stocker,,,,,,,,,,StocLu00,te,,,,,,,0,12,4.0,12.0,1,0.3,,,,,,,0,,,,,,,TEN,,,2.0,,,,1,,,253,12,,,,,,,,12.0,,
2018,,,,,,1,,,1988-07-17,,71.4,,,,,,,,,,,,,,,0,,,,,16,11,6-5,,,,,,,,,,,,,,,,,31,0.0,Luke Stocker,,,,,,,,,,StocLu00,TE,,,,,,,2,165,10.3,11.0,15,0.9,1.0,0.1,0.0,0.0,0.0,0.0,2,,,,,2018,,TEN,,,21.0,,,,16,,,253,165,,,,,,,,10.3,,
2019,,,,,,0,0.0,,1988-07-17,,57.1,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,15,9,6-5,,,,,,,,,,,,,,,,,18,,Luke Stocker,,,,,,,,,,StocLu00,TE,,,,,,,0,53,3.5,6.6,8,0.5,,,,,,,0,,,0.0,,2019,2.0,ATL,,,14.0,,,,8,,,253,53,,,,,,,,6.6,0.0,
