,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,,,,,4,0.0,,1986-09-19,,,,,,100.0,29,29,86.2,29,25,5,2.0,,7,6.0,,,,,,16,0.0,6-2,,,,,,,,,,,53,,,,,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2009,1.0,KAN,7,7,,,,,,10.0,10.0,218,,,,,,,,,,,
2010,,,,,,2,0.0,,1986-09-19,0.0,,,,,100.0,42,42,76.9,26,20,3,1.0,,8,6.0,,,,,,16,0.0,6-2,,,,,,,,,,,53,,,,33.0,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,2010,3.0,KAN,9,7,,,33.0,,,6.0,6.0,218,,,,,,,33.0,,,,
2011,,,,,,3,0.0,,1986-09-19,,,,,,100.0,20,20,80.0,30,24,3,3.0,,12,7.0,,,,,,16,0.0,6-2,,,,,,,,,1.0,1.0,54,,,,,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,1.0,KAN,7,6,,,,,,7.0,7.0,218,,,,,,,,,,,
2012,,,,,,3,0.0,,1986-09-19,,,,,,100.0,17,17,82.4,34,28,2,2.0,,12,10.0,,,,,,16,0.0,6-2,,,,,,,,,,,52,,,,,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,2.0,KAN,15,12,,,,,,5.0,4.0,218,,,,,,,,,,,
2013,,,,,,2,0.0,,1986-09-19,0.0,,,,,100.0,52,52,78.6,28,22,4,1.0,,8,6.0,,,,,,16,0.0,6-2,,,,,,,,,,,51,,,,29.0,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,2013,1.0,KAN,10,9,,,29.0,,,6.0,6.0,218,,,,,,,29.0,,,,
2014,,,,,,3,0.0,,1986-09-19,,,,,,100.0,27,27,86.4,22,19,2,2.0,,8,5.0,,,,,,16,0.0,6-2,,,,,,,,,,,51,,,,,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,1.0,TEN,7,7,,,,,,5.0,5.0,218,,,,,,,,,,,
2017,,,,,,3,1.0,,1986-09-19,,,,,,93.9,33,31,83.3,42,35,5,2.0,,20,16.0,,,,,,16,0.0,6-2,,,,,,,,,,,52,,,,,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,1.0,TEN,7,7,,,,,,10.0,10.0,218,,,,,,,,,,,
Career,,,,,,31,2.0,,1986-09-19,0.0,,,,,97.1,348,338,82.2,287,236,37,20.0,,101,76.0,,,,,,166,,6-2,,,,,,,,,2.0,2.0,54,,,,33.0,,,,Ryan Succop,,,,,,,,,,SuccRy44,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,Career,10.0,,85,78,,,62.0,,,62.0,60.0,218,,,,,,,31.0,,,,
2015,,,,,,4,,,1986-09-19,,,,,,93.5,31,29,87.5,16,14,3,1.0,,7,7.0,,,,,,16,0.0,6-2,,,,,,,,,,,51,,,,,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,,,,,,,,,,,,,,,,,,,,,2015,,TEN,3,3,,,,,,3.0,3.0,218,,,,,,,,,,,
2016,,,,,,5,,,1986-09-19,,,,,,95.1,41,39,91.7,24,22,5,3.0,,8,8.0,,,,,,16,0.0,6-2,,,,,,,,,1.0,1.0,53,,,,,,,,Ryan Succop,,,,,,,,,,SuccRy44,K,,,,,,,,,,,,,,,,,,,,,,,,2016,,TEN,6,6,,,,,,4.0,4.0,218,,,,,,,,,,,
