,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,43.0,43.0,,,8,,1.0,1988-08-02,,66.2,1.0,,100.0,,,,,,,,,,,,1,0,1,4,,15,15,5-10,0.0,,,,0.0,,,,,,,,,23.0,,,51,13,Golden Tate,,23.0,,,100.0,100.0,1.0,23.0,23.0,TateGo00,WR,,,,,,158.3,7,688,45.9,15.3,45,3.0,3,0.2,0,20,6.7,1.3,7,,,0.0,,2012,,SEA,,,68,0.0,,,48,,,197,708,0.0,,23.0,1.5,,,,14.8,4,
Career,,43.0,43.0,,9287.0,69,,1.0,1988-08-02,,66.7,1.0,,,,,,,,,,,,,,15,0,5,4,,148,111,5-10,0.0,,,,0.0,0.0,93.0,7.0,,,,,26.0,23.0,,71.0,80,30,Golden Tate,,23.0,,,100.0,100.0,1.0,23.0,23.0,TateGo00,,0.0,1084.0,107.0,,,158.3,44,7890,53.3,12.0,660,4.5,44,0.3,0,216,4.9,1.5,44,,,0.0,,Career,,,,,989,0.0,,,704,,,197,8106,0.0,,23.0,0.2,13.3,,10.1,11.5,4,
2010,,,,,443.0,2,,,1988-08-02,,53.8,,,,,,,,,,,,,,,1,0,1,0,,11,0,5-10,,,,,,0.0,10.0,1.0,,,,,10.0,,,63.0,52,3,Golden Tate,,,,,,,,,,TateGo00,,0.0,202.0,16.0,,,,0,227,20.6,10.8,21,1.9,2,0.2,0,4,2.0,0.4,0,,,0.0,,2010,,SEA,,,39,,,,23,,,197,231,,,,,10.0,,12.6,10.0,0,
2011,,,,,396.0,3,,,1988-08-02,,60.3,,,,,,,,,,,,,,,1,0,0,0,,16,5,5-10,,,,,,,,,,,,,,,,0.0,33,14,Golden Tate,,,,,,,,,,TateGo00,wr,0.0,0.0,1.0,,,,3,382,23.9,10.9,35,2.2,5,0.3,0,14,2.8,0.9,3,,,0.0,,2011,,SEA,,,58,,,,40,,,197,396,,,,,,,0.0,9.9,0,
2013,,,,,1571.0,9,,,1988-08-02,,64.6,,,,,,,,,,,,,,,3,0,0,0,,16,13,5-10,,,,,,0.0,57.0,3.0,,,,,24.0,,,71.0,80,20,Golden Tate,,,,,,,,,,TateGo00,WR,0.0,585.0,51.0,,,,5,898,56.1,14.0,64,4.0,3,0.2,0,31,10.3,1.9,5,,,0.0,,2013,,SEA,,,99,,,,67,,,197,929,,,,,19.0,,11.5,13.9,0,
2014,,,,,,11,,,1988-08-02,,68.8,,,,,,,,,,,,,,,1,0,0,0,,16,16,5-10,,,,,,,,,,,,,,,,,73,13,Golden Tate,,,,,,,,,,TateGo00,WR,,,,,,,4,1331,83.2,13.4,99,6.2,5,0.3,0,30,6.0,1.9,4,,,0.0,,2014,,DET,,,144,,,,104,,,197,1361,,,,,,,,13.1,0,
2015,,,,,1029.0,7,,,1988-08-02,,70.3,,,,,,,,,,,,,,,1,0,0,0,,16,16,5-10,,,,,,0.0,26.0,1.0,,,,,26.0,,,23.0,43,15,Golden Tate,,,,,,,,,,TateGo00,WR,0.0,149.0,20.0,,,,6,813,50.8,9.0,90,5.6,6,0.4,0,41,6.8,2.6,6,,,0.0,,2015,,DET,,,128,,,,96,,,197,854,,,,,26.0,,7.5,8.9,0,
2016,,,,,,9,,,1988-08-02,,67.4,,,,,,,,,,,,,,,2,0,1,0,,16,16,5-10,,,,,,,,,,,,,,,,,67,11,Golden Tate,,,,,,,,,,TateGo00,WR,,,,,,,4,1077,67.3,11.8,91,5.7,10,0.6,0,4,0.4,0.3,4,,,0.0,,2016,,DET,,,135,,,,101,,,197,1081,,,,,,,,10.7,0,
2017,,,,,1048.0,9,,,1988-08-02,,76.7,,,,,,,,,,,,,,,1,0,0,0,,16,12,5-10,,,,,,0.0,0.0,2.0,,,,,1.0,,,13.0,71,10,Golden Tate,,,,,,,,,,TateGo00,WR,0.0,23.0,2.0,,,,5,1003,62.7,10.9,92,5.8,5,0.3,0,22,4.4,1.4,5,,,0.0,,2017,,DET,,,120,,,,97,,,197,1025,,,,,0.0,,11.5,10.6,0,
2018,,,,,857.0,6,,,1988-08-02,,65.5,,,,,,,,,,,,,,,3,0,2,0,,15,8,5-10,,,,,,,,,,,,,,,,12.0,67,30,Golden Tate,,,,,,,,,,TateGo00,,0.0,28.0,7.0,,,,4,795,53.0,10.7,74,4.9,4,0.3,0,34,8.5,2.3,4,,,0.0,,2018,,2TM,,,113,,,,78,,,197,829,,,,,,,4.0,10.6,0,
