,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,5.0,18.0,,,0,,1,1989-08-03,,,1,,13.9,,,,,,,,,,,,0,,,,,3,0,6-1,0.0,,,,0,,,,,,,,,18,,,,2,Tyrod Taylor,,5.0,,,100.0,0.0,0,18,18.0,TaylTy00,,,,,,,118.7,,,,,,,1,0.3,0,2,2.0,0.7,0,,,,,2011,,BAL,,,,2,,,1,,,217,2,3,,18.0,6.0,,,,2.0,,
2012,,3.25,4.6,,,1,,29,1989-08-03,,,17,,52.3,,,,,,,,,,,,0,,,,,7,0,6-1,3.4,,,,1,,,,,,,,,25,,,,28,Tyrod Taylor,,4.66,,,58.6,0.0,0,179,6.2,TaylTy00,,,,,,,62.3,,,,,,,14,2.0,1,73,5.2,10.4,1,,,,,2012,,BAL,,,,3,,,14,,,217,73,30,,10.5,25.6,,,,5.2,,
2013,,-8.6,-8.6,,,0,,5,1989-08-03,,100.0,1,,74.8,,,,,,,,,,,,0,,,,,3,0,6-1,20.0,,,,1,,,,,,,,,2,,,6.0,25,Tyrod Taylor,,0.4,,,20.0,0.0,0,2,0.4,TaylTy00,,,,,,,0.0,0.0,6.0,2.0,6.0,1.0,0.3,8,2.7,0,64,8.0,21.3,0,,,,,2013,,BAL,,,1.0,0,,,9,,,217,70,0,,2.0,0.7,,,,7.8,,
2014,,,,,,0,,0,1989-08-03,,,0,,1.7,,,,,,,,,,,,0,,,,,1,0,6-1,,,,,0,,,,,,,,,0,,,,0,Tyrod Taylor,,,,,,,0,0,,TaylTy00,,,,,,,,,,,,,,4,4.0,0,-3,-0.8,-3.0,0,,,,,2014,,BAL,,,,0,,,4,,,217,-3,0,,,0.0,,,,-0.8,,
2015,113.0,7.1,8.3,120.0,,13,,380,1989-08-03,,100.0,242,103.0,65.3,,,,,,,,,1.0,,,9,0.0,3.0,0.0,2.0,14,14,6-1,1.6,115.0,,,6,,,,,,,,,63,,,4.0,31,Tyrod Taylor,109.0,6.79,115.0,,63.7,5.3,20,3035,8.0,TaylTy00,QB/wr,,,,,7-6-0,99.4,0.0,4.0,0.3,4.0,1.0,0.1,104,7.4,4,568,5.5,40.6,4,,79.0,0.0,,2015,,BUF,,,1.0,36,,110.0,105,,,217,572,212,119.0,12.5,216.8,,,,5.4,0.0,
2016,99.0,6.07,7.1,102.0,,15,,436,1989-08-03,,,269,96.0,61.4,,,,,,,,,1.0,,,4,0.0,3.0,-6.0,1.0,15,15,6-1,1.4,117.0,,,6,,,,,,,,,84,,,,49,Tyrod Taylor,92.0,5.92,101.0,,61.7,3.9,17,3023,6.9,TaylTy00,QB,,,,,7-8-0,89.7,,,,,,,95,6.3,6,580,6.1,38.7,6,,78.0,0.0,,2016,,BUF,,,,42,,94.0,95,,,217,580,192,95.0,11.2,201.5,,,,6.1,-6.0,
2017,94.0,5.67,6.9,99.0,,12,,420,1989-08-03,,,263,97.0,60.0,,,,,,,,,1.0,,,4,0.0,0.0,-7.0,2.0,15,14,6-1,1.0,124.0,,,4,,,,,,,,,47,,,,32,Tyrod Taylor,83.0,5.46,99.0,,62.6,3.3,14,2799,6.7,TaylTy00,QB,,,,,8-6-0,89.2,,,,,,,84,5.6,4,427,5.1,28.5,4,,74.0,0.0,,2017,,BUF,,,,46,,88.0,84,,,217,427,256,89.0,10.6,186.6,,,,5.1,-7.0,
2018,65.0,3.49,5.0,72.0,,2,,85,1989-08-03,,,42,47.0,31.0,,,,,,,,,1.0,,,3,0.0,1.0,0.0,0.0,4,3,6-1,2.4,100.0,,,2,,,,,,,,,47,,,,24,Tyrod Taylor,57.0,4.0,66.0,,49.4,2.4,2,473,5.6,TaylTy00,qb,,,,,1-1-1,64.5,,,,,,,16,4.0,1,125,7.8,31.3,1,,50.0,0.0,,2018,,CLE,,,,13,,77.0,16,,,217,125,81,68.0,11.3,118.3,,,,7.8,0.0,
2019,,8.83,8.8,,,0,,6,1989-08-03,,0.0,4,,,,,,,,,,,,,,0,,,,,8,0,6-1,0.0,,,,0,,,,,,,,,14,,,0.0,9,Tyrod Taylor,,5.5,,,66.7,16.7,1,33,5.5,TaylTy00,,,,,,,120.1,0.0,0.0,0.0,,0.0,0.0,10,1.3,0,7,0.7,0.9,0,,,,,2019,,LAC,,,1.0,0,,,10,,,217,7,0,,8.3,4.1,,,,0.7,,
Career,,5.96,7.2,,,43,,1362,1989-08-03,,66.7,839,,,,,,,,,,,4.0,,,20,0.0,7.0,-13.0,5.0,70,46,6-1,1.5,,,,20,,,,,,,,,84,,,6.0,49,Tyrod Taylor,,5.84,,,61.6,4.0,54,9562,7.0,TaylTy00,,,,,,23-21-1,89.8,0.0,10.0,0.1,5.0,2.0,0.0,336,4.8,16,1843,5.5,26.3,16,,,0.0,,Career,,,,,3.0,142,,,338,,,217,1853,774,,11.4,136.6,,,,5.5,-13.0,
