,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,0.0,0.0,,,4,,1.0,1987-12-25,,45.7,0.0,,2.4,,,,,,,,,,,,0,,,,,11,5,6-3,0.0,,,,0.0,,,,,,,,,0.0,,,47,5.0,Demaryius Thomas,,0.0,,,0.0,0.0,0.0,0.0,0.0,ThomDe03,wr,,,,,,39.6,4,551,50.1,17.2,32,2.9,1.0,0.1,0.0,5.0,5.0,0.5,4,,,,,2011,,DEN,,,70,0.0,,,33,,,225,556,0.0,,,0.0,,,,16.8,,
Career,,0.0,0.0,,10167.0,81,1.0,1.0,1987-12-25,,61.0,0.0,,,,,,,,,,,,,,13,0.0,1.0,0.0,,143,128,6-3,0.0,,,,0.0,0.0,398.0,16.0,,,,,65.0,0.0,,,86,5.0,Demaryius Thomas,,0.0,,,0.0,0.0,0.0,0.0,0.0,ThomDe03,,,,,,,39.6,63,9763,68.3,13.5,724,5.1,3.0,0.0,0.0,6.0,2.0,0.0,63,,,0.0,,Career,2.0,,,,1186,0.0,,,727,,,225,9769,0.0,,,0.0,24.9,,,13.4,0.0,
2010,,,,,682.0,2,1.0,,1987-12-25,,56.4,,,,,,,,,,,,,,,3,0.0,1.0,0.0,,10,2,6-3,,,,,,0.0,398.0,16.0,,,,,65.0,,,,31,1.0,Demaryius Thomas,,,,,,,,,,ThomDe03,wr,,,,,,,2,283,28.3,12.9,22,2.2,2.0,0.2,0.0,1.0,0.5,0.1,2,,,0.0,,2010,2.0,DEN,,,39,,,,24,,,225,284,,,,,24.9,,,11.8,0.0,
2012,,,,,,13,,,1987-12-25,,65.7,,,,,,,,,,,,,,,3,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,71,,Demaryius Thomas,,,,,,,,,,ThomDe03,WR,,,,,,,10,1434,89.6,15.3,94,5.9,,,,,,,10,,,0.0,,2012,,DEN,,,143,,,,94,,,225,1434,,,,,,,,15.3,0.0,
2013,,,,,,14,,,1987-12-25,,64.8,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,78,,Demaryius Thomas,,,,,,,,,,ThomDe03,WR,,,,,,,14,1430,89.4,15.5,92,5.8,,,,,,,14,,,0.0,,2013,,DEN,,,142,,,,92,,,225,1430,,,,,,,,15.5,0.0,
2014,,,,,,16,,,1987-12-25,,60.3,,,,,,,,,,,,,,,0,,,,,16,16,6-3,,,,,,,,,,,,,,,,,86,,Demaryius Thomas,,,,,,,,,,ThomDe03,WR,,,,,,,11,1619,101.2,14.6,111,6.9,,,,,,,11,,,,,2014,,DEN,,,184,,,,111,,,225,1619,,,,,,,,14.6,,
2015,,,,,,9,,,1987-12-25,,59.3,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,72,,Demaryius Thomas,,,,,,,,,,ThomDe03,WR,,,,,,,6,1304,81.5,12.4,105,6.6,,,,,,,6,,,0.0,,2015,,DEN,,,177,,,,105,,,225,1304,,,,,,,,12.4,0.0,
2016,,,,,,8,,,1987-12-25,,62.5,,,,,,,,,,,,,,,2,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,55,,Demaryius Thomas,,,,,,,,,,ThomDe03,WR,,,,,,,5,1083,67.7,12.0,90,5.6,,,,,,,5,,,0.0,,2016,,DEN,,,144,,,,90,,,225,1083,,,,,,,,12.0,0.0,
2017,,,,,,7,,,1987-12-25,,59.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,16,16,6-3,,,,,,,,,,,,,,,,,40,,Demaryius Thomas,,,,,,,,,,ThomDe03,WR,,,,,,,5,949,59.3,11.4,83,5.2,,,,,,,5,,,0.0,,2017,,DEN,,,140,,,,83,,,225,949,,,,,,,,11.4,0.0,
2018,,,,,,5,,,1987-12-25,,66.3,,,,,,,,,,,,,,,0,,,,,15,15,6-3,,,,,,,,,,,,,,,,,45,,Demaryius Thomas,,,,,,,,,,ThomDe03,,,,,,,,5,677,45.1,11.5,59,3.9,,,,,,,5,,,,,2018,,2TM,,,89,,,,59,,,225,677,,,,,,,,11.5,,
