,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,,,,,7,12,,1989-05-07,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,5-10,,,5,0,,,,,,,,34,,,,,,,Earl Thomas,,,,7,,,,,,ThomEa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,64,SEA,,,,,,,,,,202,,,,,,,,,,0.0,68
2011,,,,,,11,29,,1989-05-07,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,16,16,5-10,,,2,0,,,,,,,,11,,,,,,,Earl Thomas,,,,7,,,,,,ThomEa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,69,SEA,,,,,,,,,,202,,,,,,,,,,0.0,19
2012,,,,,,14,24,,1989-05-07,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,16,5-10,,,3,1,,,,,,,,57,,,,,,,Earl Thomas,,,,8,,,,,,ThomEa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,42,SEA,,,,,,,,,,202,,,,,,,,,,0.0,80
2013,,,,,,14,27,,1989-05-07,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16,16,5-10,,,5,0,,,,,,,,11,,,,,,,Earl Thomas,,,,9,,,,,,ThomEa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,78,SEA,,,,,,,,,,202,,,,,,,,,,0.0,9
2014,,,,,50.0,12,26,,1989-05-07,,,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0,,16,16,5-10,,,1,0,,,,,,,,47,,,,3.0,,,Earl Thomas,,,,5,,,,,,ThomEa99,FS/s,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,2014,71,SEA,,,,,,,,,,202,,,,,,,,1.5,,0.0,47
2015,,,,,,10,19,,1989-05-07,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,5-10,,,5,0,,,,,,,,32,,,,,,,Earl Thomas,,,,9,,,,,,ThomEa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2015,45,SEA,,,,,,,,,,202,,,,,,,,,,0.0,67
2016,,,,,,5,24,,1989-05-07,,,,,,,,,,,,,,,,,0.0,0.0,1.0,34.0,,11,11,5-10,,,2,0,,,,,,,,5,,,,,,,Earl Thomas,,,,10,,,,,,ThomEa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,24,SEA,,,,,,,,,,202,,,,,,,,,,34.0,5
2017,,,,,,10,32,,1989-05-07,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,14,14,5-10,,,2,1,,,,,,,,78,,,,,,,Earl Thomas,,,,7,,,,,,ThomEa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2017,56,SEA,,,,,,,,,,202,,,,,,,,,,0.0,97
2018,,,,,,2,6,,1989-05-07,,,,,,,,,,,,,,,,,,,,,,4,4,5-10,,,3,0,,,,,,,,25,,,,,,,Earl Thomas,,,,5,,,,,,ThomEa99,fs,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,16,SEA,,,,,,,,,,202,,,,,,,,,,,25
2019,,,,,,7,17,,1989-05-07,,,,,,,,,,,,,,,,,0.0,1.0,1.0,6.0,,15,15,5-10,,,2,0,,,,,,,,24,,,,,,,Earl Thomas,,,,4,,,,,,ThomEa99,S,,,,,,,,,,,,,,,,,,,,,,2.0,,2019,32,BAL,,,,,,,,,,202,,,,,,,,,,6.0,38
Career,,,,,498.0,92,216,,1989-05-07,,,,,,,,,,,,,,,,,1.0,12.0,6.0,40.0,,140,140,5-10,,,30,2,,,,,,,,78,,,,3.0,,,Earl Thomas,,,,71,,,,,,ThomEa99,,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,Career,497,,,,,,,,,,,202,,,,,,,,1.5,,40.0,455
