,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2007,,,,,824.0,2,1,,1983-03-16,,,,,,,,,,,,,,,,,,,,,,16,1,5-11,,,1,0,,0.0,684.0,30.0,,,,22,65.0,,,94.0,,,Tramon Williams,,,,4,,,,,,WillTr99,cb,1.0,118.0,6.0,,,,,,,,,,,,,,,,,,,0.0,,2007,16,GNB,,,,,,,,,,191,,,,,,22.8,,19.7,,,22
2008,,,,,,4,5,,1983-03-16,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,16,9,5-11,,,5,0,,,,,,,,39,,,,,,,Tramon Williams,,,,14,,,,,,WillTr99,lcb/rcb,,,,,,,,,,,,,,,,,,,,,,0.0,,2008,52,GNB,,,,,,,,,,191,,,,,,,,,,0.0,78
2009,,,,,255.0,4,9,,1983-03-16,,,,,,,,,,,,,,,,,,,,,,16,10,5-11,,,4,0,,0.0,26.0,2.0,,,,67,24.0,,,45.0,,,Tramon Williams,,,,15,,,,,,WillTr99,cb/rcb/ss,0.0,135.0,13.0,,,,,,,,,,,,,,,,,,,1.0,,2009,47,GNB,,,,,,,,,,191,,,,,,13.0,,10.4,,,94
2010,,,,,418.0,11,7,,1983-03-16,,,,,,,,,,,,,,,,,2.0,1.0,3.0,5.0,,16,16,5-11,,,6,0,,,,,,,,64,,,,52.0,,,Tramon Williams,,,,20,,,,,,WillTr99,db/RCB,0.0,326.0,41.0,,,,,,,,,,,,,,,,,,,1.0,,2010,50,GNB,,,,,,,,,,191,,,,,,,,8.0,,5.0,87
2011,,,,,,5,11,,1983-03-16,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,15,15,5-11,,,4,1,,,,,,,,43,,,,,,,Tramon Williams,,,,22,,,,,,WillTr99,RCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,53,GNB,,,,,,,,,,191,,,,,,,,,,0.0,92
2012,,,,,,6,9,,1983-03-16,,,,,,,,,,,,,,,,,,,,,,16,16,5-11,,,2,0,,,,,,,,38,,,,,,,Tramon Williams,,,,16,,,,,,WillTr99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,52,GNB,,,,,,,,,,191,,,,,,,,,,,38
2013,,,,,,6,22,,1983-03-16,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,,16,16,5-11,,,3,0,,,,,,,,10,,,,,,,Tramon Williams,,,,11,,,,,,WillTr99,LCB,,,,,,,,,,,,,,,,,,,,,,2.5,,2013,62,GNB,,,,,,,,,,191,,,,,,,,,,0.0,10
2014,,,,,,5,10,,1983-03-16,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,16,5-11,,,3,0,,,,,,,,2,,,,,,,Tramon Williams,,,,13,,,,,,WillTr99,LCB,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,60,GNB,,,,,,,,,,191,,,,,,,,,,0.0,2
2015,,,,,3.0,5,14,,1983-03-16,,,,,,,,,,,,,,,,,,,,,,15,15,5-11,,,1,0,,,,,,,,2,,,,1.0,,,Tramon Williams,,,,10,,,,,,WillTr99,RCB,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2015,55,CLE,,,,,,,,,,191,,,,,,,,1.0,,,2
2016,,,,,0.0,3,8,,1983-03-16,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,12,7,5-11,,,1,0,,,,,,,,0,,,,0.0,,,Tramon Williams,,,,5,,,,,,WillTr99,cb/db/ss,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2016,28,CLE,,,,,,,,,,191,,,,,,,,0.0,,0.0,0
