,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2008,,,,,,2,8,,1986-07-21,,,,,,,,,,,,,,,,,,,,,,16,6,6-0,,,0.0,0.0,,,,,,,,0.0,,,,,,,Wesley Woodyard,,,,1.0,,,,,,WoodWe20,lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2008,47,DEN,,,,,,,,,,233,,,,,,,,,,,0.0
2009,,,,,,2,12,,1986-07-21,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,0,6-0,,,1.0,0.0,,,,,,,,0.0,,,,,,,Wesley Woodyard,,,,2.0,,,,,,WoodWe20,,,,,,,,,,,,,,,,,,,,,,,0.0,,2009,32,DEN,,,,,,,,,,233,,,,,,,,,,0.0,0.0
2010,,,,,,2,4,,1986-07-21,,,,,,,,,,,,,,,,,,,,,,11,3,6-0,,,,,,,,,,,,,,,,,,,Wesley Woodyard,,,,,,,,,,WoodWe20,lb,,,,,,,,,,,,,,,,,,,,,,1.0,,2010,34,DEN,,,,,,,,,,233,,,,,,,,,,,
2011,,,,,,4,30,,1986-07-21,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,15,7,6-0,,,0.0,0.0,,,,,,,,0.0,,,,,,,Wesley Woodyard,,,,2.0,,,,,,WoodWe20,lb/mlb,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,67,DEN,,,,,,,,,,233,,,,,,,,,,0.0,0.0
2012,,,,,,9,44,,1986-07-21,,,,,,,,,,,,,,,,,0.0,1.0,1.0,12.0,,15,14,6-0,,,3.0,0.0,,,,,,,,25.0,,,,,,,Wesley Woodyard,,,,6.0,,,,,,WoodWe20,LB,,,,,,,,,,,,,,,,,,,,,,5.5,,2012,73,DEN,,,,,,,,,,233,,,,,,,,,,12.0,40.0
2013,,,,,,5,36,,1986-07-21,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,14,10,6-0,,,1.0,0.0,,,,,,,,0.0,,,,,,,Wesley Woodyard,,,,4.0,,,,,,WoodWe20,MLB,,,,,,,,,,,,,,,,,,,,,,1.5,,2013,48,DEN,,,,,,,,,,233,,,,,,,,,,0.0,0.0
2014,,,,,,7,41,,1986-07-21,,,,,,,,,,,,,,,,,,,,,,16,16,6-0,,,2.0,0.0,,,,,,,,13.0,,,,,,,Wesley Woodyard,,,,3.0,,,,,,WoodWe20,LB,,,,,,,,,,,,,,,,,,,,,,2.5,,2014,53,TEN,,,,,,,,,,233,,,,,,,,,,,20.0
2015,,,,,,6,33,,1986-07-21,,,,,,,,,,,,,,,,,0.0,1.0,1.0,3.0,,16,12,6-0,,,,,,,,,,,,,,,,,,,Wesley Woodyard,,,,,,,,,,WoodWe20,LB,,,,,,,,,,,,,,,,,,,,,,5.0,,2015,54,TEN,,,,,,,,,,233,,,,,,,,,,3.0,
2016,,,,,,6,15,,1986-07-21,,,,,,,,,,,,,,,,,,,,,,16,10,6-0,,,1.0,0.0,,,,,,,,21.0,,,,,,,Wesley Woodyard,,,,5.0,,,,,,WoodWe20,LB,,,,,,,,,,,,,,,,,,,,,,2.0,,2016,42,TEN,,,,,,,,,,233,,,,,,,,,,,21.0
2017,,,,,,9,40,,1986-07-21,,,,,,,,,,,,,,,,,0.0,0.0,2.0,4.0,,16,16,6-0,,,0.0,0.0,,,,,,,,0.0,,,,,,,Wesley Woodyard,,,,5.0,,,,,,WoodWe20,LB,,,,,,,,,,,,,,,,,,,,,,5.0,,2017,84,TEN,,,,,,,,,,233,,,,,,,,,,4.0,0.0
