,solo_tackles,assists_on_tackles,total_tackles,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
1,28.0,15.0,43.0,3.0,0.0,19.0,13.0,darian-thompson-1,Darian Thompson,Boise State
2,125.0,48.0,173.0,10.0,1.0,58.0,39.0,damontae-kazee-1,Damontae Kazee,San Diego State
3,117.0,41.0,158.0,3.0,0.0,49.0,43.0,corn-elder-1,Corn Elder,Miami (FL)
4,4.0,4.0,8.0,0.0,0.0,0.0,0.0,jarrod-wilson-1,Jarrod Wilson,Michigan
6,17.0,11.0,28.0,0.0,0.0,0.0,0.0,nick-kwiatkoski-1,Nick Kwiatkoski,West Virginia
7,48.0,26.0,74.0,4.0,2.0,167.0,12.0,kevin-byard-1,Kevin Byard,Middle Tennessee State
8,174.0,105.0,279.0,7.0,0.0,189.0,51.0,neiko-thorpe-1,Neiko Thorpe,Auburn
9,137.0,63.0,200.0,4.0,0.0,17.0,37.0,kenny-ladler-1,Kenny Ladler,Vanderbilt
11,59.0,43.0,102.0,2.0,0.0,25.0,27.0,marcell-harris-1,Marcell Harris,Florida
12,122.0,59.0,181.0,3.0,0.0,58.0,41.0,jalen-ramsey-1,Jalen Ramsey,Florida State
13,18.0,12.0,30.0,0.0,0.0,0.0,36.0,nate-ebner-1,Nate Ebner,Ohio State
14,92.0,30.0,122.0,3.0,0.0,28.0,37.0,kendarius-webster-1,Kendarius Webster,Ole Miss
15,121.0,84.0,205.0,5.0,0.0,37.0,40.0,marcus-maye-1,Marcus Maye,Florida
17,136.0,54.0,190.0,3.0,0.0,34.0,47.0,kayvon-webster-1,Kayvon Webster,South Florida
18,88.0,45.0,133.0,3.0,1.0,44.0,48.0,jaylen-watkins-1,Jaylen Watkins,Florida
20,133.0,47.0,180.0,6.0,1.0,103.0,43.0,crevon-leblanc-1,Cre'Von Leblanc,Florida Atlantic
21,71.0,27.0,98.0,1.0,0.0,30.0,31.0,anthony-averett-1,Anthony Averett,Alabama
22,129.0,77.0,206.0,11.0,0.0,174.0,39.0,reshad-jones-1,Reshad Jones,Georgia
23,27.0,10.0,37.0,0.0,0.0,0.0,25.0,tahir-whitehead-1,Tahir Whitehead,Temple
24,184.0,60.0,244.0,6.0,2.0,94.0,52.0,dj-swearinger-1,D.J. Swearinger,South Carolina
