,tackles_for_loss,solo_tackles,passes_defended,fumbles_recovered,assists_on_tackles,total_tackles,sacks,fumbles_forced,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
2,5.0,12.0,0.0,0.0,11.0,23.0,0.5,0.0,0.0,0.0,0.0,12.0,rashan-gary-1,Rashan Gary,Michigan
3,29.5,76.0,4.0,2.0,57.0,133.0,21.5,6.0,0.0,0.0,0.0,24.0,nate-orchard-1,Nate Orchard,Utah
4,7.5,14.0,0.0,0.0,6.0,20.0,4.0,2.0,0.0,0.0,0.0,11.0,carl-lawson-2,Carl Lawson,Auburn
6,54.5,100.0,4.0,1.0,98.0,198.0,25.0,6.0,1.0,0.0,0.0,40.0,bradley-chubb-1,Bradley Chubb,North Carolina State
7,16.5,38.0,3.0,3.0,52.0,90.0,8.0,1.0,0.0,0.0,0.0,35.0,kentavius-street-1,Kentavius Street,North Carolina State
9,37.5,95.0,8.0,2.0,90.0,185.0,21.5,6.0,0.0,0.0,0.0,43.0,marcus-davenport-1,Marcus Davenport,UTSA
10,9.5,18.0,0.0,1.0,11.0,29.0,5.5,1.0,0.0,0.0,0.0,11.0,hercules-mataafa-1,Hercules Mata'afa,Washington State
12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,joel-heath-1,Joel Heath,Michigan State
13,2.0,4.0,1.0,0.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,5.0,harrison-phillips-1,Harrison Phillips,Stanford
14,16.0,58.0,3.0,1.0,48.0,106.0,7.5,4.0,1.0,0.0,26.0,35.0,demone-harris-1,Demone Harris,Buffalo
15,35.5,96.0,3.0,1.0,77.0,173.0,16.5,3.0,3.0,1.0,104.0,42.0,carl-granderson-1,Carl Granderson,Wyoming
16,4.5,21.0,0.0,1.0,16.0,37.0,0.5,1.0,0.0,0.0,0.0,13.0,eddie-vanderdoes-1,Eddie Vanderdoes,UCLA
18,47.5,102.0,7.0,3.0,70.0,172.0,32.0,12.0,1.0,0.0,17.0,48.0,marquis-haynes-1,Marquis Haynes,Ole Miss
19,1.0,3.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,chad-thomas-1,Chad Thomas,Miami (FL)
20,38.5,71.0,7.0,2.0,52.0,123.0,23.0,7.0,0.0,0.0,0.0,33.0,brian-burns-2,Brian Burns,Florida State
23,1.0,9.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,trent-harris-1,Trent Harris,Miami (FL)
24,14.0,50.0,3.0,2.0,69.0,119.0,11.0,0.0,0.0,0.0,0.0,24.0,zadarius-smith-1,Za'Darius Smith,Kentucky
25,34.5,89.0,8.0,3.0,53.0,142.0,15.5,6.0,0.0,0.0,0.0,33.0,dorance-armstrong-jr-1,Dorance Armstrong Jr.,Kansas
27,13.0,28.0,0.0,0.0,15.0,43.0,9.0,1.0,0.0,0.0,0.0,15.0,nick-bosa-1,Nick Bosa,Ohio State
28,23.0,83.0,2.0,0.0,43.0,126.0,14.0,7.0,0.0,0.0,0.0,29.0,malik-reed-1,Malik Reed,Nevada
29,20.0,51.0,2.0,2.0,32.0,83.0,10.0,3.0,0.0,0.0,0.0,20.0,ogbonnia-okoronkwo-1,Ogbonnia Okoronkwo,Oklahoma
31,51.0,92.0,12.0,2.0,84.0,176.0,32.5,11.0,1.0,0.0,14.0,50.0,oshane-ximines-1,Oshane Ximines,Old Dominion
32,37.0,69.0,3.0,1.0,61.0,130.0,21.0,2.0,1.0,0.0,0.0,45.0,austin-bryant-1,Austin Bryant,Clemson
33,1.5,6.0,0.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,10.0,kamalei-correa-1,Kamalei Correa,Boise State
35,15.0,29.0,0.0,0.0,28.0,57.0,13.0,1.0,0.0,0.0,0.0,14.0,montez-sweat-1,Montez Sweat,Michigan State
37,1.5,7.0,0.0,0.0,8.0,15.0,0.0,1.0,0.0,0.0,0.0,14.0,byron-cowart-1,Byron Cowart,Auburn
40,23.0,49.0,4.0,0.0,38.0,87.0,15.5,4.0,0.0,0.0,0.0,40.0,chris-odom-1,Chris Odom,Arkansas State
42,30.0,64.0,3.0,1.0,52.0,116.0,17.0,3.0,1.0,0.0,0.0,39.0,sam-hubbard-1,Sam Hubbard,Ohio State
43,9.0,16.0,2.0,0.0,23.0,39.0,8.0,1.0,1.0,0.0,6.0,21.0,tyus-bowser-1,Tyus Bowser,Houston
44,28.0,68.0,2.0,1.0,50.0,118.0,12.5,3.0,0.0,0.0,0.0,29.0,olasunkanmi-adeniyi-1,Olasunkanmi Adeniyi,Toledo
45,50.5,84.0,5.0,1.0,82.0,166.0,27.0,5.0,0.0,0.0,0.0,44.0,clelin-ferrell-1,Clelin Ferrell,Clemson
50,29.0,77.0,6.0,3.0,61.0,138.0,14.5,1.0,1.0,0.0,6.0,35.0,josh-sweat-1,Josh Sweat,Florida State
51,52.0,131.0,6.0,2.0,67.0,198.0,32.0,3.0,1.0,0.0,7.0,39.0,derek-barnett-2,Derek Barnett,Tennessee
53,28.0,56.0,2.0,0.0,35.0,91.0,19.0,1.0,0.0,0.0,0.0,33.0,taco-charlton-1,Taco Charlton,Michigan
54,11.0,23.0,3.0,0.0,10.0,33.0,9.5,0.0,1.0,0.0,0.0,19.0,kemoko-turay-1,Kemoko Turay,Rutgers
56,24.0,45.0,2.0,0.0,19.0,64.0,17.5,7.0,1.0,0.0,10.0,22.0,carl-nassib-1,Carl Nassib,Penn State
57,5.0,32.0,0.0,1.0,11.0,43.0,3.0,1.0,0.0,0.0,0.0,21.0,charles-omenihu-1,Charles Omenihu,Texas
58,5.0,12.0,0.0,1.0,6.0,18.0,3.5,0.0,0.0,0.0,0.0,9.0,stephen-weatherly-1,Stephen Weatherly,Vanderbilt
59,2.0,5.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,al-quadin-muhammad-1,Al-Quadin Muhammad,Miami (FL)
60,1.0,6.0,0.0,1.0,13.0,19.0,0.5,0.0,0.0,0.0,0.0,8.0,rasheem-green-1,Rasheem Green,USC
62,45.5,67.0,1.0,0.0,56.0,123.0,20.0,1.0,0.0,0.0,0.0,40.0,shaq-lawson-1,Shaq Lawson,Clemson
65,39.5,74.0,7.0,2.0,39.0,113.0,25.5,6.0,0.0,0.0,0.0,38.0,jordan-willis-1,Jordan Willis,Kansas State
66,40.5,93.0,14.0,4.0,106.0,199.0,16.5,1.0,2.0,0.0,6.0,37.0,zach-allen-5,Zach Allen,Boston College
67,31.0,59.0,7.0,1.0,60.0,119.0,23.0,4.0,0.0,0.0,0.0,37.0,anthony-nelson-1,Anthony Nelson,Iowa
69,19.0,43.0,4.0,2.0,53.0,96.0,16.0,2.0,0.0,0.0,0.0,23.0,arden-key-1,Arden Key,LSU
70,15.5,43.0,0.0,0.0,66.0,109.0,4.0,0.0,0.0,0.0,0.0,30.0,fadol-brown-2,Fadol Brown,Ole Miss
71,41.0,68.0,3.0,2.0,57.0,125.0,29.5,7.0,0.0,0.0,0.0,36.0,trey-hendrickson-1,Trey Hendrickson,Florida Atlantic
73,11.5,28.0,4.0,0.0,15.0,43.0,6.0,0.0,0.0,0.0,0.0,12.0,lj-collier-1,L.J. Collier,Texas Christian
74,35.5,79.0,7.0,2.0,62.0,141.0,26.0,6.0,1.0,0.0,0.0,36.0,demarcus-walker-1,Demarcus Walker,Florida State
75,6.0,20.0,1.0,0.0,8.0,28.0,1.0,0.0,0.0,0.0,0.0,9.0,robert-nkemdiche-1,Robert Nkemdiche,Ole Miss
76,24.5,63.0,0.0,4.0,35.0,98.0,12.0,1.0,0.0,0.0,0.0,26.0,solomon-thomas-2,Solomon Thomas,Stanford
78,14.0,37.0,11.0,0.0,31.0,68.0,11.5,5.0,0.0,0.0,0.0,22.0,kylie-fitts-1,Kylie Fitts,UCLA
79,35.5,95.0,9.0,2.0,38.0,133.0,26.5,5.0,0.0,0.0,0.0,39.0,emmanuel-ogbah-1,Emmanuel Ogbah,Oklahoma State
