,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,fumbles_forced,games,player_id,name,team_abbreviation
2,4.5,18.0,0.0,15.0,33.0,2.0,1.0,11.0,christian-wilkins-1,Christian Wilkins,Clemson
4,21.5,37.0,1.0,49.0,86.0,8.0,1.0,32.0,maliek-collins-1,Maliek Collins,Nebraska
8,8.5,34.0,0.0,36.0,70.0,6.0,1.0,25.0,dj-jones-4,D.J. Jones,Ole Miss
9,23.5,104.0,2.0,74.0,178.0,7.0,2.0,42.0,deadrin-senat-1,Deadrin Senat,South Florida
11,22.5,56.0,1.0,52.0,108.0,8.5,1.0,34.0,justin-jones-4,Justin Jones,North Carolina State
13,19.0,40.0,1.0,31.0,71.0,8.0,1.0,28.0,maurice-hurst-jr-1,Maurice Hurst Jr.,Michigan
14,23.0,71.0,2.0,41.0,112.0,12.0,2.0,34.0,vincent-taylor-1,Vincent Taylor,Oklahoma State
15,24.0,63.0,5.0,91.0,154.0,8.5,0.0,35.0,austin-johnson-2,Austin Johnson,Penn State
16,53.0,122.0,11.0,70.0,192.0,13.5,5.0,32.0,ed-oliver-2,Ed Oliver,Houston
17,1.0,9.0,0.0,7.0,16.0,0.0,0.0,10.0,taylor-stallworth-1,Taylor Stallworth,South Carolina
18,3.0,5.0,2.0,5.0,10.0,1.0,0.0,11.0,andrew-brown-2,Andrew Brown,Virginia
19,12.5,68.0,1.0,34.0,102.0,2.5,2.0,29.0,poona-ford-1,Poona Ford,Texas
20,32.0,77.0,4.0,84.0,161.0,13.0,4.0,45.0,treyvon-hester-1,Treyvon Hester,Toledo
21,18.0,50.0,4.0,81.0,131.0,10.0,1.0,38.0,dexter-lawrence-1,Dexter Lawrence,Clemson
22,4.0,18.0,0.0,11.0,29.0,1.0,1.0,11.0,kenneth-clark-1,Kenneth Clark,UCLA
23,24.5,75.0,3.0,90.0,165.0,12.0,3.0,44.0,derrick-nnadi-1,Derrick Nnadi,Florida State
24,0.0,4.0,1.0,5.0,9.0,0.0,0.0,5.0,john-atkins-1,John Atkins,Georgia
25,28.0,60.0,3.0,30.0,90.0,18.0,2.0,31.0,bruce-hector-1,Bruce Hector,South Florida
26,5.0,23.0,0.0,17.0,40.0,2.0,0.0,10.0,isaiah-irving-1,Isaiah Irving,San Jose State
27,19.5,77.0,3.0,70.0,147.0,10.5,3.0,49.0,montravius-adams-1,Montravius Adams,Auburn
28,4.5,24.0,2.0,21.0,45.0,2.0,0.0,11.0,kyle-peko-1,Kyle Peko,Oregon State
32,5.5,20.0,0.0,10.0,30.0,0.5,1.0,9.0,adam-butler-1,Adam Butler,Vanderbilt
36,19.0,51.0,3.0,88.0,139.0,12.5,2.0,35.0,davon-gaudchaux-1,Davon Gaudchaux,LSU
37,39.5,102.0,2.0,81.0,183.0,9.5,3.0,42.0,tanzel-smart-1,Tanzel Smart,Tulane
38,17.5,62.0,0.0,46.0,108.0,9.5,0.0,30.0,hassan-ridgeway-1,Hassan Ridgeway,Texas
44,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,eli-ankou-1,Eli Ankou,UCLA
46,23.5,76.0,9.0,107.0,183.0,8.0,2.0,48.0,bj-hill-3,B.J. Hill,North Carolina State
47,19.5,28.0,1.0,25.0,53.0,4.0,0.0,23.0,tim-settle-1,Tim Settle,Virginia Tech
53,13.0,36.0,1.0,26.0,62.0,5.0,2.0,20.0,ty-mcgill-2,T.Y. McGill,North Carolina State
56,29.0,77.0,10.0,79.0,156.0,11.0,2.0,48.0,cortez-broughton-1,Cortez Broughton,Cincinnati
