,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
0,18.5,91.0,11.0,81.0,172.0,10.0,1.0,0.0,0.0,32.0,devin-bush-2,Devin Bush,Michigan
1,22.5,167.0,9.0,150.0,317.0,10.5,2.0,0.0,12.0,47.0,ty-summers-1,Ty Summers,Texas Christian
2,19.5,154.0,4.0,86.0,240.0,7.5,0.0,0.0,0.0,50.0,keishawn-bierria-1,Keishawn Bierria,Washington
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,derek-wake-1,Derek Wake,Penn State
4,24.0,202.0,5.0,120.0,322.0,7.0,1.0,0.0,36.0,35.0,bryce-hager-1,Bryce Hager,Baylor
5,24.5,227.0,5.0,133.0,360.0,6.0,2.0,0.0,0.0,37.0,wesley-woodyard-1,Wesley Woodyard,Kentucky
7,26.0,99.0,6.0,77.0,176.0,12.0,0.0,0.0,0.0,38.0,cory-littleton-1,Cory Littleton,Washington
8,18.5,153.0,5.0,56.0,209.0,11.0,5.0,0.0,5.0,35.0,elijah-lee-1,Elijah Lee,Kansas State
10,27.0,240.0,8.0,111.0,351.0,4.5,2.0,1.0,61.0,47.0,denzel-perryman-1,Denzel Perryman,Miami (FL)
11,8.5,39.0,0.0,18.0,57.0,3.5,0.0,0.0,0.0,13.0,harrison-smith-2,Harrison Smith,Notre Dame
12,32.5,156.0,5.0,156.0,312.0,10.0,4.0,1.0,58.0,45.0,robert-spillane-1,Robert Spillane,Western Michigan
13,20.0,106.0,9.0,95.0,201.0,5.5,1.0,0.0,0.0,38.0,jarrad-davis-1,Jarrad Davis,Florida
14,29.5,147.0,0.0,166.0,313.0,11.0,3.0,0.0,13.0,36.0,sean-lee-1,Sean Lee,Penn State
16,28.5,114.0,9.0,172.0,286.0,8.5,1.0,0.0,3.0,34.0,devin-white-1,Devin White,LSU
17,19.0,138.0,4.0,115.0,253.0,6.0,0.0,0.0,0.0,33.0,ramik-wilson-1,Ramik Wilson,Georgia
18,40.5,338.0,11.0,155.0,493.0,7.0,7.0,0.0,94.0,38.0,tyler-matakevich-1,Tyler Matakevich,Temple
19,32.5,158.0,13.0,104.0,262.0,6.5,7.0,2.0,134.0,48.0,fred-warner-1,Fred Warner,Brigham Young
20,29.0,159.0,5.0,92.0,251.0,6.0,2.0,0.0,17.0,44.0,ryan-connelly-1,Ryan Connelly,Wisconsin
21,16.5,72.0,4.0,136.0,208.0,7.5,2.0,0.0,2.0,28.0,neville-hewitt-1,Neville Hewitt,Marshall
22,44.5,168.0,5.0,62.0,230.0,21.5,2.0,2.0,51.0,45.0,genard-avery-1,Genard Avery,Memphis
23,28.0,129.0,7.0,76.0,205.0,8.5,3.0,2.0,67.0,50.0,dorian-odaniel-1,Dorian O'Daniel,Clemson
25,43.5,134.0,5.0,62.0,196.0,31.5,1.0,0.0,5.0,36.0,jeremiah-attaochu-1,Jeremiah Attaochu,Georgia Tech
26,11.5,190.0,10.0,148.0,338.0,4.0,4.0,0.0,60.0,47.0,ben-burr-kirven-1,Ben Burr-Kirven,Washington
27,10.0,59.0,1.0,85.0,144.0,1.5,1.0,0.0,3.0,35.0,duke-riley-1,Duke Riley,LSU
28,21.0,101.0,7.0,133.0,234.0,5.0,1.0,0.0,29.0,44.0,donta-hightower-1,Dont'a Hightower,Alabama
29,13.5,151.0,4.0,164.0,315.0,5.5,4.0,2.0,91.0,49.0,christian-kirksey-1,Christian Kirksey,Iowa
30,15.0,78.0,6.0,43.0,121.0,6.5,0.0,0.0,0.0,20.0,jack-cichy-1,Jack Cichy,Wisconsin
31,17.0,197.0,7.0,138.0,335.0,7.0,0.0,0.0,0.0,37.0,steve-longa-1,Steve Longa,Rutgers
32,13.5,57.0,4.0,40.0,97.0,5.5,0.0,0.0,0.0,47.0,clay-matthews-1,Clay Matthews,USC
33,17.5,134.0,7.0,115.0,249.0,2.0,4.0,0.0,40.0,34.0,dakota-allen-1,Dakota Allen,Texas Tech
34,9.0,18.0,0.0,10.0,28.0,5.0,0.0,0.0,0.0,24.0,allen-bailey-1,Allen Bailey,Miami (FL)
35,20.0,122.0,8.0,105.0,227.0,10.5,1.0,1.0,52.0,44.0,bobby-okereke-1,Bobby Okereke,Stanford
36,35.5,159.0,5.0,142.0,301.0,18.0,7.0,3.0,244.0,44.0,calvin-munson-1,Calvin Munson,San Diego State
37,39.0,107.0,5.0,97.0,204.0,19.0,0.0,0.0,0.0,37.0,jordan-jenkins-2,Jordan Jenkins,Georgia
38,36.0,104.0,1.0,149.0,253.0,13.0,4.0,1.0,125.0,41.0,kyler-fackrell-1,Kyler Fackrell,Utah State
39,21.5,188.0,5.0,117.0,305.0,9.0,3.0,0.0,30.0,53.0,nigel-bradham-1,Nigel Bradham,Florida State
40,17.5,90.0,4.0,69.0,159.0,7.0,2.0,1.0,90.0,29.0,jerome-baker-1,Jerome Baker,Ohio State
41,20.5,105.0,3.0,78.0,183.0,6.5,1.0,0.0,25.0,21.0,dj-alexander-1,D.J. Alexander,Oregon State
43,19.5,65.0,5.0,33.0,98.0,12.0,2.0,1.0,11.0,26.0,andrew-van-ginkel-1,Andrew Van Ginkel,Wisconsin
44,16.0,120.0,1.0,85.0,205.0,5.0,1.0,0.0,0.0,38.0,joe-walker-3,Joe Walker,Oregon
45,15.0,66.0,3.0,46.0,112.0,9.0,0.0,0.0,0.0,12.0,alvin-dupree-1,Alvin Dupree,Kentucky
46,15.5,24.0,2.0,23.0,47.0,8.0,0.0,0.0,0.0,16.0,dawuane-smoot-1,Dawuane Smoot,Illinois
47,32.5,229.0,4.0,242.0,471.0,5.5,5.0,0.0,103.0,52.0,nick-bellore-1,Nick Bellore,Central Michigan
50,11.0,46.0,2.0,27.0,73.0,3.0,0.0,0.0,0.0,19.0,devante-bond-1,Devante Bond,Oklahoma
51,23.5,109.0,5.0,66.0,175.0,7.0,1.0,0.0,7.0,25.0,elandon-roberts-1,Elandon Roberts,Houston
53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,levine-toilolo-1,Levine Toilolo,Stanford
54,15.0,78.0,5.0,89.0,167.0,1.5,0.0,0.0,0.0,25.0,kwon-alexander-1,Kwon Alexander,LSU
55,14.0,79.0,1.0,81.0,160.0,2.0,0.0,0.0,0.0,40.0,natrez-patrick-1,Natrez Patrick,Georgia
56,9.5,18.0,3.0,13.0,31.0,2.0,1.0,0.0,7.0,12.0,frank-clark-1,Frank Clark,Michigan
58,23.0,146.0,6.0,75.0,221.0,6.5,3.0,2.0,35.0,42.0,justin-phillips-2,Justin Phillips,Oklahoma State
59,18.0,57.0,3.0,52.0,109.0,7.0,1.0,0.0,-3.0,23.0,luke-gifford-1,Luke Gifford,Nebraska
60,14.5,100.0,1.0,105.0,205.0,5.0,4.0,0.0,72.0,52.0,nathan-stupar-1,Nathan Stupar,Penn State
