,tackles_for_loss,solo_tackles,passes_defended,fumbles_recovered,assists_on_tackles,total_tackles,yards_recovered_from_fumble,games,player_id,name,team_abbreviation
2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,rodger-saffold-1,Rodger Saffold,Indiana
3,0.0,2.0,0.0,0.0,1.0,3.0,0.0,26.0,anthony-castonzo-1,Anthony Castonzo,Boston College
4,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,spencer-long-1,Spencer Long,Nebraska
6,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,shaquille-mason-1,Shaquille Mason,Georgia Tech
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,austin-blythe-1,Austin Blythe,Iowa
8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,brandon-linder-1,Brandon Linder,Miami (FL)
9,0.0,5.0,0.0,0.0,0.0,5.0,0.0,25.0,jawuan-james-1,Ja'Wuan James,Tennessee
10,0.0,2.0,0.0,0.0,0.0,2.0,0.0,26.0,andre-smith-3,Andre Smith,Alabama
11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,dennis-kelly-1,Dennis Kelly,Purdue
12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,bj-finney-1,B.J. Finney,Kansas State
14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,rodney-hudson-1,Rodney Hudson,Florida State
16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,james-daniels-1,James Daniels,Iowa
17,0.0,3.0,0.0,0.0,6.0,9.0,0.0,39.0,morgan-cox-1,Morgan Cox,Tennessee
18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,marshal-yanda-1,Marshal Yanda,Iowa
19,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,mike-mcglinchey-1,Mike McGlinchey,Notre Dame
21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,riley-reiff-1,Riley Reiff,Iowa
22,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,mike-iupati-1,Mike Iupati,Idaho
23,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,lael-collins-1,La'El Collins,LSU
24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,mark-glowinski-1,Mark Glowinski,West Virginia
25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,alex-mack-1,Alex Mack,California
26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,24.0,tyron-smith-1,Tyron Smith,USC
27,0.0,1.0,0.0,0.0,1.0,2.0,0.0,28.0,maurkice-pouncey-1,Maurkice Pouncey,Florida
29,0.0,1.0,0.0,1.0,1.0,2.0,0.0,26.0,zack-martin-1,Zack Martin,Notre Dame
