,passing_touchdowns,rush_yards,pass_attempts,rush_attempts,yards_from_scrimmage,rushing_and_receiving_touchdowns,passing_yards,passing_completion,completed_passes,total_tackles,interceptions_thrown,points,total_touchdowns,plays_from_scrimmage,rush_touchdowns,games,player_id,name,team_abbreviation
0,33.0,-226.0,898.0,166.0,-226.0,8.0,6700.0,223.7,525.0,3.0,32.0,48.0,8.0,166.0,8.0,37.0,matt-moore-1,Matt Moore,UCLA
1,77.0,-50.0,1026.0,119.0,-50.0,3.0,9019.0,263.8,686.0,3.0,15.0,18.0,3.0,119.0,3.0,53.0,aj-mccarron-1,A.J. McCarron,Alabama
2,75.0,1747.0,1241.0,479.0,1763.0,31.0,9966.0,202.4,837.0,3.0,25.0,186.0,31.0,481.0,30.0,40.0,brett-hundley-1,Brett Hundley,UCLA
3,63.0,-280.0,1069.0,111.0,-280.0,3.0,7411.0,251.7,646.0,2.0,31.0,18.0,3.0,111.0,3.0,36.0,mike-glennon-1,Mike Glennon,North Carolina State
4,52.0,1359.0,1248.0,495.0,1370.0,25.0,9003.0,213.8,693.0,5.0,39.0,150.0,25.0,497.0,24.0,47.0,logan-thomas-1,Logan Thomas,Virginia Tech
5,87.0,-210.0,1546.0,183.0,-210.0,9.0,11994.0,235.8,928.0,3.0,46.0,54.0,9.0,183.0,9.0,44.0,nick-mullens-1,Nick Mullens,Southern Mississippi
6,96.0,-114.0,1568.0,170.0,-104.0,1.0,12195.0,187.0,977.0,0.0,30.0,6.0,1.0,172.0,1.0,37.0,jared-goff-1,Jared Goff,California
7,1.0,43.0,38.0,11.0,43.0,0.0,147.0,34.2,13.0,2.0,2.0,0.0,0.0,11.0,0.0,4.0,nick-bawden-1,Nick Bawden,San Diego State
8,92.0,28.0,1447.0,225.0,81.0,17.0,13618.0,247.7,915.0,4.0,26.0,102.0,17.0,228.0,17.0,42.0,mason-rudolph-1,Mason Rudolph,Oklahoma State
9,64.0,136.0,1016.0,134.0,147.0,4.0,7463.0,214.4,583.0,1.0,26.0,24.0,4.0,135.0,4.0,42.0,brandon-allen-2,Brandon Allen,Arkansas
10,50.0,1478.0,519.0,207.0,1478.0,13.0,5406.0,214.2,350.0,2.0,14.0,78.0,16.0,207.0,13.0,29.0,kyler-murray-1,Kyler Murray,Texas A&M
11,56.0,561.0,891.0,195.0,558.0,15.0,7598.0,198.89999999999998,585.0,2.0,19.0,90.0,15.0,196.0,15.0,37.0,blake-bortles-1,Blake Bortles,UCF
12,46.0,902.0,839.0,283.0,922.0,12.0,5723.0,231.60000000000002,499.0,1.0,15.0,72.0,12.0,284.0,12.0,39.0,jacoby-brissett-2,Jacoby Brissett,Florida
13,70.0,2521.0,1169.0,536.0,2609.0,44.0,9376.0,248.3,734.0,1.0,23.0,264.0,44.0,540.0,41.0,49.0,dak-prescott-1,Dak Prescott,Mississippi State
14,30.0,1586.0,292.0,285.0,1628.0,25.0,2908.0,166.1,191.0,1.0,7.0,150.0,25.0,287.0,24.0,20.0,cam-newton-1,Cam Newton,Florida
