,rush_yards,points,receiving_touchdowns,solo_tackles,yards_from_scrimmage,total_touchdowns,plays_from_scrimmage,receptions,receiving_yards,rush_attempts,total_tackles,rush_touchdowns,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
0,1499.0,114.0,1.0,2.0,1909.0,19.0,333.0,43.0,410.0,290.0,2.0,18.0,19.0,22.0,damien-williams-1,Damien Williams,Oklahoma
1,2255.0,186.0,1.0,2.0,2730.0,31.0,451.0,47.0,475.0,404.0,3.0,30.0,31.0,40.0,devonta-freeman-1,Devonta Freeman,Florida State
2,1649.0,78.0,1.0,0.0,1842.0,13.0,308.0,32.0,193.0,276.0,0.0,12.0,13.0,36.0,miles-sanders-1,Miles Sanders,Penn State
3,3613.0,234.0,6.0,4.0,4234.0,39.0,654.0,64.0,621.0,590.0,4.0,33.0,39.0,47.0,sony-michel-1,Sony Michel,Georgia
4,3609.0,198.0,1.0,2.0,4107.0,33.0,651.0,65.0,498.0,586.0,3.0,32.0,33.0,36.0,marlon-mack-1,Marlon Mack,South Florida
5,1512.0,120.0,0.0,0.0,1643.0,20.0,288.0,21.0,131.0,267.0,0.0,20.0,20.0,31.0,bo-scarbrough-1,Bo Scarbrough,Alabama
6,1491.0,144.0,5.0,2.0,2062.0,23.0,299.0,48.0,571.0,251.0,3.0,16.0,21.0,40.0,joshua-jacobs-1,Joshua Jacobs,Alabama
7,3681.0,162.0,3.0,0.0,3942.0,27.0,671.0,24.0,261.0,647.0,1.0,24.0,27.0,32.0,jordan-howard-1,Jordan Howard,UAB
8,2816.0,216.0,1.0,2.0,3365.0,36.0,649.0,65.0,549.0,584.0,3.0,35.0,36.0,25.0,lesean-mccoy-1,LeSean McCoy,Pitt
9,3830.0,252.0,1.0,2.0,4356.0,42.0,657.0,41.0,526.0,616.0,2.0,40.0,41.0,32.0,leonard-fournette-1,Leonard Fournette,LSU
10,1690.0,114.0,1.0,7.0,1846.0,19.0,366.0,16.0,156.0,350.0,11.0,18.0,19.0,41.0,gus-edwards-1,Gus Edwards,Miami (FL)
11,2153.0,114.0,5.0,2.0,2761.0,19.0,524.0,99.0,608.0,425.0,3.0,14.0,19.0,28.0,patrick-laird-2,Patrick Laird,California
12,1748.0,150.0,3.0,3.0,2094.0,25.0,424.0,39.0,346.0,385.0,5.0,22.0,25.0,23.0,elijhaa-penny-1,Elijhaa Penny,Idaho
13,2006.0,168.0,2.0,4.0,2630.0,28.0,451.0,56.0,624.0,395.0,8.0,26.0,28.0,31.0,mark-walton-1,Mark Walton,Miami (FL)
14,34.0,36.0,6.0,7.0,336.0,6.0,49.0,38.0,302.0,11.0,8.0,0.0,6.0,52.0,patrick-dimarco-1,Patrick Dimarco,South Carolina
15,614.0,72.0,4.0,8.0,934.0,12.0,120.0,26.0,320.0,94.0,10.0,8.0,12.0,19.0,dwayne-washington-1,Dwayne Washington,Washington
16,3619.0,252.0,3.0,2.0,3921.0,42.0,623.0,32.0,302.0,591.0,2.0,39.0,42.0,40.0,ronald-jones-4,Ronald Jones,USC
17,1890.0,276.0,15.0,5.0,3186.0,46.0,356.0,113.0,1296.0,243.0,5.0,26.0,41.0,37.0,deanthony-thomas-1,De'Anthony Thomas,Oregon
18,73.0,6.0,0.0,2.0,73.0,1.0,6.0,0.0,0.0,6.0,5.0,1.0,1.0,5.0,johnathan-ford-1,Johnathan Ford,Auburn
20,2812.0,204.0,0.0,2.0,2987.0,34.0,602.0,29.0,175.0,573.0,2.0,34.0,34.0,46.0,ryquell-armstead-1,Ryquell Armstead,Temple
21,2338.0,132.0,3.0,6.0,2682.0,22.0,481.0,45.0,344.0,436.0,9.0,19.0,22.0,42.0,bilal-powell-1,Bilal Powell,Louisville
22,2678.0,162.0,3.0,55.0,3060.0,27.0,681.0,51.0,382.0,630.0,106.0,24.0,27.0,44.0,malcolm-brown-2,Malcolm Brown,Texas
23,1135.0,84.0,2.0,0.0,1485.0,14.0,220.0,22.0,350.0,198.0,1.0,12.0,14.0,25.0,cj-anderson-1,C.J. Anderson,California
24,1495.0,138.0,4.0,6.0,2065.0,23.0,279.0,46.0,570.0,233.0,8.0,18.0,22.0,41.0,kenyan-drake-1,Kenyan Drake,Alabama
25,3740.0,240.0,3.0,0.0,3896.0,40.0,564.0,22.0,156.0,542.0,2.0,37.0,40.0,37.0,matt-breida-1,Matt Breida,Georgia Southern
26,3656.0,312.0,6.0,3.0,4135.0,52.0,530.0,42.0,479.0,488.0,6.0,38.0,44.0,51.0,rashaad-penny-1,Rashaad Penny,San Diego State
27,61.0,6.0,1.0,44.0,538.0,1.0,65.0,48.0,477.0,17.0,63.0,0.0,1.0,51.0,anthony-sherman-1,Anthony Sherman,Connecticut
28,277.0,12.0,0.0,0.0,311.0,2.0,50.0,5.0,34.0,45.0,0.0,2.0,2.0,11.0,russell-shepard-1,Russell Shepard,LSU
29,3733.0,338.0,4.0,1.0,4145.0,56.0,698.0,30.0,412.0,668.0,2.0,52.0,56.0,39.0,james-conner-1,James Conner,Pitt
31,3411.0,162.0,4.0,4.0,4502.0,27.0,729.0,124.0,1091.0,605.0,8.0,23.0,27.0,49.0,deandre-washington-1,Deandre Washington,Texas Tech
32,3070.0,150.0,2.0,4.0,3477.0,25.0,529.0,52.0,407.0,477.0,5.0,23.0,25.0,54.0,damien-harris-1,Damien Harris,Alabama
33,3230.0,210.0,6.0,3.0,3830.0,35.0,558.0,68.0,600.0,490.0,3.0,29.0,35.0,35.0,marshawn-lynch-1,Marshawn Lynch,California
34,3416.0,216.0,2.0,0.0,3902.0,36.0,741.0,66.0,486.0,675.0,0.0,34.0,36.0,42.0,wayne-gallman-1,Wayne Gallman,Clemson
35,3322.0,234.0,2.0,0.0,3816.0,39.0,622.0,46.0,494.0,576.0,0.0,37.0,39.0,39.0,tj-yeldon-1,T.J. Yeldon,Alabama
36,3529.0,186.0,4.0,10.0,3829.0,31.0,763.0,30.0,300.0,733.0,13.0,27.0,31.0,47.0,alfred-morris-1,Alfred Morris,Florida Atlantic
