,tackles_for_loss,points,solo_tackles,total_touchdowns,passes_defended,assists_on_tackles,interceptions_returned_for_touchdown,total_tackles,interceptions,sacks,fumbles_forced,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
2,12.5,0.0,142.0,0.0,16.0,71.0,0.0,213.0,6.0,2.0,3.0,117.0,36.0,marcus-epps-1,Marcus Epps,Wyoming
5,5.5,18.0,49.0,3.0,4.0,35.0,3.0,84.0,7.0,0.5,0.0,181.0,19.0,malik-hooker-1,Malik Hooker,Ohio State
7,1.5,0.0,42.0,0.0,7.0,37.0,0.0,79.0,2.0,0.0,1.0,48.0,30.0,jamal-carter-1,Jamal Carter,Miami (FL)
8,0.0,0.0,32.0,0.0,3.0,5.0,0.0,37.0,2.0,0.0,1.0,19.0,10.0,tracy-walker-1,Tracy Walker,Louisiana
9,10.5,0.0,104.0,0.0,14.0,66.0,0.0,170.0,6.0,1.0,0.0,2.0,36.0,justin-reid-1,Justin Reid,Stanford
10,8.5,0.0,139.0,0.0,17.0,90.0,0.0,229.0,8.0,3.5,3.0,71.0,37.0,josh-jones-3,Josh Jones,North Carolina State
11,3.0,0.0,34.0,0.0,4.0,8.0,0.0,42.0,3.0,1.0,0.0,29.0,14.0,deshon-elliott-1,DeShon Elliott,Texas
15,17.0,0.0,181.0,0.0,10.0,139.0,0.0,320.0,1.0,3.0,5.0,50.0,49.0,marcus-allen-5,Marcus Allen,Penn State
16,9.5,0.0,64.0,0.0,1.0,43.0,0.0,107.0,1.0,3.0,3.0,4.0,12.0,travin-howard-1,Travin Howard,Texas Christian
19,11.5,0.0,121.0,0.0,17.0,69.0,0.0,190.0,6.0,0.0,2.0,0.0,39.0,jalen-thompson-2,Jalen Thompson,Washington State
26,11.5,6.0,114.0,1.0,11.0,43.0,1.0,157.0,8.0,2.0,3.0,199.0,25.0,shalom-luani-1,Shalom Luani,Washington State
27,3.0,0.0,37.0,0.0,4.0,17.0,0.0,54.0,1.0,0.0,0.0,1.0,13.0,tony-apke-1,Troy Apke,Penn State
28,25.0,0.0,274.0,0.0,8.0,180.0,0.0,454.0,10.0,4.0,5.0,87.0,51.0,andrew-wingard-1,Andrew Wingard,Wyoming
29,4.0,6.0,34.0,1.0,3.0,14.0,1.0,48.0,2.0,0.0,3.0,36.0,11.0,rolan-milligan-2,Rolan Milligan,Toledo
32,8.0,0.0,209.0,0.0,25.0,75.0,0.0,284.0,4.0,0.0,4.0,17.0,51.0,tre-flowers-1,Tre Flowers,Oklahoma State
33,1.5,0.0,34.0,0.0,4.0,28.0,0.0,62.0,2.0,0.0,1.0,4.0,23.0,germaine-pratt-1,Germaine Pratt,North Carolina State
35,6.5,6.0,127.0,1.0,13.0,93.0,1.0,220.0,5.0,0.5,1.0,60.0,47.0,marvell-tell-iii-1,Marvell Tell III,USC
37,21.0,12.0,190.0,2.0,23.0,127.0,2.0,317.0,10.0,1.5,2.0,146.0,48.0,mike-edwards-8,Mike Edwards,Kentucky
40,18.0,0.0,128.0,0.0,14.0,81.0,0.0,209.0,5.0,2.0,2.0,30.0,36.0,jamal-adams-1,Jamal Adams,LSU
44,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,joseph-jones-1,Joseph Jones,Northwestern
46,0.0,0.0,20.0,0.0,1.0,6.0,0.0,26.0,1.0,0.0,0.0,0.0,15.0,adrian-colbert-1,Adrian Colbert,Texas
49,11.5,6.0,132.0,1.0,11.0,66.0,0.0,198.0,3.0,4.0,4.0,10.0,43.0,roderic-teamer-1,Roderic Teamer,Tulane
50,0.0,0.0,10.0,0.0,0.0,14.0,0.0,24.0,0.0,0.0,0.0,0.0,10.0,chuck-clark-1,Chuck Clark,Virginia Tech
53,7.0,0.0,95.0,0.0,13.0,94.0,0.0,189.0,3.0,3.0,2.0,50.0,41.0,khari-willis-1,Khari Willis,Michigan State
54,12.0,0.0,141.0,0.0,26.0,67.0,0.0,208.0,13.0,1.5,1.0,177.0,38.0,juan-thornhill-1,Juan Thornhill,Virginia
56,11.5,0.0,116.0,0.0,11.0,48.0,0.0,164.0,7.0,3.0,2.0,83.0,39.0,jayron-kearse-1,Jayron Kearse,Clemson
57,14.5,0.0,113.0,0.0,9.0,39.0,0.0,152.0,3.0,4.0,4.0,2.0,25.0,kyzir-white-1,Kyzir White,West Virginia
63,9.0,0.0,103.0,0.0,14.0,51.0,0.0,154.0,2.0,2.5,0.0,12.0,36.0,steven-parker-1,Steven Parker,Oklahoma
66,6.0,0.0,77.0,0.0,4.0,44.0,0.0,121.0,2.0,0.5,0.0,-2.0,25.0,drue-tranquill-1,Drue Tranquill,Notre Dame
71,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,matt-milano-1,Matt Milano,Boston College
74,10.5,0.0,64.0,0.0,5.0,60.0,0.0,124.0,2.0,3.0,1.0,9.0,21.0,johnathan-abram-1,Johnathan Abram,Georgia
