,points,receiving_touchdowns,total_touchdowns,plays_from_scrimmage,receiving_yards,receptions,yards_from_scrimmage,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
0,36.0,6.0,6.0,15.0,124.0,15.0,124.0,6.0,16.0,hale-hentges-1,Hale Hentges,Alabama
1,18.0,3.0,3.0,44.0,511.0,44.0,511.0,3.0,25.0,evan-baylis-1,Evan Baylis,Oregon
2,18.0,3.0,3.0,76.0,791.0,75.0,791.0,3.0,48.0,lee-smith-2,Lee Smith,Marshall
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,garrett-bradbury-1,Garrett Bradbury,North Carolina State
4,42.0,7.0,7.0,68.0,797.0,68.0,797.0,7.0,36.0,jason-witten-1,Jason Witten,Tennessee
5,66.0,11.0,11.0,78.0,1005.0,78.0,1005.0,11.0,33.0,jesse-james-1,Jesse James,Penn State
7,26.0,3.0,4.0,111.0,1281.0,100.0,1320.0,4.0,31.0,hayden-hurst-1,Hayden Hurst,South Carolina
10,66.0,11.0,11.0,70.0,982.0,64.0,1016.0,11.0,26.0,devin-funchess-1,Devin Funchess,Michigan
11,24.0,4.0,4.0,19.0,281.0,18.0,282.0,4.0,31.0,cj-uzomah-1,C.J. Uzomah,Auburn
12,54.0,9.0,9.0,66.0,911.0,66.0,911.0,9.0,27.0,joshua-perkins-1,Joshua Perkins,Washington
13,30.0,5.0,5.0,28.0,404.0,28.0,404.0,5.0,11.0,ian-thomas-3,Ian Thomas,Indiana
14,30.0,4.0,5.0,64.0,744.0,59.0,826.0,5.0,30.0,cethan-carter-1,Cethan Carter,Nebraska
15,90.0,15.0,15.0,112.0,1434.0,112.0,1434.0,15.0,37.0,zach-ertz-1,Zach Ertz,Stanford
16,48.0,8.0,8.0,163.0,1769.0,162.0,1769.0,8.0,42.0,jack-doyle-1,Jack Doyle,Western Kentucky
17,84.0,14.0,14.0,121.0,1753.0,121.0,1753.0,14.0,47.0,clive-walford-1,Clive Walford,Miami (FL)
18,30.0,5.0,5.0,17.0,213.0,17.0,213.0,5.0,13.0,jimmy-graham-1,Jimmy Graham,Miami (FL)
20,42.0,7.0,7.0,53.0,792.0,52.0,798.0,7.0,41.0,jeff-heuerman-1,Jeff Heuerman,Ohio State
21,90.0,15.0,15.0,81.0,1276.0,81.0,1276.0,15.0,23.0,mark-andrews-1,Mark Andrews,Oklahoma
22,30.0,5.0,5.0,46.0,487.0,46.0,487.0,5.0,31.0,drew-sample-1,Drew Sample,Washington
24,66.0,11.0,11.0,79.0,939.0,72.0,992.0,11.0,40.0,virgil-green-1,Virgil Green,Nevada
25,18.0,3.0,3.0,14.0,135.0,14.0,135.0,3.0,38.0,garrett-celek-1,Garrett Celek,Michigan State
26,66.0,11.0,11.0,69.0,731.0,69.0,731.0,11.0,35.0,xavier-grimble-1,Xavier Grimble,USC
27,24.0,4.0,4.0,31.0,311.0,31.0,311.0,4.0,18.0,jordan-thomas-6,Jordan Thomas,Mississippi State
28,6.0,1.0,1.0,3.0,64.0,3.0,64.0,1.0,13.0,duane-brown-1,Duane Brown,Virginia Tech
29,6.0,1.0,1.0,11.0,130.0,11.0,130.0,1.0,11.0,joe-staley-2,Joe Staley,Central Michigan
30,90.0,15.0,15.0,129.0,1481.0,129.0,1481.0,15.0,45.0,mike-gesicki-1,Mike Gesicki,Penn State
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,david-edwards-3,David Edwards,Wisconsin
32,0.0,0.0,0.0,3.0,50.0,3.0,50.0,0.0,12.0,nate-solder-1,Nate Solder,Colorado
33,30.0,5.0,5.0,55.0,555.0,55.0,555.0,5.0,33.0,dalton-schultz-1,Dalton Schultz,Stanford
34,66.0,11.0,11.0,143.0,2015.0,143.0,2015.0,11.0,48.0,clark-harris-1,Clark Harris,Rutgers
36,62.0,10.0,10.0,99.0,1281.0,99.0,1281.0,10.0,38.0,tommy-sweeney-1,Tommy Sweeney,Boston College
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,beau-brinkley-1,Beau Brinkley,Missouri
38,0.0,0.0,0.0,39.0,605.0,39.0,605.0,0.0,18.0,dawson-knox-1,Dawson Knox,Ole Miss
39,42.0,7.0,7.0,114.0,1726.0,114.0,1726.0,7.0,46.0,oj-howard-1,O.J. Howard,Alabama
40,30.0,5.0,5.0,70.0,901.0,70.0,901.0,5.0,34.0,tyler-kroft-1,Tyler Kroft,Rutgers
41,42.0,7.0,7.0,73.0,945.0,73.0,945.0,7.0,48.0,benjamin-watson-1,Benjamin Watson,Duke
