,points,receiving_touchdowns,total_touchdowns,fumbles_recovered,receptions,plays_from_scrimmage,receiving_yards,total_tackles,yards_from_scrimmage,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
0,48.0,7.0,8.0,0.0,81.0,84.0,1340.0,1.0,1323.0,7.0,28.0,richard-sherman-1,Richard Sherman,Stanford
1,114.0,19.0,19.0,2.0,75.0,75.0,1251.0,17.0,1251.0,19.0,44.0,terry-mclaurin-1,Terry McLaurin,Ohio State
2,48.0,8.0,8.0,0.0,111.0,111.0,1500.0,4.0,1500.0,8.0,45.0,quinton-dunbar-1,Quinton Dunbar,Florida
3,6.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,7.0,justin-layne-1,Justin Layne,Michigan State
4,102.0,17.0,17.0,1.0,135.0,137.0,2042.0,10.0,2045.0,17.0,32.0,cody-latimer-1,Cody Latimer,Indiana
5,144.0,24.0,24.0,0.0,204.0,207.0,2594.0,5.0,2617.0,24.0,38.0,kenny-stills-1,Kenny Stills,Oklahoma
6,156.0,26.0,26.0,0.0,119.0,123.0,2301.0,9.0,2327.0,26.0,47.0,chris-moore-4,Chris Moore,Cincinnati
7,102.0,17.0,17.0,0.0,222.0,223.0,3391.0,1.0,3394.0,17.0,49.0,robert-davis-10,Robert Davis,Georgia State
8,72.0,10.0,12.0,0.0,69.0,73.0,1355.0,0.0,1382.0,10.0,25.0,byron-pringle-1,Byron Pringle,Kansas State
9,96.0,16.0,16.0,0.0,152.0,157.0,1897.0,2.0,1926.0,16.0,32.0,deontay-burnett-1,Deontay Burnett,USC
10,96.0,15.0,16.0,0.0,120.0,124.0,2339.0,0.0,2371.0,15.0,39.0,demaryius-thomas-1,Demaryius Thomas,Georgia Tech
11,144.0,15.0,24.0,1.0,172.0,211.0,2125.0,7.0,2459.0,19.0,49.0,ty-montgomery-1,Ty Montgomery,Stanford
12,102.0,17.0,17.0,0.0,121.0,128.0,2132.0,6.0,2134.0,17.0,43.0,phillip-dorsett-1,Phillip Dorsett,Miami (FL)
13,198.0,26.0,33.0,0.0,234.0,257.0,2856.0,3.0,2976.0,26.0,39.0,christian-kirk-1,Christian Kirk,Texas A&M
14,168.0,28.0,28.0,0.0,135.0,135.0,2219.0,1.0,2219.0,28.0,33.0,jj-arcega-whiteside-1,JJ Arcega-Whiteside,Stanford
15,48.0,8.0,8.0,0.0,106.0,106.0,1480.0,0.0,1480.0,8.0,23.0,geronimo-allison-1,Geronimo Allison,Illinois
16,120.0,19.0,20.0,0.0,224.0,232.0,2781.0,2.0,2821.0,20.0,44.0,calvin-ridley-1,Calvin Ridley,Alabama
17,128.0,21.0,21.0,0.0,176.0,180.0,2690.0,3.0,2705.0,21.0,26.0,michael-gallup-1,Michael Gallup,Colorado State
18,174.0,20.0,29.0,0.0,268.0,354.0,3001.0,4.0,3527.0,26.0,50.0,dwayne-harris-1,Dwayne Harris,East Carolina
20,18.0,3.0,3.0,0.0,64.0,69.0,930.0,3.0,940.0,3.0,34.0,chad-beebe-1,Chad Beebe,Northern Illinois
21,180.0,30.0,30.0,0.0,121.0,122.0,2503.0,10.0,2505.0,30.0,53.0,devin-smith-2,Devin Smith,Ohio State
22,108.0,18.0,18.0,1.0,154.0,157.0,2421.0,6.0,2435.0,18.0,39.0,chris-godwin-1,Chris Godwin,Penn State
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,23.0,0.0,4.0,natrell-jamerson-1,Natrell Jamerson,Wisconsin
24,54.0,8.0,9.0,0.0,133.0,137.0,1562.0,1.0,1579.0,8.0,38.0,jesus-wilson-1,Jesus Wilson,Florida State
25,0.0,0.0,0.0,0.0,5.0,5.0,59.0,0.0,59.0,0.0,13.0,vernon-davis-1,Vernon Davis,Maryland
26,30.0,5.0,5.0,0.0,50.0,50.0,785.0,1.0,785.0,5.0,23.0,fred-brown-3,Fred Brown,Mississippi State
27,66.0,11.0,11.0,0.0,77.0,77.0,1206.0,2.0,1206.0,11.0,26.0,miles-boykin-1,Miles Boykin,Notre Dame
28,42.0,7.0,7.0,0.0,53.0,54.0,681.0,14.0,693.0,7.0,26.0,josh-bellamy-1,Josh Bellamy,Louisville
29,102.0,17.0,17.0,0.0,132.0,135.0,2413.0,0.0,2413.0,17.0,25.0,marquise-brown-1,Marquise Brown,Oklahoma
32,312.0,52.0,52.0,0.0,331.0,334.0,5278.0,4.0,5291.0,52.0,50.0,corey-davis-3,Corey Davis,Western Michigan
33,186.0,31.0,31.0,0.0,228.0,234.0,3463.0,2.0,3514.0,31.0,39.0,amari-cooper-1,Amari Cooper,Alabama
34,84.0,14.0,14.0,0.0,121.0,122.0,1891.0,6.0,1904.0,14.0,46.0,allen-hurns-1,Allen Hurns,Miami (FL)
35,150.0,24.0,25.0,0.0,168.0,170.0,2934.0,11.0,2944.0,24.0,50.0,jarius-wright-1,Jarius Wright,Arkansas
36,126.0,21.0,21.0,0.0,156.0,165.0,2412.0,1.0,2450.0,21.0,33.0,paul-richardson-1,Paul Richardson,Colorado
38,90.0,12.0,15.0,0.0,203.0,235.0,2187.0,3.0,2377.0,15.0,53.0,jaydon-mickens-1,Jaydon Mickens,Washington
39,108.0,18.0,18.0,0.0,113.0,113.0,1602.0,3.0,1602.0,18.0,39.0,michael-thomas-3,Michael Thomas,Ohio State
40,114.0,17.0,19.0,0.0,159.0,167.0,2424.0,1.0,2441.0,18.0,30.0,keke-coutee-1,Keke Coutee,Texas Tech
