,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2015,,,,,,6,8,,1987-05-12,,66.7,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,14,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,16.0,0.0,Tyson Alualu,,,,2.0,,,,,,AluaTy99,DT,,,,,,,0.0,19.0,1.2,9.5,2.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,,,2.0,,2015,18,JAX,,,3.0,,,,3.0,,,304,19.0,,,,,,,,6.3,0.0,0.0
Career,,,,,38.0,52,125,,1987-05-12,,66.7,,,,,,,,,,,,,,,0.0,3.0,3.0,7.0,,157,100,6-3,,,0.0,0.0,,0.0,12.0,1.0,,,,0.0,12.0,,,,16.0,0.0,Tyson Alualu,,,,9.0,,,,,,AluaTy99,,,,,,,,0.0,19.0,0.1,9.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22.5,,Career,235,,,,3.0,,,,3.0,,,304,19.0,,,,,12.0,,,6.3,7.0,0.0
2010,,,,,,6,9,,1987-05-12,,,,,,,,,,,,,,,,,,,,,,16,16,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Tyson Alualu,,,,1.0,,,,,,AluaTy99,DT,,,,,,,,,,,,,,,,,,,,,,3.5,,2010,29,JAX,,,,,,,,,,304,,,,,,,,,,,0.0
2011,,,,,,8,19,,1987-05-12,,,,,,,,,,,,,,,,,0.0,1.0,1.0,7.0,,16,16,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Tyson Alualu,,,,1.0,,,,,,AluaTy99,DT,,,,,,,,,,,,,,,,,,,,,,2.5,,2011,21,JAX,,,,,,,,,,304,,,,,,,,,,7.0,0.0
2012,,,,,,7,11,,1987-05-12,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,16,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Tyson Alualu,,,,1.0,,,,,,AluaTy99,de/DT,,,,,,,,,,,,,,,,,,,,,,3.5,,2012,34,JAX,,,,,,,,,,304,,,,,,,,,,0.0,0.0
2013,,,,,,6,9,,1987-05-12,,,,,,,,,,,,,,,,,,,,,,16,16,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Tyson Alualu,,,,1.0,,,,,,AluaTy99,DE,,,,,,,,,,,,,,,,,,,,,,1.5,,2013,33,JAX,,,,,,,,,,304,,,,,,,,,,,0.0
2014,,,,,12.0,2,17,,1987-05-12,,,,,,,,,,,,,,,,,,,,,,16,0,6-3,,,,,,0.0,12.0,1.0,,,,,12.0,,,,,,Tyson Alualu,,,,,,,,,,AluaTy99,,,,,,,,,,,,,,,,,,,,,,,2.0,,2014,13,JAX,,,,,,,,,,304,,,,,,12.0,,,,,
2016,,,,,,5,8,,1987-05-12,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,14,10,6-3,,,,,,,,,,,,,,,,,,,Tyson Alualu,,,,,,,,,,AluaTy99,DE,,,,,,,,,,,,,,,,,,,,,,2.5,,2016,29,JAX,,,,,,,,,,304,,,,,,,,,,0.0,
2017,,,,,,6,14,,1987-05-12,,,,,,,,,,,,,,,,,,,,,,16,5,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Tyson Alualu,,,,1.0,,,,,,AluaTy99,db/de,,,,,,,,,,,,,,,,,,,,,,4.0,,2017,25,PIT,,,,,,,,,,304,,,,,,,,,,,0.0
2018,,,,,,2,10,,1987-05-12,,,,,,,,,,,,,,,,,,,,,,15,2,6-3,,,,,,,,,,,,,,,,,,,Tyson Alualu,,,,,,,,,,AluaTy99,de,,,,,,,,,,,,,,,,,,,,,,0.0,,2018,12,PIT,,,,,,,,,,304,,,,,,,,,,,
