,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,4.0,0,2,,1989-03-25,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,0,6-3,,,0.0,0.0,,0.0,4.0,1.0,,,,0.0,4.0,,,,,,Allen Bailey,,,,2.0,,,,,,BailAl00,,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,8,KAN,,,,,,,,,,288,,,,,,4.0,,,,0.0,0.0
2012,,,,,,1,2,,1989-03-25,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,10,1,6-3,,,,,,,,,,,,,,,,,,,Allen Bailey,,,,,,,,,,BailAl00,de,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,3,KAN,,,,,,,,,,288,,,,,,,,,,1.0,
2013,,,,,,3,5,,1989-03-25,,,,,,,,,,,,,,,,,,,,,,15,3,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Allen Bailey,,,,2.0,,,,,,BailAl00,de,,,,,,,,,,,,,,,,,,,,,,1.0,,2013,25,KAN,,,,,,,,,,288,,,,,,,,,,,0.0
2014,,,,,,7,14,,1989-03-25,,,,,,,,,,,,,,,,,,,,,,14,14,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Allen Bailey,,,,2.0,,,,,,BailAl00,DE/dt,,,,,,,,,,,,,,,,,,,,,,5.0,,2014,27,KAN,,,,,,,,,,288,,,,,,,,,,,0.0
2015,,,,,,6,12,,1989-03-25,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,12,12,6-3,,,,,,,,,,,,,,,,,,,Allen Bailey,,,,,,,,,,BailAl00,DE,,,,,,,,,,,,,,,,,,,,,,4.5,,2015,26,KAN,,,,,,,,,,288,,,,,,,,,,0.0,
2016,,,,,,2,2,,1989-03-25,,,,,,,,,,,,,,,,,,,,,,5,5,6-3,,,,,,,,,,,,,,,,,,,Allen Bailey,,,,,,,,,,BailAl00,de,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,5,KAN,,,,,,,,,,288,,,,,,,,,,,
2017,,,,,,6,17,,1989-03-25,,,,,,,,,,,,,,,,,,,,,,14,13,6-3,,,,,,,,,,,,,,,,,,,Allen Bailey,,,,,,,,,,BailAl00,DE/lolb/rolb,,,,,,,,,,,,,,,,,,,,,,2.0,,2017,21,KAN,,,,,,,,,,288,,,,,,,,,,,
2018,,,,,,6,11,,1989-03-25,,,,,,,,,,,,,,,,,0.0,2.0,4.0,2.0,,16,13,6-3,,,,,,,,,,,,,,,,,,,Allen Bailey,,,,,,,,,,BailAl00,DE,,,,,,,,,,,,,,,,,,,,,,6.0,,2018,27,KAN,,,,,,,,,,288,,,,,,,,,,2.0,
2019,,,,,,3,12,,1989-03-25,,,,,,,,,,,,,,,,,,,,,,15,5,6-3,,,,,,,,,,,,,,,,,,,Allen Bailey,,,,,,,,,,BailAl00,de,,,,,,,,,,,,,,,,,,,,,,1.0,,2019,14,ATL,,,,,,,,,,288,,,,,,,,,,,
Career,,,,,7.0,34,77,,1989-03-25,,,,,,,,,,,,,,,,,0.0,4.0,7.0,3.0,,117,66,6-3,,,0.0,0.0,,0.0,4.0,1.0,,,,0.0,4.0,,,,,,Allen Bailey,,,,6.0,,,,,,BailAl00,,,,,,,,,,,,,,,,,,,,,,,20.5,,Career,156,,,,,,,,,,,288,,,,,,4.0,,,,3.0,0.0
