,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,,,,,6,17,,1989-10-27,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,6-2,,,1,0,,,,,,,,12,,,,,,,Mark Barron,,,,10,,,,,,BarrMa00,SS,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,71,TAM,,,,,,,,,,230,,,,,,,,,,0.0,12
2013,,,,,,4,18,,1989-10-27,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,14,14,6-2,,,2,0,,,,,,,,3,,,,,,,Mark Barron,,,,7,,,,,,BarrMa00,SS,,,,,,,,,,,,,,,,,,,,,,2.0,,2013,70,TAM,,,,,,,,,,230,,,,,,,,,,0.0,3
2014,,,,,,3,16,,1989-10-27,,,,,,,,,,,,,,,,,1.0,0.0,1.0,8.0,,16,9,6-2,,,0,0,,,,,,,,0,,,,,,,Mark Barron,,,,4,,,,,,BarrMa00,,,,,,,,,,,,,,,,,,,,,,,3.0,,2014,56,2TM,,,,,,,,,,230,,,,,,,,,,8.0,0
,,,,,,1,2,,1989-10-27,,,,,,,,,,,,,,,,,,,,,,9,2,6-2,,,0,0,,,,,,,,0,,,,,,,Mark Barron,,,,1,,,,,,BarrMa00,lb/lcb,,,,,,,,,,,,,,,,,,,,,,3.0,,,21,STL,,,,,,,,,,230,,,,,,,,,,,0
2015,,,,,,5,37,,1989-10-27,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,,16,12,6-2,,,0,0,,,,,,,,0,,,,,,,Mark Barron,,,,5,,,,,,BarrMa00,lb/s/ss,,,,,,,,,,,,,,,,,,,,,,1.0,,2015,79,STL,,,,,,,,,,230,,,,,,,,,,0.0,0
2016,,,,,,8,27,,1989-10-27,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,16,6-2,,,2,0,,,,,,,,7,,,,,,,Mark Barron,,,,8,,,,,,BarrMa00,lb/S,,,,,,,,,,,,,,,,,,,,,,1.0,,2016,91,LAR,,,,,,,,,,230,,,,,,,,,,0.0,8
2017,,,,,,7,13,,1989-10-27,,,,,,,,,,,,,,,,,,,,,,14,14,6-2,,,3,0,,,,,,,,15,,,,,,,Mark Barron,,,,4,,,,,,BarrMa00,LB,,,,,,,,,,,,,,,,,,,,,,1.0,,2017,73,LAR,,,,,,,,,,230,,,,,,,,,,,29
2018,,,,,,5,17,,1989-10-27,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,12,12,6-2,,,0,0,,,,,,,,0,,,,,,,Mark Barron,,,,1,,,,,,BarrMa00,LB,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2018,43,LAR,,,,,,,,,,230,,,,,,,,,,0.0,0
2019,,,,,,6,24,,1989-10-27,,,,,,,,,,,,,,,,,0.0,0.0,1.0,22.0,,15,9,6-2,,,1,0,,,,,,,,0,,,,,,,Mark Barron,,,,3,,,,,,BarrMa00,LB,,,,,,,,,,,,,,,,,,,,,,3.0,,2019,58,PIT,,,,,,,,,,230,,,,,,,,,,22.0,0
Career,,,,,,44,169,,1989-10-27,,,,,,,,,,,,,,,,,1.0,5.0,4.0,30.0,,119,102,6-2,,,9,0,,,,,,,,15,,,,,,,Mark Barron,,,,42,,,,,,BarrMa00,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,Career,541,,,,,,,,,,,230,,,,,,,,,,30.0,52
