,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2012,,-22.5,-22.5,,994.0,6,0.0,2.0,1988-07-10,,62.3,0.0,,0.0,,,,,,,,,,,,4,0.0,2.0,0.0,,13,10,5-10,50.0,,,,1.0,,,,,,,,,0.0,,29.0,60,13.0,Antonio Brown,,0.0,,,0.0,0.0,0.0,0.0,0.0,BrowAn04,WR,0.0,183.0,27.0,,,0.0,5,787,60.5,11.9,66,5.1,7.0,0.5,0.0,24.0,3.4,1.8,5,,,0.0,,2012,1.0,PIT,,,106,0.0,,,73,,,185,811,0.0,,,0.0,,,6.8,11.1,0.0,
2013,,4.0,15.0,,1928.0,14,,1.0,1988-07-10,,65.9,1.0,,14.4,,,,,,,,,,,,1,0.0,1.0,0.0,,16,14,5-10,0.0,,,,0.0,0.0,16.0,1.0,,,,,16.0,15.0,,67.0,56,10.0,Antonio Brown,,4.0,,,100.0,0.0,0.0,15.0,15.0,BrowAn04,WR,1.0,409.0,32.0,,,118.7,8,1499,93.7,13.6,110,6.9,7.0,0.4,0.0,4.0,0.6,0.3,8,,,0.0,,2013,,PIT,,,167,1.0,,,117,,,185,1503,7.0,,15.0,0.9,16.0,,12.8,12.8,0.0,
2014,,20.0,20.0,,2030.0,16,0.0,2.0,1988-07-10,,71.3,2.0,,100.0,,,,,,,,,,,,2,0.0,1.0,0.0,,16,16,5-10,0.0,,,,0.0,0.0,0.0,1.0,,,,,0.0,17.0,,71.0,63,9.0,Antonio Brown,,10.0,,,100.0,50.0,1.0,20.0,10.0,BrowAn04,WR,1.0,319.0,30.0,,,147.9,13,1698,106.1,13.2,129,8.1,4.0,0.3,0.0,13.0,3.3,0.8,13,,,0.0,,2014,1.0,PIT,,,181,0.0,,,133,,,185,1711,0.0,,10.0,1.3,0.0,,10.6,12.9,0.0,
2015,,-8.0,,,2074.0,17,0.0,0.0,1988-07-10,,70.5,0.0,,0.0,,,,,,,,,,,,3,0.0,1.0,0.0,,16,16,5-10,,,,,0.0,,,,,,,,,0.0,,71.0,59,16.0,Antonio Brown,,-8.0,,,,,0.0,0.0,,BrowAn04,WR,1.0,212.0,22.0,,,,10,1834,114.6,13.5,136,8.5,3.0,0.2,0.0,28.0,9.3,1.8,10,,,0.0,,2015,1.0,PIT,,,193,1.0,,,139,,,185,1862,8.0,,,0.0,,,9.6,13.4,0.0,
2018,,0.0,0.0,,,10,,1.0,1988-07-10,,61.9,0.0,,2.8,,,,,,,,,,,,0,,,,,15,15,5-10,0.0,,,,0.0,,,,,,,,,0.0,,,78,,Antonio Brown,,0.0,,,0.0,0.0,0.0,0.0,0.0,BrowAn04,WR,,,,,,39.6,15,1297,86.5,12.5,104,6.9,,,,,,,15,,,,,2018,,PIT,,,168,0.0,,,104,,,185,1297,0.0,,,0.0,,,,12.5,,
Career,,-0.63,1.7,,14319.0,102,0.0,6.0,1988-07-10,,65.5,3.0,,,,,,,,,,,,,,15,0.0,6.0,0.0,,131,103,5-10,16.7,,,,1.0,1.0,1173.0,47.0,,,,,89.0,17.0,,71.0,79,16.0,Antonio Brown,,2.5,,,50.0,16.7,1.0,35.0,5.8,BrowAn04,,4.0,1759.0,186.0,,,68.1,75,11263,86.0,13.4,841,6.4,32.0,0.2,0.0,124.0,3.9,0.9,75,,,0.0,,Career,6.0,,,,1283,2.0,,,873,,,185,11387,15.0,,11.7,0.3,25.0,,9.5,13.0,0.0,
2010,,,,,674.0,2,0.0,,1988-07-10,,84.2,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,9,0,5-10,,,,,,1.0,397.0,17.0,,,,,89.0,,,21.0,26,,Antonio Brown,,,,,,,,,,BrowAn04,,0.0,110.0,19.0,,,,0,167,18.6,10.4,16,1.8,,,,,,,0,,,0.0,,2010,2.0,PIT,,,19,,,,16,,,185,167,,,,,23.4,,5.8,10.4,0.0,
2011,,,,,2211.0,10,0.0,,1988-07-10,,55.6,,,,,,,,,,,,,,,0,,,,,16,3,5-10,,,,,,0.0,737.0,27.0,,,,,52.0,,,60.0,79,10.0,Antonio Brown,,,,,,,,,,BrowAn04,wr,1.0,325.0,30.0,,,,2,1108,69.3,16.1,69,4.3,7.0,0.4,0.0,41.0,5.9,2.6,2,,,0.0,,2011,1.0,PIT,,,124,,,,76,,,185,1149,,,,,27.3,,10.8,15.1,,
2016,,,,,1456.0,12,,,1988-07-10,,68.8,,,,,,,,,,,,,,,0,,,,,15,15,5-10,,,,,,0.0,23.0,1.0,,,,,23.0,,,33.0,51,13.0,Antonio Brown,,,,,,,,,,BrowAn04,WR,0.0,140.0,15.0,,,,12,1284,85.6,12.1,106,7.1,3.0,0.2,0.0,9.0,3.0,0.6,12,,,,,2016,,PIT,,,154,,,,109,,,185,1293,,,,,23.0,,9.3,11.9,,
2017,,,,,1594.0,15,,,1988-07-10,,62.0,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,14,14,5-10,,,,,,,,,,,,,,,,16.0,57,,Antonio Brown,,,,,,,,,,BrowAn04,WR,0.0,61.0,11.0,,,,9,1533,109.5,15.2,101,7.2,,,,,,,9,,,0.0,,2017,,PIT,,,163,,,,101,,,185,1533,,,,,,,5.5,15.2,0.0,
2019,,,,,,0,,,1988-07-10,,50.0,,,,,,,,,,,,,,,0,,,,,1,0,5-10,,,,,,,,,,,,,,,,,20,5.0,Antonio Brown,,,,,,,,,,BrowAn04,,,,,,,,1,56,56.0,14.0,4,4.0,1.0,1.0,0.0,5.0,5.0,5.0,1,,,,,2019,,NWE,,,8,,,,5,,,185,61,,,,,,,,12.2,,
