,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,0,,,1989-08-24,,,,,,,,,,,,,,,,,,,,,,1,0,6-1,,,,,,,,,,,,,,,,,,,Josh Bynes,,,,,,,,,,ByneJo00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2011,,BAL,,,,,,,,,,235,,,,,,,,,,,
2012,,,,,,2,15.0,,1989-08-24,,,,,,,,,,,,,,,,,,,,,,10,3,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Josh Bynes,,,,1.0,,,,,,ByneJo00,lb/mlb,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,19.0,BAL,,,,,,,,,,235,,,,,,,,,,,0.0
2013,,,,,,4,23.0,,1989-08-24,,,,,,,,,,,,,,,,,,,,,,15,6,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Josh Bynes,,,,3.0,,,,,,ByneJo00,lb,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,22.0,BAL,,,,,,,,,,235,,,,,,,,,,,0.0
2014,,,,,,2,4.0,,1989-08-24,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,13,0,6-1,,,1.0,0.0,,,,,,,,17.0,,,,,,,Josh Bynes,,,,1.0,,,,,,ByneJo00,,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,18.0,DET,,,,,,,,,,235,,,,,,,,,,0.0,17.0
2015,,,,,,5,26.0,,1989-08-24,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,11,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Josh Bynes,,,,5.0,,,,,,ByneJo00,LB,,,,,,,,,,,,,,,,,,,,,,0.5,,2015,56.0,DET,,,,,,,,,,235,,,,,,,,,,0.0,0.0
2016,,,,,,3,12.0,,1989-08-24,,,,,,,,,,,,,,,,,,,,,,9,8,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Josh Bynes,,,,4.0,,,,,,ByneJo00,LB,,,,,,,,,,,,,,,,,,,,,,0.0,,2016,26.0,DET,,,,,,,,,,235,,,,,,,,,,,0.0
2017,,,,,,2,5.0,,1989-08-24,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,14,1,6-1,,,1.0,0.0,,,,,,,,25.0,,,,,,,Josh Bynes,,,,3.0,,,,,,ByneJo00,lb,,,,,,,,,,,,,,,,,,,,,,1.0,,2017,31.0,ARI,,,,,,,,,,235,,,,,,,,,,0.0,25.0
2018,,,,,,6,23.0,,1989-08-24,,,,,,,,,,,,,,,,,0.0,0.0,1.0,23.0,,11,11,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Josh Bynes,,,,5.0,,,,,,ByneJo00,MLB,,,,,,,,,,,,,,,,,,,,,,2.0,,2018,52.0,ARI,,,,,,,,,,235,,,,,,,,,,23.0,0.0
2019,,,,,,5,23.0,,1989-08-24,,,,,,,,,,,,,,,,,,,,,,12,7,6-1,,,2.0,0.0,,,,,,,,6.0,,,,,,,Josh Bynes,,,,4.0,,,,,,ByneJo00,lb,,,,,,,,,,,,,,,,,,,,,,1.0,,2019,23.0,BAL,,,,,,,,,,235,,,,,,,,,,,7.0
Career,,,,,,29,131.0,,1989-08-24,,,,,,,,,,,,,,,,,0.0,3.0,2.0,23.0,,101,47,6-1,,,4.0,0.0,,,,,,,,25.0,,,,,,,Josh Bynes,,,,26.0,,,,,,ByneJo00,,,,,,,,,,,,,,,,,,,,,,,4.5,,Career,247.0,,,,,,,,,,,235,,,,,,,,,,23.0,49.0
