,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,8,13,,1989-12-05,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,16,15,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jurrell Casey,,,,1.0,,,,,,CaseJu00,DT/rdt,,,,,,,,,,,,,,,,,,,,,,2.5,,2011,39,TEN,,,,,,,,,,305,,,,,,,,,,0.0,0.0
2012,,,,,,6,20,,1989-12-05,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,16,16,6-1,,,,,,,,,,,,,,,,,,,Jurrell Casey,,,,,,,,,,CaseJu00,DT/ldt/rdt,,,,,,,,,,,,,,,,,,,,,,3.0,,2012,34,TEN,,,,,,,,,,305,,,,,,,,,,0.0,
2013,,,,,,12,17,,1989-12-05,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,15,14,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jurrell Casey,,,,2.0,,,,,,CaseJu00,de/DT,,,,,,,,,,,,,,,,,,,,,,10.5,,2013,38,TEN,,,,,,,,,,305,,,,,,,,,,0.0,0.0
2014,,,,,,7,22,,1989-12-05,,,,,,,,,,,,,,,,,,,,,,16,16,6-1,,,,,,,,,,,,,,,,,,,Jurrell Casey,,,,,,,,,,CaseJu00,DT,,,,,,,,,,,,,,,,,,,,,,5.0,,2014,46,TEN,,,,,,,,,,305,,,,,,,,,,,
2015,,,,,,9,20,,1989-12-05,,,,,,,,,,,,,,,,,,,,,,16,16,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jurrell Casey,,,,3.0,,,,,,CaseJu00,DT,,,,,,,,,,,,,,,,,,,,,,7.0,,2015,34,TEN,,,,,,,,,,305,,,,,,,,,,,0.0
2016,,,,,,11,13,,1989-12-05,,,,,,,,,,,,,,,,,,,,,,15,15,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jurrell Casey,,,,5.0,,,,,,CaseJu00,DT,,,,,,,,,,,,,,,,,,,,,,5.0,,2016,31,TEN,,,,,,,,,,305,,,,,,,,,,,0.0
2017,,,,,,10,19,,1989-12-05,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,16,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jurrell Casey,,,,1.0,,,,,,CaseJu00,DT,,,,,,,,,,,,,,,,,,,,,,6.0,,2017,41,TEN,,,,,,,,,,305,,,,,,,,,,0.0,0.0
2018,,,,,,12,26,,1989-12-05,,,,,,,,,,,,,,,,,0.0,2.0,1.0,1.0,,15,15,6-1,,,,,,,,,,,,,,,,,,,Jurrell Casey,,,,,,,,,,CaseJu00,DT,,,,,,,,,,,,,,,,,,,,,,7.0,,2018,36,TEN,,,,,,,,,,305,,,,,,,,,,1.0,
2019,,,,,,11,18,,1989-12-05,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,14,14,6-1,,,,,,,,,,,,,,,,,,,Jurrell Casey,,,,,,,,,,CaseJu00,DT,,,,,,,,,,,,,,,,,,,,,,5.0,,2019,26,TEN,,,,,,,,,,305,,,,,,,,,,0.0,
Career,,,,,,86,168,,1989-12-05,,,,,,,,,,,,,,,,,0.0,8.0,5.0,1.0,,139,137,6-1,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jurrell Casey,,,,12.0,,,,,,CaseJu00,,,,,,,,,,,,,,,,,,,,,,,51.0,,Career,325,,,,,,,,,,,305,,,,,,,,,,1.0,0.0
