,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,,,,,2,12,,1987-08-19,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,16,1,5-11,,,1,0,,,,,,,,2,,,,,,,Patrick Chung,,,,1,,,,,,ChunPa99,s,,,,,,,,,,,,,,,,,,,,,,2.0,,2009,25,NWE,,,,,,,,,,215,,,,,,,,,,0.0,2
2010,,,,,,4,24,,1987-08-19,,,,,,,,,,,,,,,,,,,,,,14,13,5-11,,,3,1,,,,,,,,51,,,,,,,Patrick Chung,,,,9,,,,,,ChunPa99,fs/S,,,,,,,,,,,,,,,,,,,,,,0.0,,2010,72,NWE,,,,,,,,,,215,,,,,,,,,,,96
2011,,,,,,3,25,,1987-08-19,,,,,,,,,,,,,,,,,,,,,,8,8,5-11,,,1,0,,,,,,,,0,,,,,,,Patrick Chung,,,,4,,,,,,ChunPa99,S,,,,,,,,,,,,,,,,,,,,,,1.0,,2011,37,NWE,,,,,,,,,,215,,,,,,,,,,,0
2012,,,,,,3,15,,1987-08-19,,,,,,,,,,,,,,,,,,,,,,12,8,5-11,,,2,0,,,,,,,,27,,,,,,,Patrick Chung,,,,5,,,,,,ChunPa99,S,,,,,,,,,,,,,,,,,,,,,,0.0,,2012,29,NWE,,,,,,,,,,215,,,,,,,,,,,27
2013,,,,,,4,20,,1987-08-19,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,12,10,5-11,,,0,0,,,,,,,,0,,,,,,,Patrick Chung,,,,3,,,,,,ChunPa99,FS,,,,,,,,,,,,,,,,,,,,,,0.0,,2013,39,PHI,,,,,,,,,,215,,,,,,,,,,0.0,0
2014,,,,,150.0,5,31,,1987-08-19,,,,,,,,,,,,,,,,,,,,,,16,15,5-11,,,1,0,,0.0,140.0,7.0,,,,10,30.0,,,,,,Patrick Chung,,,,8,,,,,,ChunPa99,S,,,,,,,,,,,,,,,,,,,,,,0.0,,2014,54,NWE,,,,,,,,,,215,,,,,,20.0,,,,,10
2015,,,,,21.0,5,33,,1987-08-19,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,15,14,5-11,,,0,0,,0.0,17.0,1.0,,,,0,17.0,,,4.0,,,Patrick Chung,,,,9,,,,,,ChunPa99,S/ss,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2015,52,NWE,,,,,,,,,,215,,,,,,17.0,,4.0,,0.0,0
2016,,,,,11.0,6,39,,1987-08-19,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,16,16,5-11,,,1,0,,,,,,,,4,,,,7.0,,,Patrick Chung,,,,3,,,,,,ChunPa99,S,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,2016,52,NWE,,,,,,,,,,215,,,,,,,,7.0,,0.0,4
2017,,,,,34.0,5,13,,1987-08-19,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,16,11,5-11,,,1,0,,0.0,4.0,1.0,,,,30,4.0,,,0.0,,,Patrick Chung,,,,9,,,,,,ChunPa99,S,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,2017,71,NWE,,,,,,,,,,215,,,,,,4.0,,0.0,,0.0,30
2018,,,,,,5,32,,1987-08-19,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,15,14,5-11,,,1,0,,,,,,,,2,,,,,,,Patrick Chung,,,,3,,,,,,ChunPa99,S,,,,,,,,,,,,,,,,,,,,,,0.5,,2018,52,NWE,,,,,,,,,,215,,,,,,,,,,0.0,2
