,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,,,,,2,,,1989-02-13,,64.0,,,,,,,,,,,,,,,0,,,,,14,9,6-3,,,,,,,,,,,,,,,,,46,,Charles Clay,,,,,,,,,,ClayCh00,FB/te,,,,,,,3,233,16.6,14.6,16,1.1,,,,,,,3,,,,,2011,,MIA,,,25,,,,16,,,246,233,,,,,,,,14.6,,
2012,,,,,,2,,,1989-02-13,,54.5,,,,,,,,,,,,,,,0,,,,,14,9,6-3,,,,,,,,,,,,,,,,,31,,Charles Clay,,,,,,,,,,ClayCh00,FB/te,,,,,,,2,212,15.1,11.8,18,1.3,,,,,,,2,,,,,2012,,MIA,,,33,,,,18,,,246,212,,,,,,,,11.8,,
2013,,,,,797.0,5,,,1989-02-13,,67.6,,,,,,,,,,,,,,,0,,,,,16,15,6-3,,,,,,0.0,23.0,2.0,,,,,15.0,,,,67,13.0,Charles Clay,,,,,,,,,,ClayCh00,TE,,,,,,,6,759,47.4,11.0,69,4.3,7.0,0.4,1.0,15.0,2.1,0.9,7,,,,,2013,,MIA,,,102,,,,76,,,246,774,,,,,11.5,,,10.2,,
2014,,,,,,5,,,1989-02-13,,69.0,,,,,,,,,,,,,,,0,0.0,2.0,0.0,,14,14,6-3,,,,,,,,,,,,,,,,,41,,Charles Clay,,,,,,,,,,ClayCh00,TE,,,,,,,3,605,43.2,10.4,58,4.1,,,,,,,3,,,0.0,,2014,,MIA,,,84,,,,58,,,246,605,,,,,,,,10.4,0.0,
2015,,,,,,5,,,1989-02-13,,66.2,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,13,13,6-3,,,,,,,,,,,,,,,,,40,,Charles Clay,,,,,,,,,,ClayCh00,TE,,,,,,,3,528,40.6,10.4,51,3.9,,,,,,,3,,,0.0,,2015,,BUF,,,77,,,,51,,,246,528,,,,,,,,10.4,0.0,
2016,,,,,,6,,,1989-02-13,,65.5,,,,,,,,,,,,,,,0,,,,,15,15,6-3,,,,,,,,,,,,,,,,,40,,Charles Clay,,,,,,,,,,ClayCh00,TE,,,,,,,4,552,36.8,9.7,57,3.8,,,,,,,4,,,,,2016,,BUF,,,87,,,,57,,,246,552,,,,,,,,9.7,,
2017,,,,,,5,,,1989-02-13,,66.2,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,13,13,6-3,,,,,,,,,,,,,,,,,44,,Charles Clay,,,,,,,,,,ClayCh00,TE,,,,,,,2,558,42.9,11.4,49,3.8,,,,,,,2,,,0.0,,2017,,BUF,,,74,,,,49,,,246,558,,,,,,,,11.4,0.0,
2018,,,,,,1,,,1989-02-13,,58.3,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,13,12,6-3,,,,,,,,,,,,,,,,,21,,Charles Clay,,,,,,,,,,ClayCh00,TE/wr,,,,,,,0,184,14.2,8.8,21,1.6,,,,,,,0,,,0.0,,2018,,BUF,,,36,,,,21,,,246,184,,,,,,,,8.8,0.0,
2019,,,,,,2,,,1989-02-13,,75.0,,,,,,,,,,,,,,,0,,,,,15,10,6-3,,,,,,,,,,,,,,,,,47,,Charles Clay,,,,,,,,,,ClayCh00,TE,,,,,,,1,237,15.8,13.2,18,1.2,,,,,,,1,,,,,2019,,ARI,,,24,,,,18,,,246,237,,,,,,,,13.2,,
Career,,,,,3906.0,33,1.0,,1989-02-13,,65.9,,,,,,,,,,,,,,,3,0.0,3.0,0.0,,127,110,6-3,,,,,,0.0,23.0,2.0,,,,,15.0,,,,67,13.0,Charles Clay,,,,,,,,,,ClayCh00,,,,,,,,24,3868,30.5,10.8,357,2.8,7.0,0.1,1.0,15.0,2.1,0.1,25,,,0.0,,Career,0.0,,,,542,,,,364,,,246,3883,,,,,11.5,,,10.7,0.0,
