,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2011,,0.0,0.0,,1616.0,7,0.0,1.0,1990-08-22,,80.6,0.0,,8.3,,,,,,,,,,,,3,0.0,0.0,0.0,,15,0,5-10,0.0,,,,0.0,1.0,941.0,34.0,,,,,108.0,0.0,,80.0,61,4.0,Randall Cobb,,0.0,,,0.0,0.0,0.0,0.0,0.0,CobbRa00,,1.0,295.0,26.0,,,39.6,1,375,25.0,15.0,25,1.7,2.0,0.1,0.0,5.0,2.5,0.3,1,,,0.0,,2011,1.0,GNB,,,31,0.0,,,27,,,192,380,0.0,,,0.0,27.7,,11.3,14.1,0.0,
2017,,10.0,10.0,,,6,,1.0,1990-08-22,,71.7,1.0,,26.0,,,,,,,,,,,,1,0.0,0.0,0.0,,15,14,5-10,0.0,,,,0.0,,,,,,,,,10.0,,,46,10.0,Randall Cobb,,10.0,,,100.0,0.0,0.0,10.0,10.0,CobbRa00,WR,,,,,,108.3,4,653,43.5,9.9,66,4.4,9.0,0.6,0.0,17.0,1.9,1.1,4,,,0.0,,2017,,GNB,,,92,0.0,,,75,,,192,670,0.0,,10.0,0.7,,,,8.9,0.0,
2019,,0.0,0.0,,884.0,7,,1.0,1990-08-22,,66.3,0.0,,5.9,,,,,,,,,,,,2,1.0,1.0,0.0,,15,6,5-10,0.0,,,,0.0,0.0,11.0,2.0,,,,,11.0,0.0,,14.0,59,7.0,Randall Cobb,,0.0,,,0.0,0.0,0.0,0.0,0.0,CobbRa00,wr,0.0,34.0,4.0,,,39.6,3,828,55.2,15.1,55,3.7,3.0,0.2,0.0,11.0,3.7,0.7,3,,,0.0,,2019,,DAL,,,83,0.0,,,58,,,192,839,0.0,,,0.0,5.5,,8.5,14.5,0.0,
Career,,3.33,3.3,,9507.0,68,0.0,3.0,1990-08-22,,69.3,1.0,,,,,,,,,,,,,,18,3.0,10.0,0.0,,120,79,5-10,0.0,,,,0.0,1.0,1926.0,76.0,,,,,108.0,10.0,,80.0,75,67.0,Randall Cobb,,3.33,,,33.3,0.0,0.0,10.0,3.3,CobbRa00,,2.0,866.0,93.0,,,43.7,44,6352,52.9,12.1,525,4.4,62.0,0.5,0.0,363.0,5.9,3.0,44,,,0.0,,Career,1.0,,,,758,0.0,,,587,,,192,6715,0.0,,10.0,0.1,25.3,,9.3,11.4,0.0,
2012,,,,,2342.0,11,,,1990-08-22,,76.9,,,,,,,,,,,,,,,4,0.0,3.0,0.0,,15,8,5-10,,,,,,0.0,964.0,38.0,,,,,46.0,,,75.0,39,28.0,Randall Cobb,,,,,,,,,,CobbRa00,rb/wr,1.0,292.0,31.0,,,,8,954,63.6,11.9,80,5.3,10.0,0.7,0.0,132.0,13.2,8.8,8,,,0.0,,2012,,GNB,,,104,,,,90,,,192,1086,,,,,25.4,,9.4,12.1,0.0,
2013,,,,,544.0,4,,,1990-08-22,,66.0,,,,,,,,,,,,,,,0,,,,,6,4,5-10,,,,,,0.0,10.0,1.0,,,,,10.0,,,16.0,48,67.0,Randall Cobb,,,,,,,,,,CobbRa00,wr,0.0,23.0,3.0,,,,4,433,72.2,14.0,31,5.2,4.0,0.7,0.0,78.0,19.5,13.0,4,,,,,2013,,GNB,,,47,,,,35,,,192,511,,,,,10.0,,7.7,14.6,,
2014,,,,,1436.0,16,,,1990-08-22,,71.7,,,,,,,,,,,,,,,4,0.0,1.0,0.0,,16,16,5-10,,,,,,0.0,0.0,1.0,,,,,0.0,,,24.0,70,12.0,Randall Cobb,,,,,,,,,,CobbRa00,WR,0.0,112.0,14.0,,,,12,1287,80.4,14.1,91,5.7,11.0,0.7,0.0,37.0,3.4,2.3,12,,,0.0,,2014,,GNB,,,127,,,,102,,,192,1324,,,,,0.0,,8.0,13.0,0.0,
2015,,,,,889.0,8,,,1990-08-22,,61.2,,,,,,,,,,,,,,,1,0.0,2.0,0.0,,16,15,5-10,,,,,,,,,,,,,,,,10.0,53,12.0,Randall Cobb,,,,,,,,,,CobbRa00,WR,0.0,10.0,4.0,,,,6,829,51.8,10.5,79,4.9,13.0,0.8,0.0,50.0,3.8,3.1,6,,,0.0,,2015,,GNB,,,129,,,,92,,,192,879,,,,,,,2.5,9.6,0.0,
2016,,,,,697.0,6,,,1990-08-22,,71.4,,,,,,,,,,,,,,,1,1.0,2.0,0.0,,13,10,5-10,,,,,,,,,,,,,,,,23.0,47,14.0,Randall Cobb,,,,,,,,,,CobbRa00,WR,0.0,54.0,4.0,,,,4,610,46.9,10.2,60,4.6,10.0,0.8,0.0,33.0,3.3,2.5,4,,,0.0,,2016,,GNB,,,84,,,,70,,,192,643,,,,,,,13.5,9.2,0.0,
2018,,,,,429.0,3,,,1990-08-22,,62.3,,,,,,,,,,,,,,,2,0.0,1.0,0.0,,9,6,5-10,,,,,,,,,,,,,,,,17.0,75,,Randall Cobb,,,,,,,,,,CobbRa00,wr,0.0,46.0,7.0,,,,2,383,42.6,10.1,38,4.2,,,,,,,2,,,0.0,,2018,,GNB,,,61,,,,38,,,192,383,,,,,,,6.6,10.1,0.0,
