,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2009,,,,,,6,,,1987-09-14,,55.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,11,11,6-1,,,,,,,,,,,,,,,,,50,,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,2,625,56.8,13.0,48,4.4,,,,,,,2,,,0.0,,2009,,SFO,,,86,,,,48,,,215,625,,,,,,,,13.0,0.0,
2010,,,,,741.0,6,,,1987-09-14,,54.5,,,,,,,,,,,,,,,0,,,,,16,15,6-1,,,,,,0.0,0.0,1.0,,,,,0.0,,,,60,,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,6,741,46.3,13.5,55,3.4,,,,,,,6,,,,,2010,,SFO,,,101,,,,55,,,215,741,,,,,0.0,,,13.5,,
2011,,,,,,9,,,1987-09-14,,62.6,,,,,,,,,,,,,,,0,,,,,15,14,6-1,,,,,,,,,,,,,,,,,52,6.0,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,4,874,58.3,12.1,72,4.8,1.0,0.1,0.0,6.0,6.0,0.4,4,,,,,2011,,SFO,,,115,,,,73,,,215,880,,,,,,,,12.1,,
2012,,,,,,10,,,1987-09-14,,66.9,,,,,,,,,,,,,,,0,,,,,16,16,6-1,,,,,,,,,,,,,,,,,49,8.0,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,9,1105,69.1,13.0,85,5.3,1.0,0.1,0.0,8.0,8.0,0.5,9,,,,,2012,,SFO,,,127,,,,86,,,215,1113,,,,,,,,12.9,,
2013,,,,,,3,,,1987-09-14,,57.6,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,5,5,6-1,,,,,,,,,,,,,,,,,60,,Michael Crabtree,,,,,,,,,,CrabMi00,wr,,,,,,,1,284,56.8,14.9,19,3.8,,,,,,,1,,,0.0,,2013,,SFO,,,33,,,,19,,,215,284,,,,,,,,14.9,0.0,
2014,,,,,,5,,,1987-09-14,,63.0,,,,,,,,,,,,,,,0,,,,,16,16,6-1,,,,,,,,,,,,,,,,,51,4.0,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,4,698,43.6,10.3,68,4.3,1.0,0.1,0.0,4.0,4.0,0.3,4,,,,,2014,,SFO,,,108,,,,69,,,215,702,,,,,,,,10.2,,
2015,,,,,,8,,,1987-09-14,,58.2,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,16,15,6-1,,,,,,,,,,,,,,,,,38,,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,9,922,57.6,10.8,85,5.3,,,,,,,9,,,0.0,,2015,,OAK,,,146,,,,85,,,215,922,,,,,,,,10.8,0.0,
2016,,,,,,8,,,1987-09-14,,61.4,,,,,,,,,,,,,,,2,0.0,1.0,11.0,,16,16,6-1,,,,,,,,,,,,,,,,,56,,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,8,1003,62.7,11.3,89,5.6,,,,,,,8,,,0.0,,2016,,OAK,,,145,,,,89,,,215,1003,,,,,,,,11.3,11.0,
2017,,,,,,5,,,1987-09-14,,57.4,,,,,,,,,,,,,,,1,0.0,1.0,0.0,,14,14,6-1,,,,,,,,,,,,,,,,,41,,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,8,618,44.1,10.7,58,4.1,,,,,,,8,,,0.0,,2017,,OAK,,,101,,,,58,,,215,618,,,,,,,,10.7,0.0,
2018,,,,,,5,,,1987-09-14,,54.0,,,,,,,,,,,,,,,0,,,,,16,16,6-1,,,,,,,,,,,,,,,,,27,,Michael Crabtree,,,,,,,,,,CrabMi00,WR,,,,,,,3,607,37.9,11.2,54,3.4,,,,,,,3,,,,,2018,,BAL,,,100,,,,54,,,215,607,,,,,,,,11.2,,
