,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
2010,,1.5,5.3,,,0,1.0,3,1986-10-07,,,2,,0.8,,,,,,,,,,,,1.0,0.0,0.0,-11.0,,13,0,6-0,0.0,,,,0,,,,,,,,,9,,,,16.0,Chase Daniel,,1.5,,,66.7,0.0,0,16,5.3,DaniCh00,,,,,,,79.9,,,,,,,2.0,0.2,0.0,16.0,8.0,1.2,0.0,,,0.0,,2010,0.0,NOR,,,,1,,,2.0,,,229,16.0,10,,8.0,1.2,,,,8.0,-11.0,
2011,,5.8,5.8,,,0,,5,1986-10-07,,,4,,37.2,,,,,,,,,,,,0.0,,,,,16,0,6-0,0.0,,,,0,,,,,,,,,14,,,,-1.0,Chase Daniel,,5.8,,,80.0,0.0,0,29,5.8,DaniCh00,,,,,,,90.8,,,,,,,3.0,0.2,0.0,-3.0,-1.0,-0.2,0.0,,,,,2011,,NOR,,,,0,,,3.0,,,229,-3.0,0,,7.3,1.8,,,,-1.0,,
2012,,10.0,10.0,,,0,,1,1986-10-07,,,1,,99.9,,,,,,,,,,,,0.0,,,,,16,0,6-0,0.0,,,,0,,,,,,,,,10,,,,19.0,Chase Daniel,,10.0,,,100.0,0.0,0,10,10.0,DaniCh00,,,,,,,108.3,,,,,,,3.0,0.2,0.0,17.0,5.7,1.1,0.0,,,,,2012,,NOR,,,,0,,,3.0,,,229,17.0,0,,10.0,0.6,,,,5.7,,
2013,,5.3,5.9,,,1,,38,1986-10-07,,,25,,73.0,,,,,,,,,,,,0.0,,,,,5,1,6-0,2.6,,,,1,,,,,,,,,48,,,,29.0,Chase Daniel,,5.93,,,65.8,2.6,1,248,6.5,DaniCh00,qb,,,,,0-1-0,81.9,,,,,,,14.0,2.8,0.0,52.0,3.7,10.4,0.0,,,,,2013,,KAN,,,,2,,,14.0,,,229,52.0,11,,9.9,49.6,,,,3.7,,
2014,,4.38,5.6,,,1,,28,1986-10-07,,,16,,30.0,,,,,,,,,,,,0.0,,,,,3,1,6-0,0.0,,,,0,,,,,,,,,30,,,,9.0,Chase Daniel,,4.38,,,57.1,0.0,0,157,5.6,DaniCh00,qb,,,,,1-0-0,73.1,,,,,,,4.0,1.3,0.0,15.0,3.8,5.0,0.0,,,,,2014,,KAN,,,,4,,,4.0,,,229,15.0,17,,9.8,52.3,,,,3.8,,
2015,,2.0,2.0,,,0,,2,1986-10-07,,,2,,93.9,,,,,,,,,,,,0.0,,,,,2,0,6-0,0.0,,,,0,,,,,,,,,6,,,,-1.0,Chase Daniel,,2.0,,,100.0,0.0,0,4,2.0,DaniCh00,,,,,,,79.2,,,,,,,2.0,1.0,0.0,-2.0,-1.0,-1.0,0.0,,,,,2015,,KAN,,,,0,,,2.0,,,229,-2.0,0,,2.0,2.0,,,,-1.0,,
2016,,16.0,16.0,,,0,,1,1986-10-07,,,1,,99.4,,,,,,,,,,,,,,,,,1,0,6-0,0.0,,,,0,,,,,,,,,16,,,,,Chase Daniel,,16.0,,,100.0,0.0,0,16,16.0,DaniCh00,,,,,,,118.7,,,,,,,,,,,,,,,,,,2016,,PHI,,,,0,,,,,,229,,0,,16.0,16.0,,,,,,
2017,,,,,,0,,0,1986-10-07,,,0,,,,,,,,,,,,,,0.0,,,,,1,0,6-0,,,,,0,,,,,,,,,0,,,,0.0,Chase Daniel,,,,,,,0,0,,DaniCh00,,,,,,,,,,,,,,3.0,3.0,0.0,-2.0,-0.7,-2.0,0.0,,,,,2017,,NOR,,,,0,,,3.0,,,229,-2.0,0,,,0.0,,,,-0.7,,
2018,88.0,5.24,6.4,91.0,,2,,76,1986-10-07,,100.0,53,123.0,26.9,,,,,,,,,1.0,,,4.0,0.0,3.0,-20.0,0.0,5,2,6-0,2.6,95.0,,,2,,,,,,,,,46,,,8.0,4.0,Chase Daniel,87.0,5.59,101.0,,69.7,3.9,3,515,6.8,DaniCh00,qb,,,,,1-1-0,90.6,0.0,8.0,1.6,8.0,1.0,0.2,13.0,2.6,0.0,3.0,0.2,0.6,0.0,,70.0,0.0,,2018,,CHI,,,1.0,9,,94.0,14.0,,,229,11.0,40,92.0,9.7,103.0,,,,0.8,-20.0,
2019,84.0,5.03,6.3,88.0,,1,,64,1986-10-07,,,45,123.0,,,,,,,,,,,,,0.0,,,,,3,1,6-0,3.1,87.0,,,2,,,,,,,,,37,,,,4.0,Chase Daniel,83.0,5.45,100.0,,70.3,4.7,3,435,6.8,DaniCh00,qb,,,,,0-1-0,91.6,,,,,,,6.0,2.0,0.0,6.0,1.0,2.0,0.0,,77.0,,,2019,,CHI,,,,7,,101.0,6.0,,,229,6.0,48,90.0,9.7,145.0,,,,1.0,,
